"Table 2. Marijuana Use in the Past Year: Among People Aged 12 or Older; by Age Group and State, Annual Average Percentages, 2022 and 2023",,,,,,,,,,,,,,,,
NOTE: These estimates of marijuana use include marijuana vaping.,,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on the survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
NOTE: The column labeled “Order” can be used to sort the data to the original sort order.,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Surveys on Drug Use and Health, 2022 and 2023.",,,,,,,,,,,,,,,,
Order,State,"12+ Estimate","12+ 95% CI (Lower)","12+ 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)","18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)"
1,Total U.S.,21.88%,21.43%,22.33%,11.31%,10.72%,11.93%,37.39%,36.40%,38.40%,20.71%,20.19%,21.23%,22.94%,22.46%,23.43%
2,Northeast,23.34%,22.49%,24.22%,11.77%,10.74%,12.88%,40.42%,38.41%,42.46%,22.00%,21.02%,23.01%,24.39%,23.47%,25.34%
3,Midwest,22.80%,22.05%,23.56%,11.38%,10.51%,12.30%,39.44%,37.78%,41.12%,21.52%,20.65%,22.41%,23.97%,23.15%,24.80%
4,South,18.81%,18.22%,19.42%,10.92%,10.10%,11.80%,32.57%,31.05%,34.14%,17.62%,16.95%,18.31%,19.63%,18.98%,20.29%
5,West,24.99%,24.11%,25.90%,11.60%,10.54%,12.75%,41.24%,39.21%,43.31%,24.04%,22.98%,25.14%,26.35%,25.37%,27.34%
6,Alabama,16.45%,14.43%,18.69%,11.01%,8.91%,13.52%,26.43%,22.56%,30.69%,15.49%,13.22%,18.07%,17.00%,14.82%,19.44%
7,Alaska,29.73%,26.69%,32.97%,10.61%,8.32%,13.45%,41.76%,36.74%,46.95%,30.48%,26.91%,34.30%,31.88%,28.54%,35.41%
8,Arizona,24.52%,21.69%,27.58%,12.08%,9.61%,15.09%,42.90%,37.67%,48.30%,23.02%,19.85%,26.54%,25.77%,22.71%,29.08%
9,Arkansas,21.03%,18.64%,23.64%,13.03%,10.48%,16.09%,33.44%,28.94%,38.27%,20.03%,17.31%,23.05%,21.89%,19.31%,24.72%
10,California,23.56%,22.16%,25.01%,11.21%,9.57%,13.09%,40.89%,37.80%,44.05%,22.32%,20.68%,24.04%,24.81%,23.28%,26.39%
11,Colorado,29.61%,26.89%,32.48%,13.93%,11.21%,17.18%,46.49%,41.18%,51.89%,28.74%,25.68%,32.00%,31.11%,28.18%,34.21%
12,Connecticut,25.37%,22.62%,28.32%,12.27%,9.88%,15.14%,43.51%,37.86%,49.32%,23.99%,20.92%,27.36%,26.60%,23.63%,29.79%
13,Delaware,21.80%,19.44%,24.36%,11.94%,9.68%,14.65%,37.02%,32.10%,42.22%,20.76%,18.15%,23.64%,22.72%,20.18%,25.48%
14,District of Columbia,32.61%,29.35%,36.05%,12.58%,10.01%,15.71%,48.56%,42.64%,54.53%,31.40%,27.77%,35.27%,33.92%,30.47%,37.55%
15,Florida,19.84%,18.36%,21.41%,11.88%,10.24%,13.73%,36.30%,33.19%,39.54%,18.48%,16.81%,20.27%,20.53%,18.94%,22.22%
16,Georgia,19.79%,17.87%,21.86%,12.49%,10.25%,15.12%,33.89%,30.12%,37.89%,18.43%,16.27%,20.82%,20.60%,18.51%,22.85%
17,Hawaii,19.89%,17.34%,22.72%,9.70%,7.54%,12.40%,32.77%,27.74%,38.24%,19.34%,16.46%,22.60%,20.81%,18.06%,23.85%
18,Idaho,19.55%,17.19%,22.15%,10.42%,8.31%,12.99%,33.11%,28.66%,37.88%,18.45%,15.73%,21.51%,20.60%,18.01%,23.46%
19,Illinois,23.51%,21.69%,25.44%,12.88%,10.83%,15.26%,39.05%,35.51%,42.70%,22.37%,20.26%,24.63%,24.59%,22.62%,26.68%
20,Indiana,19.71%,17.73%,21.86%,11.15%,9.01%,13.72%,36.23%,32.20%,40.45%,18.01%,15.76%,20.49%,20.64%,18.49%,22.96%
21,Iowa,15.49%,13.32%,17.94%,9.15%,7.17%,11.62%,31.03%,26.38%,36.10%,13.58%,11.22%,16.35%,16.16%,13.80%,18.83%
22,Kansas,18.59%,16.27%,21.16%,10.87%,8.60%,13.65%,33.10%,28.56%,37.99%,17.05%,14.43%,20.03%,19.46%,16.93%,22.27%
23,Kentucky,17.22%,15.21%,19.43%,10.19%,8.02%,12.86%,28.94%,24.88%,33.37%,16.25%,14.03%,18.75%,17.94%,15.78%,20.33%
24,Louisiana,21.67%,19.34%,24.21%,11.76%,9.51%,14.46%,31.91%,26.97%,37.30%,21.30%,18.71%,24.15%,22.74%,20.21%,25.50%
25,Maine,29.97%,27.01%,33.10%,14.39%,11.62%,17.69%,49.83%,44.41%,55.25%,28.90%,25.55%,32.50%,31.23%,28.06%,34.58%
26,Maryland,20.53%,18.02%,23.29%,11.18%,9.02%,13.79%,34.95%,29.97%,40.29%,19.56%,16.78%,22.68%,21.48%,18.77%,24.46%
27,Massachusetts,29.70%,26.99%,32.56%,14.40%,11.45%,17.96%,52.04%,46.94%,57.10%,27.62%,24.54%,30.93%,31.02%,28.11%,34.08%
28,Michigan,27.05%,25.35%,28.81%,11.42%,9.60%,13.54%,44.42%,40.87%,48.03%,26.09%,24.10%,28.18%,28.56%,26.70%,30.48%
29,Minnesota,23.72%,20.86%,26.85%,9.60%,7.47%,12.27%,41.76%,36.14%,47.60%,22.70%,19.51%,26.24%,25.21%,22.09%,28.60%
30,Mississippi,16.27%,14.23%,18.54%,10.99%,8.77%,13.68%,27.26%,23.08%,31.89%,15.14%,12.88%,17.71%,16.87%,14.66%,19.33%
31,Missouri,26.60%,23.82%,29.58%,11.60%,9.28%,14.41%,41.67%,36.49%,47.05%,26.02%,22.82%,29.51%,28.13%,25.11%,31.37%
