"Table 3. Marijuana Use in the Past Month: Among People Aged 12 or Older; by Age Group and State, Annual Average Percentages, 2022 and 2023",,,,,,,,,,,,,,,,
NOTE: These estimates of marijuana use include marijuana vaping.,,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on the survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
NOTE: The column labeled “Order” can be used to sort the data to the original sort order.,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Surveys on Drug Use and Health, 2022 and 2023.",,,,,,,,,,,,,,,,
Order,State,"12+ Estimate","12+ 95% CI (Lower)","12+ 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)","18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)"
1,Total U.S.,15.20%,14.82%,15.59%,6.22%,5.78%,6.68%,25.54%,24.65%,26.44%,14.65%,14.21%,15.10%,16.11%,15.69%,16.53%
2,Northeast,16.37%,15.62%,17.16%,6.56%,5.77%,7.45%,28.80%,26.73%,30.97%,15.54%,14.65%,16.47%,17.26%,16.45%,18.10%
3,Midwest,15.91%,15.27%,16.58%,6.48%,5.82%,7.20%,26.16%,24.36%,28.05%,15.41%,14.64%,16.22%,16.88%,16.18%,17.61%
4,South,12.75%,12.27%,13.24%,5.79%,5.25%,6.39%,22.01%,20.32%,23.80%,12.14%,11.55%,12.76%,13.47%,12.94%,14.01%
5,West,17.71%,16.94%,18.52%,6.46%,5.70%,7.30%,28.37%,26.30%,30.54%,17.38%,16.43%,18.38%,18.85%,18.00%,19.73%
6,Alabama,10.85%,9.28%,12.66%,5.45%,4.09%,7.22%,17.88%,14.46%,21.90%,10.37%,8.62%,12.43%,11.40%,9.70%,13.36%
7,Alaska,22.31%,19.62%,25.25%,4.99%,3.61%,6.86%,28.26%,23.74%,33.27%,23.67%,20.49%,27.18%,24.25%,21.29%,27.48%
8,Arizona,18.66%,16.06%,21.56%,6.94%,5.26%,9.10%,28.89%,24.19%,34.09%,18.39%,15.47%,21.71%,19.83%,17.02%,22.98%
9,Arkansas,14.63%,12.58%,16.96%,6.82%,5.16%,8.98%,23.13%,19.28%,27.48%,14.24%,11.90%,16.96%,15.47%,13.24%,18.01%
10,California,16.16%,14.97%,17.42%,6.15%,5.02%,7.53%,28.25%,25.38%,31.31%,15.46%,14.03%,16.99%,17.17%,15.87%,18.55%
