"Table 4. Perceptions of Great Risk from Smoking Marijuana Once a Month: Among People Aged 12 or Older; by Age Group and State, Annual Average Percentages, 2022 and 2023",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on the survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
NOTE: The column labeled “Order” can be used to sort the data to the original sort order.,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Surveys on Drug Use and Health, 2022 and 2023.",,,,,,,,,,,,,,,,
Order,State,"12+ Estimate","12+ 95% CI (Lower)","12+ 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)","18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)"
1,Total U.S.,20.40%,19.92%,20.89%,20.54%,19.77%,21.34%,10.88%,10.32%,11.46%,21.86%,21.28%,22.45%,20.38%,19.87%,20.91%
2,Northeast,19.60%,18.67%,20.56%,20.33%,18.91%,21.83%,10.49%,9.51%,11.57%,20.89%,19.81%,22.02%,19.53%,18.55%,20.55%
3,Midwest,17.03%,16.29%,17.79%,19.26%,18.08%,20.50%,9.12%,8.37%,9.93%,18.02%,17.15%,18.93%,16.80%,16.01%,17.61%
4,South,22.48%,21.76%,23.22%,21.98%,20.85%,23.14%,11.99%,11.16%,12.87%,24.18%,23.33%,25.05%,22.53%,21.76%,23.33%
5,West,20.53%,19.62%,21.47%,19.43%,17.99%,20.97%,10.91%,9.90%,11.99%,22.16%,21.07%,23.29%,20.64%,19.67%,21.65%
6,Alabama,21.64%,19.25%,24.24%,25.15%,21.41%,29.29%,11.71%,9.45%,14.43%,22.83%,20.02%,25.91%,21.28%,18.77%,24.03%
7,Alaska,14.95%,12.64%,17.59%,16.74%,13.09%,21.16%,10.64%,8.25%,13.62%,15.33%,12.69%,18.41%,14.75%,12.33%,17.54%
8,Arizona,18.60%,16.02%,21.49%,16.64%,13.40%,20.49%,9.48%,7.30%,12.24%,20.30%,17.25%,23.72%,18.80%,16.07%,21.86%
9,Arkansas,21.81%,19.14%,24.73%,21.82%,18.13%,26.02%,11.89%,9.47%,14.82%,23.41%,20.21%,26.95%,21.80%,18.94%,24.96%
10,California,23.88%,22.39%,25.44%,20.77%,18.42%,23.33%,11.83%,10.20%,13.69%,26.12%,24.33%,28.00%,24.20%,22.60%,25.87%
