"Table 5. First Use of Marijuana in the Past Year: Among People Aged 12 or Older at Risk for Initiation of Marijuana Use; by Age Group and State, Annual Average Percentages, 2022 and 2023",,,,,,,,,,,,,,,,
"NOTE: First use of marijuana in the past year among those at risk for initiation (%) = 100 * {[X1 / (0.5 * X1 + X2)] / 2}, where X1 is the number of marijuana initiates in the past 24 months, X2 is the number of individuals who never used marijuana, and (0.5 * X1 + X2) denotes the at-risk population. State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on simultaneous modeling of X1 and X2 components using the survey-weighted hierarchical Bayes small area estimation approach. These estimates include marijuana vaping. The associated Markov Chain Monte Carlo chains were used to calculate the posterior variance. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given. The age group shown is based on a respondent’s age at the time of the interview, not their age at first use. For details, see Section B of 2022-2023 National Surveys on Drug Use and Health: Guide to State Tables and Summary of Small Area Estimation Methodology at https://www.samhsa.gov/data/report/2022-2023-nsduh-guide-state-tables-and-summary-sae-methodology.",,,,,,,,,,,,,,,,
NOTE: The column labeled “Order” can be used to sort the data to the original sort order.,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Surveys on Drug Use and Health, 2022 and 2023.",,,,,,,,,,,,,,,,
Order,State,"12+ Estimate","12+ 95% CI (Lower)","12+ 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)","18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)"
1,Total U.S.,2.55%,2.43%,2.67%,4.71%,4.43%,5.02%,8.26%,7.74%,8.82%,1.15%,1.04%,1.29%,2.16%,2.03%,2.29%
2,Northeast,2.73%,2.53%,2.95%,4.95%,4.47%,5.48%,9.32%,8.42%,10.29%,1.27%,1.08%,1.48%,2.35%,2.14%,2.59%
3,Midwest,2.70%,2.54%,2.88%,4.72%,4.33%,5.13%,8.56%,7.88%,9.28%,1.27%,1.11%,1.45%,2.32%,2.15%,2.51%
4,South,2.19%,2.06%,2.33%,4.54%,4.19%,4.91%,6.83%,6.33%,7.37%,0.95%,0.83%,1.09%,1.78%,1.65%,1.93%
5,West,2.91%,2.68%,3.15%,4.85%,4.33%,5.43%,9.83%,8.80%,10.97%,1.34%,1.14%,1.57%,2.54%,2.30%,2.81%
6,Alabama,2.03%,1.72%,2.41%,4.37%,3.39%,5.62%,5.38%,4.14%,6.95%,0.88%,0.62%,1.25%,1.62%,1.30%,2.01%
7,Alaska,3.20%,2.65%,3.85%,4.30%,3.22%,5.73%,10.94%,8.49%,13.99%,1.50%,1.06%,2.13%,2.93%,2.34%,3.67%
8,Arizona,2.82%,2.35%,3.38%,5.13%,4.01%,6.54%,9.27%,7.22%,11.83%,1.23%,0.86%,1.74%,2.40%,1.91%,3.00%
9,Arkansas,2.19%,1.85%,2.59%,5.11%,3.97%,6.56%,6.19%,4.82%,7.92%,0.79%,0.56%,1.12%,1.64%,1.32%,2.03%
10,California,2.67%,2.36%,3.01%,4.84%,4.09%,5.73%,9.68%,8.13%,11.48%,1.14%,0.89%,1.46%,2.29%,1.96%,2.66%
11,Colorado,4.29%,3.60%,5.10%,6.18%,4.86%,7.82%,13.36%,10.51%,16.84%,2.13%,1.51%,3.00%,3.87%,3.11%,4.80%
12,Connecticut,3.25%,2.73%,3.87%,5.75%,4.59%,7.19%,10.96%,8.43%,14.14%,1.38%,0.97%,1.95%,2.77%,2.22%,3.46%
13,Delaware,2.38%,1.99%,2.84%,4.53%,3.46%,5.91%,6.87%,5.29%,8.87%,1.25%,0.90%,1.73%,2.00%,1.60%,2.50%
14,District of Columbia,4.58%,3.74%,5.61%,6.23%,4.84%,7.97%,14.59%,11.12%,18.90%,2.35%,1.58%,3.48%,4.32%,3.39%,5.49%
15,Florida,2.12%,1.87%,2.39%,5.07%,4.31%,5.94%,8.29%,6.96%,9.84%,0.83%,0.63%,1.10%,1.69%,1.44%,1.98%
16,Georgia,2.45%,2.12%,2.82%,5.08%,4.13%,6.24%,7.13%,5.78%,8.78%,1.07%,0.79%,1.44%,1.95%,1.62%,2.35%
17,Hawaii,2.40%,1.92%,2.98%,4.24%,3.18%,5.65%,9.92%,7.42%,13.15%,1.08%,0.69%,1.69%,2.11%,1.61%,2.76%
18,Idaho,2.60%,2.19%,3.09%,4.50%,3.47%,5.80%,7.63%,6.01%,9.64%,1.13%,0.79%,1.60%,2.20%,1.78%,2.73%
19,Illinois,2.56%,2.24%,2.93%,5.01%,4.14%,6.06%,8.00%,6.60%,9.68%,1.18%,0.89%,1.55%,2.12%,1.78%,2.52%
20,Indiana,2.47%,2.13%,2.87%,4.75%,3.75%,5.98%,8.03%,6.49%,9.90%,0.98%,0.72%,1.34%,2.05%,1.70%,2.47%
