"Table 6. Illicit Drug Use Other Than Marijuana in the Past Month: Among People Aged 12 or Older; by Age Group and State, Annual Average Percentages, 2022 and 2023",,,,,,,,,,,,,,,,
"NOTE: Illicit drug use other than marijuana includes the misuse of prescription psychotherapeutics or the use of cocaine (including crack), heroin, hallucinogens, inhalants, or methamphetamine. Misuse of prescription psychotherapeutics is defined as use in any way not directed by a doctor, including use without a prescription of one’s own; use in greater amounts, more often, or longer than told; or use in any other way not directed by a doctor. Prescription psychotherapeutics do not include over-the-counter drugs. Illicit drugs other than marijuana excludes respondents who used only marijuana but includes those who used marijuana in addition to other illicit drugs.",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on the survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
NOTE: The column labeled “Order” can be used to sort the data to the original sort order.,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Surveys on Drug Use and Health, 2022 and 2023.",,,,,,,,,,,,,,,,
Order,State,"12+ Estimate","12+ 95% CI (Lower)","12+ 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)","18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)"
1,Total U.S.,3.32%,3.14%,3.51%,1.63%,1.42%,1.87%,4.22%,3.87%,4.60%,3.38%,3.16%,3.60%,3.49%,3.29%,3.69%
2,Northeast,3.45%,3.13%,3.81%,1.47%,1.18%,1.82%,4.70%,4.08%,5.41%,3.47%,3.09%,3.90%,3.63%,3.29%,4.01%
3,Midwest,3.22%,2.96%,3.51%,1.61%,1.33%,1.95%,4.17%,3.68%,4.73%,3.27%,2.94%,3.63%,3.39%,3.10%,3.70%
4,South,3.18%,2.95%,3.43%,1.70%,1.41%,2.04%,3.89%,3.44%,4.39%,3.25%,2.96%,3.56%,3.33%,3.09%,3.60%
5,West,3.53%,3.19%,3.90%,1.63%,1.29%,2.07%,4.45%,3.77%,5.24%,3.61%,3.20%,4.07%,3.72%,3.36%,4.12%
6,Alabama,3.49%,2.76%,4.41%,1.97%,1.37%,2.83%,3.91%,2.80%,5.45%,3.60%,2.71%,4.77%,3.64%,2.84%,4.66%
7,Alaska,3.25%,2.50%,4.22%,1.62%,1.01%,2.58%,5.62%,3.94%,7.95%,3.12%,2.23%,4.36%,3.43%,2.60%,4.52%
8,Arizona,3.26%,2.50%,4.23%,1.65%,1.11%,2.44%,3.90%,2.85%,5.31%,3.34%,2.44%,4.57%,3.42%,2.60%,4.48%
9,Arkansas,3.55%,2.77%,4.55%,1.58%,1.08%,2.29%,3.92%,2.88%,5.31%,3.74%,2.77%,5.04%,3.77%,2.90%,4.88%
10,California,3.44%,2.93%,4.03%,1.66%,1.19%,2.32%,4.34%,3.34%,5.61%,3.51%,2.90%,4.24%,3.62%,3.07%,4.27%
11,Colorado,3.60%,2.85%,4.54%,1.42%,0.96%,2.08%,4.84%,3.56%,6.55%,3.65%,2.75%,4.82%,3.81%,2.99%,4.83%
12,Connecticut,3.45%,2.65%,4.47%,1.74%,1.17%,2.57%,4.74%,3.44%,6.49%,3.44%,2.49%,4.73%,3.61%,2.75%,4.73%
13,Delaware,3.58%,2.75%,4.64%,2.00%,1.38%,2.90%,3.22%,2.28%,4.54%,3.79%,2.79%,5.12%,3.72%,2.83%,4.89%
14,District of Columbia,5.53%,4.38%,6.97%,1.08%,0.62%,1.85%,6.88%,4.96%,9.46%,5.65%,4.29%,7.40%,5.82%,4.60%,7.36%
15,Florida,2.93%,2.41%,3.56%,1.53%,1.10%,2.13%,3.88%,3.04%,4.93%,2.94%,2.33%,3.71%,3.05%,2.49%,3.73%
16,Georgia,3.48%,2.81%,4.30%,1.72%,1.19%,2.48%,3.80%,2.87%,5.02%,3.66%,2.84%,4.71%,3.68%,2.94%,4.59%
17,Hawaii,3.32%,2.56%,4.29%,1.88%,1.14%,3.08%,5.33%,3.63%,7.75%,3.22%,2.35%,4.38%,3.45%,2.64%,4.50%
18,Idaho,2.94%,2.25%,3.84%,1.59%,1.07%,2.37%,3.54%,2.60%,4.82%,3.02%,2.18%,4.18%,3.10%,2.33%,4.10%
19,Illinois,3.35%,2.72%,4.12%,1.56%,1.13%,2.14%,3.64%,2.82%,4.69%,3.51%,2.75%,4.49%,3.53%,2.84%,4.38%
20,Indiana,3.24%,2.59%,4.04%,1.67%,1.19%,2.35%,4.80%,3.70%,6.19%,3.18%,2.39%,4.22%,3.41%,2.70%,4.30%
21,Iowa,3.00%,2.31%,3.87%,1.37%,0.92%,2.03%,4.01%,2.89%,5.53%,3.02%,2.19%,4.16%,3.17%,2.42%,4.14%
22,Kansas,2.86%,2.23%,3.65%,1.52%,1.03%,2.23%,3.74%,2.67%,5.23%,2.88%,2.11%,3.92%,3.01%,2.32%,3.89%
23,Kentucky,3.97%,3.15%,4.99%,1.75%,1.18%,2.60%,5.34%,3.96%,7.17%,4.03%,3.04%,5.31%,4.20%,3.31%,5.33%
24,Louisiana,4.01%,3.17%,5.07%,1.81%,1.25%,2.63%,4.82%,3.53%,6.53%,4.16%,3.14%,5.49%,4.25%,3.33%,5.42%
