"Table 7. Cocaine Use in the Past Year: Among People Aged 12 or Older; by Age Group and State, Annual Average Percentages, 2022 and 2023",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on the survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
NOTE: The column labeled “Order” can be used to sort the data to the original sort order.,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Surveys on Drug Use and Health, 2022 and 2023.",,,,,,,,,,,,,,,,
Order,State,"12+ Estimate","12+ 95% CI (Lower)","12+ 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)","18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)"
1,Total U.S.,1.82%,1.70%,1.95%,0.20%,0.13%,0.30%,3.40%,3.07%,3.76%,1.76%,1.62%,1.92%,1.98%,1.85%,2.13%
2,Northeast,1.99%,1.74%,2.27%,0.19%,0.11%,0.34%,3.88%,3.27%,4.60%,1.89%,1.61%,2.21%,2.15%,1.88%,2.46%
3,Midwest,1.79%,1.60%,2.01%,0.20%,0.11%,0.34%,3.40%,2.96%,3.90%,1.73%,1.50%,1.99%,1.96%,1.74%,2.19%
4,South,1.58%,1.42%,1.77%,0.18%,0.10%,0.30%,2.81%,2.45%,3.23%,1.56%,1.37%,1.78%,1.73%,1.55%,1.93%
5,West,2.10%,1.84%,2.40%,0.24%,0.14%,0.41%,4.00%,3.38%,4.73%,2.03%,1.73%,2.38%,2.29%,2.00%,2.62%
6,Alabama,1.41%,0.99%,2.00%,0.15%,0.07%,0.31%,2.30%,1.54%,3.42%,1.41%,0.95%,2.11%,1.54%,1.08%,2.19%
7,Alaska,1.30%,0.91%,1.84%,0.18%,0.09%,0.38%,2.75%,1.81%,4.15%,1.23%,0.82%,1.85%,1.42%,0.99%,2.03%
8,Arizona,2.00%,1.43%,2.79%,0.24%,0.12%,0.46%,3.91%,2.60%,5.83%,1.91%,1.30%,2.79%,2.18%,1.56%,3.05%
9,Arkansas,1.38%,0.91%,2.09%,0.16%,0.07%,0.34%,2.04%,1.27%,3.24%,1.42%,0.89%,2.27%,1.51%,0.99%,2.30%
10,California,2.22%,1.82%,2.71%,0.25%,0.13%,0.48%,4.06%,3.12%,5.27%,2.17%,1.71%,2.73%,2.42%,1.98%,2.96%
11,Colorado,2.48%,1.86%,3.32%,0.24%,0.12%,0.48%,4.93%,3.47%,6.96%,2.36%,1.67%,3.31%,2.70%,2.01%,3.61%
12,Connecticut,2.11%,1.49%,2.97%,0.24%,0.11%,0.50%,4.29%,2.83%,6.45%,1.97%,1.31%,2.95%,2.28%,1.61%,3.23%
13,Delaware,1.57%,1.10%,2.24%,0.18%,0.09%,0.35%,2.79%,1.83%,4.23%,1.55%,1.04%,2.32%,1.70%,1.19%,2.43%
14,District of Columbia,3.35%,2.42%,4.60%,0.05%,0.02%,0.16%,6.93%,4.75%,9.99%,2.98%,2.01%,4.40%,3.56%,2.58%,4.90%
15,Florida,1.57%,1.22%,2.00%,0.18%,0.10%,0.34%,3.37%,2.53%,4.47%,1.47%,1.09%,1.96%,1.68%,1.31%,2.16%
16,Georgia,1.59%,1.18%,2.15%,0.16%,0.08%,0.30%,3.07%,2.14%,4.39%,1.54%,1.08%,2.18%,1.75%,1.29%,2.37%
17,Hawaii,1.50%,1.05%,2.15%,0.20%,0.08%,0.50%,3.62%,2.35%,5.52%,1.38%,0.91%,2.08%,1.62%,1.13%,2.32%
18,Idaho,1.61%,1.15%,2.25%,0.23%,0.11%,0.48%,3.30%,2.29%,4.75%,1.51%,1.01%,2.26%,1.77%,1.26%,2.49%
19,Illinois,2.34%,1.80%,3.03%,0.25%,0.13%,0.46%,4.04%,2.99%,5.42%,2.32%,1.72%,3.12%,2.55%,1.96%,3.31%
20,Indiana,1.40%,0.99%,1.96%,0.18%,0.09%,0.38%,2.64%,1.81%,3.84%,1.34%,0.89%,2.01%,1.53%,1.08%,2.15%
21,Iowa,1.55%,1.09%,2.21%,0.20%,0.09%,0.41%,3.17%,2.10%,4.76%,1.44%,0.95%,2.19%,1.70%,1.19%,2.42%
22,Kansas,1.57%,1.09%,2.25%,0.21%,0.10%,0.43%,3.12%,2.09%,4.63%,1.48%,0.96%,2.25%,1.72%,1.19%,2.48%
23,Kentucky,1.69%,1.21%,2.35%,0.19%,0.09%,0.38%,3.13%,2.12%,4.59%,1.65%,1.13%,2.40%,1.84%,1.32%,2.57%
24,Louisiana,1.95%,1.40%,2.71%,0.15%,0.08%,0.32%,2.63%,1.73%,3.96%,2.07%,1.44%,2.96%,2.14%,1.54%,2.98%
25,Maine,2.01%,1.47%,2.74%,0.20%,0.10%,0.40%,5.38%,3.70%,7.76%,1.75%,1.21%,2.53%,2.15%,1.58%,2.94%
26,Maryland,1.43%,0.99%,2.06%,0.16%,0.08%,0.35%,2.75%,1.80%,4.18%,1.39%,0.92%,2.09%,1.56%,1.08%,2.25%
27,Massachusetts,2.27%,1.69%,3.05%,0.23%,0.12%,0.48%,5.39%,3.78%,7.64%,1.97%,1.39%,2.80%,2.45%,1.82%,3.29%
28,Michigan,1.72%,1.32%,2.22%,0.18%,0.09%,0.34%,3.16%,2.32%,4.30%,1.66%,1.23%,2.25%,1.86%,1.44%,2.42%
29,Minnesota,1.56%,1.10%,2.22%,0.20%,0.09%,0.43%,3.59%,2.36%,5.43%,1.42%,0.94%,2.15%,1.71%,1.19%,2.44%
30,Mississippi,1.43%,1.00%,2.06%,0.14%,0.07%,0.30%,2.18%,1.41%,3.37%,1.48%,0.98%,2.22%,1.58%,1.09%,2.28%
31,Missouri,1.70%,1.20%,2.40%,0.18%,0.09%,0.38%,3.14%,2.09%,4.68%,1.66%,1.11%,2.46%,1.86%,1.31%,2.63%
32,Montana,1.92%,1.39%,2.66%,0.20%,0.10%,0.41%,4.84%,3.33%,6.99%,1.67%,1.13%,2.47%,2.09%,1.50%,2.90%
33,Nebraska,1.52%,1.09%,2.12%,0.20%,0.10%,0.44%,3.00%,2.01%,4.47%,1.44%,0.98%,2.12%,1.67%,1.20%,2.33%
34,Nevada,1.76%,1.25%,2.46%,0.23%,0.12%,0.47%,3.23%,2.17%,4.78%,1.73%,1.19%,2.53%,1.91%,1.36%,2.69%
35,New Hampshire,2.06%,1.52%,2.77%,0.25%,0.12%,0.52%,5.83%,4.00%,8.42%,1.71%,1.19%,2.44%,2.21%,1.63%,2.97%
36,New Jersey,1.34%,0.93%,1.92%,0.18%,0.09%,0.39%,2.91%,1.93%,4.36%,1.25%,0.82%,1.90%,1.45%,1.01%,2.10%
