"Table 8. Perceptions of Great Risk from Using Cocaine Once a Month: Among People Aged 12 or Older; by Age Group and State, Annual Average Percentages, 2022 and 2023",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on the survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
NOTE: The column labeled “Order” can be used to sort the data to the original sort order.,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Surveys on Drug Use and Health, 2022 and 2023.",,,,,,,,,,,,,,,,
Order,State,"12+ Estimate","12+ 95% CI (Lower)","12+ 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)","18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)"
1,Total U.S.,65.40%,64.87%,65.93%,48.50%,47.50%,49.51%,58.11%,57.15%,59.05%,68.46%,67.83%,69.09%,67.07%,66.50%,67.64%
2,Northeast,64.50%,63.46%,65.53%,47.47%,45.45%,49.49%,57.70%,55.71%,59.67%,67.27%,66.05%,68.46%,66.02%,64.91%,67.12%
3,Midwest,64.66%,63.81%,65.49%,46.81%,45.07%,48.55%,56.90%,55.16%,58.63%,67.98%,66.98%,68.96%,66.46%,65.55%,67.36%
4,South,68.59%,67.88%,69.28%,50.96%,49.32%,52.60%,60.71%,59.05%,62.35%,71.89%,71.08%,72.68%,70.38%,69.63%,71.13%
5,West,61.53%,60.50%,62.56%,46.60%,44.53%,48.69%,55.23%,53.12%,57.32%,64.23%,63.01%,65.42%,63.02%,61.90%,64.13%
6,Alabama,69.85%,67.37%,72.22%,53.71%,48.93%,58.43%,63.73%,59.44%,67.80%,72.70%,69.76%,75.46%,71.46%,68.79%,73.99%
7,Alaska,59.48%,56.37%,62.51%,43.07%,37.84%,48.45%,53.57%,48.84%,58.24%,62.38%,58.71%,65.92%,61.29%,57.92%,64.55%
8,Arizona,62.47%,59.40%,65.45%,45.57%,40.73%,50.50%,56.17%,51.48%,60.76%,65.42%,61.68%,68.98%,64.15%,60.79%,67.37%
9,Arkansas,69.67%,66.96%,72.25%,51.55%,46.44%,56.64%,62.40%,57.89%,66.69%,73.07%,69.84%,76.08%,71.59%,68.68%,74.33%
10,California,62.66%,61.00%,64.29%,46.96%,43.64%,50.32%,55.80%,52.64%,58.90%,65.53%,63.56%,67.45%,64.22%,62.42%,65.99%
11,Colorado,56.53%,53.60%,59.42%,43.03%,38.20%,48.00%,49.34%,44.42%,54.27%,59.12%,55.69%,62.46%,57.80%,54.68%,60.87%
12,Connecticut,62.58%,59.56%,65.51%,41.44%,36.46%,46.60%,54.71%,49.77%,59.56%,66.07%,62.52%,69.44%,64.55%,61.31%,67.66%
13,Delaware,65.18%,62.37%,67.90%,47.41%,42.75%,52.10%,59.31%,54.69%,63.78%,67.84%,64.54%,70.98%,66.81%,63.79%,69.69%
14,District of Columbia,53.72%,50.47%,56.94%,46.99%,41.90%,52.13%,53.35%,48.32%,58.32%,54.28%,50.52%,57.99%,54.15%,50.74%,57.52%
15,Florida,69.92%,68.23%,71.56%,49.54%,46.45%,52.63%,60.09%,56.82%,63.28%,73.18%,71.21%,75.06%,71.66%,69.85%,73.40%
16,Georgia,69.36%,67.05%,71.58%,52.34%,48.17%,56.48%,62.81%,59.00%,66.47%,72.58%,69.83%,75.18%,71.22%,68.71%,73.60%
17,Hawaii,64.90%,61.78%,67.90%,45.70%,40.46%,51.04%,57.07%,51.92%,62.07%,67.77%,64.09%,71.25%,66.60%,63.20%,69.83%
18,Idaho,62.85%,59.92%,65.69%,47.09%,42.30%,51.93%,56.40%,51.94%,60.76%,66.07%,62.48%,69.49%,64.65%,61.43%,67.74%
19,Illinois,62.42%,60.21%,64.58%,44.77%,40.92%,48.68%,56.18%,52.56%,59.74%,65.42%,62.74%,68.01%,64.19%,61.77%,66.53%
20,Indiana,69.12%,66.72%,71.42%,49.47%,44.76%,54.20%,60.21%,56.25%,64.04%,73.07%,70.16%,75.79%,71.21%,68.62%,73.68%
21,Iowa,63.41%,60.46%,66.26%,46.35%,41.35%,51.43%,56.91%,52.04%,61.64%,66.63%,63.10%,69.98%,65.19%,62.01%,68.25%
22,Kansas,65.91%,63.13%,68.58%,47.39%,42.44%,52.39%,55.75%,51.20%,60.21%,70.12%,66.73%,73.31%,67.97%,64.94%,70.85%
23,Kentucky,68.38%,65.85%,70.79%,53.49%,48.51%,58.39%,60.18%,55.95%,64.28%,71.38%,68.36%,74.22%,69.89%,67.17%,72.48%
24,Louisiana,70.17%,67.64%,72.58%,55.77%,51.03%,60.40%,65.64%,61.01%,69.99%,72.64%,69.64%,75.46%,71.69%,68.96%,74.28%
25,Maine,63.56%,60.52%,66.49%,48.23%,43.44%,53.05%,54.52%,49.64%,59.31%,66.07%,62.52%,69.45%,64.78%,61.53%,67.89%
26,Maryland,64.52%,61.72%,67.22%,46.61%,41.96%,51.32%,55.72%,50.98%,60.36%,67.81%,64.44%,71.00%,66.30%,63.25%,69.22%
27,Massachusetts,60.20%,57.25%,63.08%,46.83%,41.92%,51.81%,54.43%,50.03%,58.76%,62.44%,58.93%,65.83%,61.33%,58.17%,64.39%
28,Michigan,66.65%,64.74%,68.50%,47.62%,44.14%,51.13%,61.04%,57.89%,64.10%,69.61%,67.33%,71.81%,68.46%,66.40%,70.45%
29,Minnesota,60.14%,56.90%,63.30%,40.84%,35.72%,46.16%,50.94%,45.81%,56.04%,63.85%,60.01%,67.51%,62.14%,58.64%,65.53%
30,Mississippi,73.65%,71.03%,76.12%,58.50%,53.63%,63.21%,65.93%,61.43%,70.16%,76.89%,73.79%,79.73%,75.33%,72.51%,77.95%
31,Missouri,65.56%,62.71%,68.30%,48.78%,44.11%,53.47%,58.74%,53.96%,63.36%,68.58%,65.22%,71.76%,67.25%,64.16%,70.20%
32,Montana,60.82%,57.63%,63.93%,46.05%,40.66%,51.53%,49.99%,44.64%,55.33%,64.07%,60.31%,67.67%,62.21%,58.78%,65.52%
33,Nebraska,63.38%,60.64%,66.03%,41.85%,37.12%,46.73%,51.73%,46.68%,56.75%,68.22%,64.96%,71.32%,65.79%,62.84%,68.63%
