"Table 9. Heroin Use in the Past Year: Among People Aged 12 or Older; by Age Group and State, Annual Average Percentages, 2022 and 2023",,,,,,,,,,,,,,,,
 -- = not available.,,,,,,,,,,,,,,,,
"NOTE: Estimates for youths aged 12 to 17 are not available for past year heroin use because this outcome was extremely rare among youths aged 12 to 17 in the 2022 and 2023 National Surveys on Drug Use and Health. As a result, estimates for people aged 12 or older are also not produced.",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on the survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
NOTE: The column labeled “Order” can be used to sort the data to the original sort order.,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Surveys on Drug Use and Health, 2022 and 2023.",,,,,,,,,,,,,,,,
Order,State,"12+ Estimate","12+ 95% CI (Lower)","12+ 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)","18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)"
1,Total U.S.,--,--,--,--,--,--,0.12%,0.08%,0.17%,0.36%,0.30%,0.44%,0.33%,0.28%,0.39%
2,Northeast,--,--,--,--,--,--,0.13%,0.07%,0.27%,0.45%,0.33%,0.62%,0.41%,0.30%,0.56%
3,Midwest,--,--,--,--,--,--,0.21%,0.12%,0.38%,0.34%,0.25%,0.46%,0.32%,0.24%,0.43%
4,South,--,--,--,--,--,--,0.07%,0.03%,0.20%,0.36%,0.28%,0.47%,0.32%,0.25%,0.42%
5,West,--,--,--,--,--,--,0.10%,0.04%,0.23%,0.33%,0.23%,0.46%,0.29%,0.21%,0.42%
6,Alabama,--,--,--,--,--,--,0.05%,0.01%,0.21%,0.27%,0.13%,0.58%,0.24%,0.12%,0.50%
7,Alaska,--,--,--,--,--,--,0.23%,0.10%,0.51%,0.88%,0.33%,2.31%,0.80%,0.32%,2.00%
8,Arizona,--,--,--,--,--,--,0.11%,0.04%,0.30%,0.37%,0.17%,0.82%,0.34%,0.16%,0.71%
9,Arkansas,--,--,--,--,--,--,0.08%,0.02%,0.25%,0.21%,0.09%,0.50%,0.19%,0.09%,0.44%
10,California,--,--,--,--,--,--,0.06%,0.02%,0.20%,0.28%,0.15%,0.53%,0.25%,0.14%,0.46%
11,Colorado,--,--,--,--,--,--,0.16%,0.07%,0.39%,0.28%,0.12%,0.63%,0.26%,0.12%,0.56%
12,Connecticut,--,--,--,--,--,--,0.17%,0.07%,0.42%,0.46%,0.23%,0.92%,0.42%,0.22%,0.82%
13,Delaware,--,--,--,--,--,--,0.06%,0.02%,0.22%,0.63%,0.32%,1.23%,0.56%,0.29%,1.09%
14,District of Columbia,--,--,--,--,--,--,0.06%,0.01%,0.29%,0.66%,0.29%,1.48%,0.57%,0.26%,1.26%
15,Florida,--,--,--,--,--,--,0.07%,0.02%,0.24%,0.28%,0.15%,0.51%,0.25%,0.14%,0.46%
16,Georgia,--,--,--,--,--,--,0.03%,0.00%,0.19%,0.40%,0.20%,0.79%,0.34%,0.17%,0.68%
17,Hawaii,--,--,--,--,--,--,0.04%,0.01%,0.22%,0.25%,0.11%,0.60%,0.23%,0.10%,0.53%
18,Idaho,--,--,--,--,--,--,0.18%,0.08%,0.41%,0.30%,0.14%,0.65%,0.29%,0.14%,0.58%
19,Illinois,--,--,--,--,--,--,0.07%,0.03%,0.21%,0.36%,0.19%,0.69%,0.33%,0.18%,0.60%
20,Indiana,--,--,--,--,--,--,0.21%,0.10%,0.47%,0.46%,0.22%,0.96%,0.43%,0.22%,0.84%
21,Iowa,--,--,--,--,--,--,0.31%,0.14%,0.69%,0.24%,0.11%,0.55%,0.25%,0.13%,0.52%
22,Kansas,--,--,--,--,--,--,0.13%,0.06%,0.31%,0.25%,0.11%,0.58%,0.23%,0.11%,0.50%
23,Kentucky,--,--,--,--,--,--,0.26%,0.10%,0.66%,0.53%,0.24%,1.15%,0.49%,0.24%,1.02%
