"Table 10. Perceptions of Great Risk from Trying Heroin Once or Twice: Among People Aged 12 or Older; by Age Group and State, Annual Average Percentages, 2022 and 2023",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on the survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
NOTE: The column labeled “Order” can be used to sort the data to the original sort order.,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Surveys on Drug Use and Health, 2022 and 2023.",,,,,,,,,,,,,,,,
Order,State,"12+ Estimate","12+ 95% CI (Lower)","12+ 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)","18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)"
1,Total U.S.,81.47%,81.09%,81.85%,55.18%,54.18%,56.18%,76.54%,75.75%,77.30%,85.22%,84.78%,85.65%,84.05%,83.66%,84.44%
2,Northeast,81.63%,80.88%,82.35%,54.56%,52.59%,56.51%,77.73%,76.20%,79.19%,84.96%,84.08%,85.80%,84.02%,83.22%,84.79%
3,Midwest,81.12%,80.47%,81.74%,53.33%,51.73%,54.92%,75.82%,74.51%,77.08%,85.19%,84.43%,85.92%,83.91%,83.22%,84.57%
4,South,82.93%,82.42%,83.42%,56.71%,55.21%,58.19%,77.61%,76.43%,78.76%,86.82%,86.22%,87.39%,85.58%,85.03%,86.11%
5,West,79.31%,78.51%,80.08%,54.70%,52.79%,56.60%,74.56%,72.90%,76.15%,82.85%,81.91%,83.76%,81.74%,80.87%,82.57%
6,Alabama,83.31%,81.55%,84.94%,59.20%,54.67%,63.57%,78.51%,74.70%,81.89%,86.85%,84.79%,88.68%,85.70%,83.82%,87.39%
7,Alaska,76.17%,73.58%,78.57%,51.05%,45.75%,56.32%,71.91%,67.59%,75.86%,79.91%,76.74%,82.74%,78.92%,76.12%,81.47%
8,Arizona,80.57%,78.35%,82.60%,53.86%,49.01%,58.64%,73.76%,69.26%,77.80%,84.70%,82.12%,86.96%,83.19%,80.84%,85.29%
9,Arkansas,82.06%,80.03%,83.92%,56.61%,51.56%,61.52%,78.08%,74.30%,81.45%,85.81%,83.39%,87.93%,84.73%,82.57%,86.67%
10,California,79.34%,78.04%,80.58%,55.31%,52.21%,58.37%,74.36%,71.71%,76.85%,82.85%,81.32%,84.27%,81.71%,80.31%,83.02%
11,Colorado,78.76%,76.63%,80.74%,53.40%,48.65%,58.08%,74.93%,70.57%,78.85%,82.09%,79.63%,84.31%,81.13%,78.89%,83.18%
12,Connecticut,80.37%,78.16%,82.40%,51.24%,46.33%,56.12%,76.38%,71.77%,80.43%,84.07%,81.45%,86.39%,83.04%,80.68%,85.17%
13,Delaware,82.57%,80.60%,84.38%,55.77%,51.18%,60.25%,77.51%,73.32%,81.20%,86.03%,83.76%,88.03%,85.00%,82.90%,86.89%
14,District of Columbia,76.92%,74.37%,79.29%,52.55%,47.53%,57.52%,75.97%,71.25%,80.14%,78.89%,75.94%,81.56%,78.46%,75.78%,80.92%
15,Florida,84.47%,83.24%,85.62%,55.26%,52.13%,58.34%,75.21%,72.15%,78.03%,88.46%,87.02%,89.77%,86.93%,85.62%,88.14%
16,Georgia,82.15%,80.45%,83.74%,55.45%,51.46%,59.37%,77.72%,74.41%,80.71%,86.24%,84.20%,88.06%,85.05%,83.23%,86.70%
17,Hawaii,78.63%,76.02%,81.03%,50.78%,45.88%,55.66%,72.54%,67.78%,76.83%,82.11%,79.05%,84.82%,81.07%,78.26%,83.59%
18,Idaho,79.58%,77.33%,81.65%,52.51%,47.77%,57.21%,76.25%,72.20%,79.87%,83.76%,81.03%,86.16%,82.65%,80.24%,84.82%
