"Table 11. Hallucinogen Use in the Past Year: Among People Aged 12 or Older; by Age Group and State, Annual Average Percentages, 2022 and 2023",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on the survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
NOTE: The column labeled “Order” can be used to sort the data to the original sort order.,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Surveys on Drug Use and Health, 2022 and 2023.",,,,,,,,,,,,,,,,
Order,State,"12+ Estimate","12+ 95% CI (Lower)","12+ 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)","18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)"
1,Total U.S.,3.06%,2.92%,3.21%,1.44%,1.26%,1.66%,7.20%,6.73%,7.69%,2.61%,2.45%,2.78%,3.22%,3.07%,3.39%
2,Northeast,3.32%,3.00%,3.68%,1.37%,1.12%,1.67%,8.25%,7.30%,9.31%,2.79%,2.45%,3.18%,3.50%,3.15%,3.88%
3,Midwest,2.57%,2.34%,2.82%,1.23%,1.00%,1.50%,6.99%,6.29%,7.75%,2.03%,1.79%,2.30%,2.71%,2.45%,2.98%
4,South,2.44%,2.25%,2.64%,1.31%,1.10%,1.56%,5.82%,5.23%,6.46%,2.05%,1.85%,2.27%,2.55%,2.35%,2.77%
5,West,4.31%,3.91%,4.74%,1.90%,1.53%,2.37%,8.87%,7.86%,10.00%,3.88%,3.43%,4.39%,4.55%,4.12%,5.02%
6,Alabama,1.81%,1.31%,2.50%,0.99%,0.64%,1.54%,4.32%,2.95%,6.29%,1.50%,1.02%,2.21%,1.89%,1.36%,2.64%
7,Alaska,3.03%,2.22%,4.14%,1.99%,1.26%,3.13%,6.70%,4.64%,9.58%,2.65%,1.82%,3.85%,3.15%,2.27%,4.36%
8,Arizona,4.25%,3.22%,5.58%,2.16%,1.45%,3.20%,10.61%,7.74%,14.37%,3.47%,2.46%,4.87%,4.46%,3.36%,5.90%
9,Arkansas,2.23%,1.63%,3.05%,1.37%,0.92%,2.02%,5.03%,3.47%,7.23%,1.89%,1.28%,2.78%,2.33%,1.68%,3.22%
10,California,4.23%,3.63%,4.91%,1.83%,1.35%,2.47%,7.54%,6.16%,9.21%,3.99%,3.32%,4.79%,4.47%,3.82%,5.22%
11,Colorado,5.66%,4.53%,7.06%,2.19%,1.48%,3.24%,12.09%,9.13%,15.83%,5.06%,3.87%,6.57%,6.00%,4.77%,7.51%
12,Connecticut,3.12%,2.33%,4.16%,1.51%,1.03%,2.21%,8.38%,5.76%,12.02%,2.48%,1.76%,3.49%,3.27%,2.43%,4.39%
13,Delaware,2.73%,2.03%,3.65%,1.70%,1.12%,2.58%,8.08%,5.67%,11.39%,2.11%,1.46%,3.03%,2.82%,2.08%,3.81%
14,District of Columbia,7.09%,5.48%,9.12%,0.86%,0.53%,1.42%,8.47%,5.94%,11.96%,7.32%,5.52%,9.65%,7.49%,5.79%,9.65%
15,Florida,2.38%,1.96%,2.89%,1.71%,1.23%,2.37%,6.30%,4.93%,8.01%,1.94%,1.51%,2.49%,2.44%,1.99%,2.99%
16,Georgia,2.38%,1.82%,3.10%,1.02%,0.69%,1.50%,5.06%,3.66%,6.95%,2.12%,1.53%,2.93%,2.53%,1.92%,3.32%
17,Hawaii,3.22%,2.38%,4.33%,1.06%,0.64%,1.74%,7.02%,4.82%,10.11%,2.98%,2.09%,4.22%,3.41%,2.51%,4.62%
18,Idaho,3.71%,2.79%,4.91%,1.37%,0.91%,2.07%,8.40%,6.18%,11.33%,3.21%,2.22%,4.62%,3.98%,2.97%,5.30%
19,Illinois,2.71%,2.17%,3.39%,1.33%,0.94%,1.89%,6.75%,5.20%,8.71%,2.25%,1.70%,2.98%,2.85%,2.26%,3.59%
20,Indiana,2.24%,1.72%,2.90%,1.14%,0.76%,1.70%,6.58%,4.92%,8.74%,1.64%,1.15%,2.35%,2.36%,1.80%,3.08%
21,Iowa,2.15%,1.52%,3.03%,1.17%,0.75%,1.81%,6.12%,3.99%,9.27%,1.58%,1.03%,2.41%,2.25%,1.57%,3.21%
22,Kansas,2.48%,1.80%,3.40%,1.34%,0.87%,2.05%,6.69%,4.66%,9.51%,1.89%,1.27%,2.80%,2.61%,1.88%,3.61%
23,Kentucky,2.40%,1.78%,3.21%,1.09%,0.74%,1.62%,6.10%,4.31%,8.56%,1.98%,1.38%,2.84%,2.53%,1.87%,3.42%
24,Louisiana,3.28%,2.47%,4.35%,1.44%,0.95%,2.17%,6.47%,4.40%,9.40%,3.01%,2.17%,4.16%,3.48%,2.60%,4.64%
25,Maine,4.52%,3.50%,5.82%,1.56%,0.97%,2.50%,14.18%,10.69%,18.57%,3.59%,2.59%,4.95%,4.76%,3.67%,6.15%
26,Maryland,2.71%,2.00%,3.68%,1.62%,1.09%,2.39%,7.67%,5.39%,10.81%,2.13%,1.47%,3.09%,2.82%,2.06%,3.86%
27,Massachusetts,3.84%,2.96%,4.98%,1.45%,0.95%,2.20%,9.29%,6.68%,12.78%,3.20%,2.35%,4.34%,4.05%,3.10%,5.27%
28,Michigan,2.96%,2.43%,3.60%,1.13%,0.80%,1.58%,7.13%,5.63%,8.99%,2.51%,1.96%,3.21%,3.13%,2.56%,3.83%
29,Minnesota,3.08%,2.29%,4.12%,1.48%,1.00%,2.20%,9.95%,7.08%,13.80%,2.23%,1.54%,3.22%,3.24%,2.40%,4.37%
30,Mississippi,2.06%,1.48%,2.85%,1.04%,0.68%,1.58%,4.93%,3.28%,7.34%,1.71%,1.17%,2.50%,2.17%,1.55%,3.03%
31,Missouri,2.36%,1.68%,3.31%,1.34%,0.87%,2.03%,5.69%,3.84%,8.35%,1.96%,1.30%,2.96%,2.47%,1.73%,3.50%
32,Montana,4.18%,3.17%,5.50%,1.65%,1.10%,2.47%,10.61%,7.58%,14.67%,3.48%,2.47%,4.88%,4.42%,3.33%,5.85%
33,Nebraska,1.84%,1.31%,2.58%,1.20%,0.75%,1.90%,4.86%,3.15%,7.43%,1.40%,0.94%,2.10%,1.91%,1.34%,2.72%
34,Nevada,3.67%,2.79%,4.81%,1.95%,1.31%,2.89%,9.85%,7.11%,13.48%,3.03%,2.17%,4.22%,3.84%,2.90%,5.08%
35,New Hampshire,3.24%,2.49%,4.20%,1.16%,0.75%,1.80%,10.25%,7.45%,13.95%,2.48%,1.78%,3.43%,3.41%,2.61%,4.44%
36,New Jersey,2.26%,1.71%,2.99%,1.15%,0.77%,1.73%,5.84%,4.19%,8.07%,1.89%,1.34%,2.65%,2.37%,1.78%,3.16%
37,New Mexico,3.55%,2.73%,4.60%,1.85%,1.23%,2.77%,10.00%,7.17%,13.78%,2.74%,1.98%,3.77%,3.73%,2.84%,4.87%
38,New York,3.70%,3.09%,4.43%,1.45%,1.05%,2.00%,8.54%,6.86%,10.59%,3.21%,2.55%,4.03%,3.90%,3.24%,4.68%
39,North Carolina,1.99%,1.45%,2.73%,1.27%,0.84%,1.91%,5.29%,3.61%,7.71%,1.57%,1.07%,2.28%,2.07%,1.49%,2.86%
40,North Dakota,2.08%,1.40%,3.08%,1.04%,0.59%,1.84%,4.76%,2.95%,7.59%,1.68%,1.02%,2.74%,2.19%,1.45%,3.28%
41,Ohio,2.40%,1.95%,2.96%,1.03%,0.73%,1.45%,7.10%,5.62%,8.93%,1.85%,1.41%,2.44%,2.54%,2.05%,3.15%
42,Oklahoma,2.72%,2.02%,3.65%,1.69%,1.14%,2.50%,6.78%,4.77%,9.56%,2.15%,1.49%,3.09%,2.83%,2.08%,3.84%
43,Oregon,6.15%,4.84%,7.77%,2.66%,1.72%,4.10%,15.11%,11.45%,19.68%,5.25%,3.90%,7.03%,6.46%,5.07%,8.21%
44,Pennsylvania,2.98%,2.43%,3.64%,1.33%,0.97%,1.84%,7.27%,5.67%,9.27%,2.51%,1.95%,3.23%,3.13%,2.54%,3.85%
45,Rhode Island,4.04%,3.03%,5.36%,1.37%,0.88%,2.11%,9.77%,6.92%,13.60%,3.36%,2.38%,4.74%,4.26%,3.18%,5.68%
46,South Carolina,2.61%,1.85%,3.67%,1.13%,0.75%,1.69%,6.76%,4.51%,10.03%,2.16%,1.45%,3.22%,2.76%,1.94%,3.90%
47,South Dakota,1.94%,1.36%,2.74%,1.19%,0.73%,1.92%,5.80%,3.89%,8.57%,1.39%,0.88%,2.18%,2.02%,1.40%,2.90%
48,Tennessee,4.04%,3.11%,5.22%,1.68%,1.11%,2.55%,8.54%,6.29%,11.49%,3.63%,2.65%,4.95%,4.27%,3.27%,5.56%
49,Texas,2.04%,1.67%,2.51%,1.10%,0.77%,1.57%,4.55%,3.49%,5.91%,1.74%,1.35%,2.24%,2.16%,1.75%,2.66%
50,Utah,3.27%,2.56%,4.16%,1.59%,1.08%,2.32%,6.22%,4.46%,8.62%,2.87%,2.12%,3.87%,3.50%,2.72%,4.50%
51,Vermont,5.59%,4.42%,7.05%,1.44%,0.91%,2.29%,19.12%,14.51%,24.76%,3.85%,2.82%,5.25%,5.92%,4.67%,7.48%
52,Virginia,2.65%,2.12%,3.31%,1.38%,0.98%,1.94%,7.32%,5.49%,9.70%,2.08%,1.57%,2.73%,2.77%,2.21%,3.49%
53,Washington,4.22%,3.32%,5.36%,1.96%,1.35%,2.86%,9.39%,6.95%,12.59%,3.74%,2.81%,4.98%,4.44%,3.47%,5.66%
54,West Virginia,1.96%,1.34%,2.86%,1.00%,0.60%,1.64%,4.96%,3.19%,7.62%,1.63%,1.03%,2.57%,2.05%,1.38%,3.02%
55,Wisconsin,2.69%,2.02%,3.58%,1.34%,0.89%,2.00%,8.02%,5.82%,10.96%,2.01%,1.39%,2.90%,2.83%,2.11%,3.78%
56,Wyoming,2.77%,2.00%,3.84%,1.19%,0.79%,1.79%,8.41%,5.84%,11.97%,2.10%,1.40%,3.15%,2.95%,2.11%,4.11%
