"Table 12. Methamphetamine Use in the Past Year: Among People Aged 12 or Older; by Age Group and State, Annual Average Percentages, 2022 and 2023",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on the survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
NOTE: The column labeled “Order” can be used to sort the data to the original sort order.,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Surveys on Drug Use and Health, 2022 and 2023.",,,,,,,,,,,,,,,,
Order,State,"12+ Estimate","12+ 95% CI (Lower)","12+ 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)","18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)"
1,Total U.S.,0.94%,0.84%,1.06%,0.11%,0.06%,0.21%,0.39%,0.30%,0.51%,1.12%,0.99%,1.27%,1.03%,0.91%,1.15%
2,Northeast,0.61%,0.47%,0.79%,0.11%,0.04%,0.31%,0.27%,0.18%,0.39%,0.71%,0.54%,0.93%,0.65%,0.50%,0.85%
3,Midwest,0.95%,0.79%,1.13%,0.13%,0.04%,0.42%,0.65%,0.47%,0.89%,1.09%,0.91%,1.31%,1.03%,0.87%,1.22%
4,South,0.95%,0.82%,1.11%,0.11%,0.04%,0.32%,0.36%,0.27%,0.47%,1.14%,0.98%,1.34%,1.04%,0.89%,1.21%
5,West,1.17%,0.97%,1.41%,0.09%,0.03%,0.30%,0.31%,0.22%,0.44%,1.43%,1.17%,1.74%,1.28%,1.06%,1.55%
6,Alabama,1.09%,0.70%,1.70%,0.10%,0.02%,0.39%,0.39%,0.23%,0.66%,1.33%,0.83%,2.11%,1.20%,0.77%,1.86%
7,Alaska,1.42%,0.89%,2.25%,0.05%,0.01%,0.25%,0.88%,0.48%,1.60%,1.67%,1.01%,2.74%,1.57%,0.99%,2.50%
8,Arizona,1.33%,0.84%,2.11%,0.11%,0.03%,0.34%,0.35%,0.20%,0.62%,1.63%,1.01%,2.63%,1.45%,0.91%,2.31%
9,Arkansas,1.41%,0.89%,2.21%,0.12%,0.03%,0.41%,0.59%,0.35%,0.99%,1.70%,1.05%,2.76%,1.55%,0.98%,2.44%
10,California,0.98%,0.70%,1.36%,0.07%,0.02%,0.28%,0.19%,0.10%,0.34%,1.20%,0.86%,1.69%,1.07%,0.77%,1.49%
11,Colorado,0.98%,0.61%,1.58%,0.11%,0.03%,0.43%,0.38%,0.21%,0.68%,1.17%,0.70%,1.94%,1.06%,0.65%,1.72%
12,Connecticut,0.50%,0.28%,0.89%,0.12%,0.04%,0.35%,0.17%,0.08%,0.36%,0.59%,0.32%,1.10%,0.54%,0.29%,0.97%
13,Delaware,0.65%,0.40%,1.08%,0.11%,0.03%,0.45%,0.35%,0.20%,0.60%,0.75%,0.44%,1.29%,0.70%,0.42%,1.17%
14,District of Columbia,0.32%,0.17%,0.59%,0.01%,0.00%,0.58%,0.26%,0.13%,0.52%,0.35%,0.18%,0.69%,0.34%,0.18%,0.62%
15,Florida,0.71%,0.46%,1.10%,0.14%,0.05%,0.41%,0.21%,0.12%,0.38%,0.84%,0.53%,1.31%,0.76%,0.49%,1.18%
16,Georgia,1.16%,0.75%,1.79%,0.09%,0.03%,0.32%,0.31%,0.17%,0.55%,1.44%,0.92%,2.26%,1.28%,0.83%,1.98%
17,Hawaii,1.06%,0.65%,1.73%,0.13%,0.03%,0.61%,0.15%,0.07%,0.29%,1.26%,0.76%,2.09%,1.14%,0.69%,1.88%
18,Idaho,1.31%,0.83%,2.05%,0.15%,0.04%,0.57%,0.62%,0.38%,1.02%,1.59%,0.97%,2.58%,1.44%,0.91%,2.27%
19,Illinois,0.88%,0.58%,1.35%,0.14%,0.03%,0.74%,0.31%,0.19%,0.52%,1.06%,0.68%,1.65%,0.96%,0.63%,1.47%
20,Indiana,1.04%,0.67%,1.61%,0.12%,0.04%,0.34%,0.62%,0.38%,1.01%,1.23%,0.76%,1.98%,1.14%,0.73%,1.77%
21,Iowa,0.99%,0.62%,1.56%,0.17%,0.04%,0.71%,0.91%,0.52%,1.59%,1.10%,0.65%,1.85%,1.07%,0.67%,1.71%
22,Kansas,0.95%,0.59%,1.52%,0.15%,0.05%,0.45%,0.54%,0.32%,0.91%,1.13%,0.67%,1.89%,1.04%,0.64%,1.67%
23,Kentucky,1.71%,1.17%,2.49%,0.13%,0.04%,0.36%,0.98%,0.58%,1.68%,2.01%,1.34%,3.00%,1.88%,1.28%,2.73%
24,Louisiana,1.48%,0.97%,2.25%,0.07%,0.02%,0.27%,0.55%,0.30%,1.01%,1.81%,1.16%,2.79%,1.64%,1.07%,2.49%
25,Maine,1.14%,0.71%,1.82%,0.17%,0.06%,0.45%,0.85%,0.48%,1.51%,1.26%,0.75%,2.12%,1.22%,0.76%,1.96%
26,Maryland,0.45%,0.25%,0.80%,0.09%,0.03%,0.29%,0.27%,0.16%,0.47%,0.51%,0.27%,0.96%,0.48%,0.27%,0.87%
27,Massachusetts,0.50%,0.29%,0.87%,0.10%,0.03%,0.32%,0.21%,0.11%,0.39%,0.58%,0.32%,1.06%,0.53%,0.30%,0.94%
28,Michigan,0.73%,0.49%,1.09%,0.10%,0.03%,0.32%,0.45%,0.29%,0.70%,0.85%,0.55%,1.30%,0.79%,0.53%,1.18%
29,Minnesota,0.85%,0.51%,1.42%,0.14%,0.04%,0.55%,0.96%,0.54%,1.70%,0.92%,0.51%,1.66%,0.93%,0.55%,1.55%
30,Mississippi,1.16%,0.75%,1.78%,0.07%,0.02%,0.28%,0.83%,0.45%,1.51%,1.36%,0.84%,2.18%,1.28%,0.83%,1.98%
31,Missouri,1.53%,1.00%,2.35%,0.13%,0.04%,0.43%,0.70%,0.42%,1.16%,1.83%,1.16%,2.88%,1.68%,1.09%,2.58%
32,Montana,1.37%,0.87%,2.17%,0.18%,0.03%,1.03%,0.86%,0.50%,1.48%,1.58%,0.96%,2.60%,1.49%,0.93%,2.36%
33,Nebraska,0.96%,0.60%,1.54%,0.16%,0.05%,0.49%,0.60%,0.33%,1.06%,1.13%,0.67%,1.89%,1.05%,0.65%,1.69%
34,Nevada,1.63%,1.06%,2.47%,0.10%,0.03%,0.31%,0.26%,0.14%,0.48%,1.98%,1.28%,3.05%,1.78%,1.16%,2.71%
35,New Hampshire,0.82%,0.49%,1.36%,0.13%,0.04%,0.45%,0.53%,0.30%,0.92%,0.92%,0.53%,1.60%,0.87%,0.52%,1.46%
36,New Jersey,0.46%,0.26%,0.80%,0.13%,0.04%,0.43%,0.16%,0.08%,0.30%,0.53%,0.29%,0.98%,0.49%,0.27%,0.87%
37,New Mexico,1.78%,1.18%,2.67%,0.20%,0.06%,0.60%,0.31%,0.16%,0.59%,2.20%,1.43%,3.35%,1.94%,1.28%,2.93%
38,New York,0.49%,0.31%,0.79%,0.08%,0.02%,0.40%,0.20%,0.12%,0.36%,0.58%,0.35%,0.94%,0.53%,0.33%,0.85%
39,North Carolina,0.65%,0.38%,1.12%,0.11%,0.03%,0.44%,0.27%,0.15%,0.48%,0.77%,0.43%,1.38%,0.70%,0.40%,1.22%
40,North Dakota,1.15%,0.72%,1.82%,0.08%,0.02%,0.33%,1.08%,0.58%,2.00%,1.30%,0.76%,2.20%,1.26%,0.79%,2.01%
41,Ohio,0.92%,0.64%,1.33%,0.11%,0.03%,0.46%,0.88%,0.55%,1.41%,1.02%,0.68%,1.54%,1.00%,0.69%,1.45%
42,Oklahoma,1.46%,0.97%,2.20%,0.11%,0.04%,0.33%,0.67%,0.38%,1.18%,1.77%,1.14%,2.74%,1.61%,1.06%,2.43%
43,Oregon,1.47%,0.95%,2.25%,0.13%,0.03%,0.61%,0.42%,0.24%,0.73%,1.75%,1.12%,2.74%,1.59%,1.03%,2.45%
44,Pennsylvania,0.88%,0.59%,1.30%,0.13%,0.05%,0.36%,0.40%,0.25%,0.64%,1.03%,0.67%,1.57%,0.94%,0.63%,1.41%
45,Rhode Island,0.61%,0.35%,1.07%,0.08%,0.02%,0.30%,0.35%,0.19%,0.65%,0.71%,0.39%,1.29%,0.66%,0.37%,1.15%
46,South Carolina,1.10%,0.67%,1.81%,0.09%,0.03%,0.30%,0.45%,0.26%,0.76%,1.31%,0.77%,2.22%,1.20%,0.72%,1.98%
47,South Dakota,1.18%,0.75%,1.85%,0.15%,0.04%,0.58%,1.34%,0.67%,2.65%,1.29%,0.77%,2.17%,1.30%,0.82%,2.04%
48,Tennessee,1.19%,0.75%,1.87%,0.11%,0.04%,0.34%,0.57%,0.35%,0.93%,1.41%,0.86%,2.28%,1.30%,0.82%,2.05%
49,Texas,0.88%,0.63%,1.23%,0.13%,0.04%,0.41%,0.20%,0.11%,0.37%,1.10%,0.77%,1.56%,0.97%,0.69%,1.36%
50,Utah,1.09%,0.72%,1.64%,0.06%,0.01%,0.25%,0.37%,0.20%,0.65%,1.43%,0.93%,2.21%,1.23%,0.82%,1.86%
51,Vermont,1.06%,0.66%,1.69%,0.19%,0.05%,0.74%,0.72%,0.39%,1.33%,1.19%,0.71%,2.00%,1.13%,0.70%,1.81%
52,Virginia,0.56%,0.35%,0.88%,0.11%,0.04%,0.33%,0.32%,0.19%,0.53%,0.65%,0.39%,1.07%,0.60%,0.38%,0.96%
53,Washington,1.56%,0.99%,2.47%,0.09%,0.02%,0.43%,0.54%,0.31%,0.94%,1.87%,1.16%,3.00%,1.70%,1.07%,2.70%
54,West Virginia,2.48%,1.59%,3.84%,0.21%,0.06%,0.67%,0.89%,0.49%,1.62%,2.95%,1.85%,4.67%,2.69%,1.72%,4.18%
55,Wisconsin,0.77%,0.47%,1.24%,0.15%,0.05%,0.42%,0.66%,0.39%,1.12%,0.86%,0.50%,1.47%,0.83%,0.51%,1.35%
56,Wyoming,1.20%,0.71%,2.01%,0.15%,0.05%,0.45%,0.81%,0.43%,1.54%,1.39%,0.78%,2.45%,1.31%,0.77%,2.22%
