"Table 13. Prescription Pain Reliever Misuse in the Past Year: Among People Aged 12 or Older; by Age Group and State, Annual Average Percentages, 2022 and 2023",,,,,,,,,,,,,,,,
"NOTE: Prescription pain relievers are a type of prescription psychotherapeutic. Misuse of prescription psychotherapeutics is defined as use in any way not directed by a doctor, including use without a prescription of one’s own; use in greater amounts, more often, or longer than told; or use in any other way not directed by a doctor. Prescription psychotherapeutics do not include over-the-counter drugs.",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on the survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
NOTE: The column labeled “Order” can be used to sort the data to the original sort order.,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Surveys on Drug Use and Health, 2022 and 2023.",,,,,,,,,,,,,,,,
Order,State,"12+ Estimate","12+ 95% CI (Lower)","12+ 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)","18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)"
1,Total U.S.,3.01%,2.85%,3.19%,1.89%,1.66%,2.15%,2.82%,2.54%,3.13%,3.17%,2.97%,3.38%,3.13%,2.95%,3.32%
2,Northeast,2.50%,2.22%,2.82%,1.62%,1.31%,2.01%,2.23%,1.82%,2.72%,2.64%,2.29%,3.03%,2.58%,2.27%,2.93%
3,Midwest,2.94%,2.69%,3.22%,1.81%,1.53%,2.14%,2.68%,2.34%,3.08%,3.12%,2.81%,3.46%,3.06%,2.78%,3.37%
4,South,3.33%,3.08%,3.60%,2.05%,1.75%,2.40%,3.22%,2.83%,3.67%,3.50%,3.19%,3.84%,3.46%,3.19%,3.76%
5,West,2.93%,2.63%,3.26%,1.88%,1.55%,2.27%,2.70%,2.29%,3.19%,3.09%,2.73%,3.50%,3.04%,2.71%,3.40%
6,Alabama,4.22%,3.34%,5.33%,2.36%,1.68%,3.30%,3.68%,2.67%,5.06%,4.53%,3.46%,5.92%,4.41%,3.45%,5.63%
7,Alaska,3.23%,2.49%,4.18%,2.22%,1.50%,3.28%,2.91%,2.01%,4.19%,3.41%,2.51%,4.61%,3.35%,2.53%,4.41%
8,Arizona,3.48%,2.68%,4.50%,2.30%,1.59%,3.30%,3.62%,2.58%,5.07%,3.59%,2.63%,4.90%,3.60%,2.73%,4.73%
9,Arkansas,3.55%,2.76%,4.55%,2.11%,1.49%,3.00%,3.13%,2.23%,4.39%,3.79%,2.83%,5.07%,3.70%,2.83%,4.82%
10,California,2.65%,2.21%,3.18%,1.62%,1.20%,2.19%,2.56%,1.92%,3.42%,2.78%,2.25%,3.44%,2.75%,2.27%,3.34%
11,Colorado,2.99%,2.34%,3.82%,2.02%,1.37%,2.95%,2.37%,1.66%,3.36%,3.20%,2.40%,4.25%,3.09%,2.37%,4.00%
12,Connecticut,2.26%,1.68%,3.04%,1.72%,1.19%,2.47%,1.88%,1.23%,2.87%,2.38%,1.68%,3.36%,2.32%,1.69%,3.17%
13,Delaware,3.17%,2.41%,4.17%,1.66%,1.15%,2.38%,2.82%,1.89%,4.19%,3.38%,2.47%,4.62%,3.32%,2.48%,4.41%
14,District of Columbia,2.27%,1.63%,3.14%,1.67%,1.07%,2.59%,1.58%,0.83%,3.01%,2.43%,1.68%,3.50%,2.31%,1.64%,3.24%
15,Florida,2.95%,2.43%,3.57%,2.11%,1.60%,2.78%,3.20%,2.48%,4.13%,3.00%,2.39%,3.76%,3.02%,2.47%,3.70%
16,Georgia,3.54%,2.86%,4.36%,1.94%,1.41%,2.66%,3.48%,2.64%,4.58%,3.75%,2.93%,4.80%,3.71%,2.97%,4.63%
17,Hawaii,2.64%,1.95%,3.56%,1.60%,1.05%,2.43%,2.58%,1.63%,4.07%,2.75%,1.92%,3.90%,2.73%,1.98%,3.75%
18,Idaho,4.18%,3.20%,5.44%,2.19%,1.53%,3.14%,2.71%,1.87%,3.91%,4.71%,3.47%,6.35%,4.41%,3.33%,5.82%
19,Illinois,2.88%,2.30%,3.58%,1.71%,1.24%,2.34%,2.55%,1.90%,3.40%,3.06%,2.36%,3.96%,2.99%,2.37%,3.78%
20,Indiana,3.08%,2.44%,3.90%,1.86%,1.33%,2.59%,2.81%,2.08%,3.80%,3.29%,2.48%,4.34%,3.22%,2.50%,4.13%
21,Iowa,3.06%,2.35%,3.99%,1.69%,1.15%,2.46%,2.21%,1.53%,3.18%,3.38%,2.49%,4.58%,3.21%,2.42%,4.24%
22,Kansas,2.85%,2.21%,3.68%,2.04%,1.44%,2.88%,2.85%,2.03%,3.99%,2.96%,2.16%,4.04%,2.94%,2.23%,3.87%
23,Kentucky,4.11%,3.18%,5.30%,1.84%,1.27%,2.66%,3.51%,2.49%,4.93%,4.47%,3.33%,5.99%,4.35%,3.32%,5.66%
24,Louisiana,4.41%,3.51%,5.54%,2.01%,1.39%,2.89%,4.49%,3.15%,6.34%,4.70%,3.60%,6.12%,4.67%,3.67%,5.93%
25,Maine,2.92%,2.21%,3.86%,1.87%,1.31%,2.66%,2.70%,1.84%,3.95%,3.05%,2.21%,4.19%,3.01%,2.24%,4.03%
26,Maryland,2.79%,2.14%,3.65%,1.80%,1.22%,2.63%,2.60%,1.80%,3.75%,2.94%,2.15%,4.00%,2.89%,2.18%,3.84%
27,Massachusetts,2.22%,1.66%,2.96%,1.55%,1.03%,2.32%,1.95%,1.27%,2.97%,2.33%,1.67%,3.26%,2.28%,1.68%,3.09%
28,Michigan,2.95%,2.45%,3.53%,1.77%,1.32%,2.37%,2.94%,2.22%,3.87%,3.08%,2.48%,3.81%,3.06%,2.53%,3.70%
29,Minnesota,2.43%,1.82%,3.23%,1.71%,1.20%,2.43%,2.35%,1.64%,3.34%,2.53%,1.79%,3.55%,2.50%,1.84%,3.40%
30,Mississippi,4.22%,3.32%,5.36%,2.21%,1.53%,3.18%,4.24%,3.00%,5.94%,4.48%,3.37%,5.94%,4.45%,3.45%,5.71%
31,Missouri,3.53%,2.74%,4.53%,1.96%,1.38%,2.78%,2.84%,2.04%,3.95%,3.82%,2.86%,5.10%,3.69%,2.83%,4.80%
32,Montana,3.02%,2.28%,3.99%,2.24%,1.53%,3.26%,2.64%,1.77%,3.93%,3.17%,2.28%,4.38%,3.10%,2.30%,4.16%
33,Nebraska,2.74%,2.11%,3.54%,1.74%,1.21%,2.49%,2.32%,1.63%,3.29%,2.94%,2.16%,3.99%,2.85%,2.16%,3.75%
34,Nevada,3.63%,2.84%,4.64%,2.29%,1.59%,3.30%,3.25%,2.30%,4.56%,3.84%,2.88%,5.09%,3.77%,2.90%,4.88%
35,New Hampshire,2.62%,2.03%,3.37%,2.09%,1.47%,2.96%,2.26%,1.54%,3.31%,2.72%,2.02%,3.64%,2.66%,2.03%,3.48%
36,New Jersey,2.45%,1.87%,3.21%,1.42%,0.97%,2.06%,2.39%,1.71%,3.32%,2.58%,1.88%,3.53%,2.56%,1.92%,3.39%
37,New Mexico,4.35%,3.36%,5.61%,2.56%,1.70%,3.83%,4.40%,3.10%,6.20%,4.56%,3.36%,6.15%,4.53%,3.45%,5.93%
38,New York,2.33%,1.90%,2.85%,1.52%,1.08%,2.11%,1.97%,1.40%,2.76%,2.46%,1.95%,3.11%,2.40%,1.93%,2.97%
39,North Carolina,3.13%,2.48%,3.94%,1.97%,1.41%,2.75%,2.94%,2.10%,4.08%,3.29%,2.51%,4.31%,3.25%,2.54%,4.14%
40,North Dakota,2.68%,2.03%,3.53%,1.91%,1.30%,2.79%,2.13%,1.45%,3.12%,2.89%,2.08%,4.00%,2.76%,2.05%,3.71%
