"Table 14. Opioid Misuse in the Past Year: Among People Aged 12 or Older; by Age Group and State, Annual Average Percentages, 2022 and 2023",,,,,,,,,,,,,,,,
"NOTE: Respondents were classified as misusing opioids in the past year if they reported using heroin or misusing prescription pain relievers in the past year. Prescription pain relievers are a type of prescription psychotherapeutic. Misuse of prescription psychotherapeutics is defined as use in any way not directed by a doctor, including use without a prescription of one’s own; use in greater amounts, more often, or longer than told; or use in any other way not directed by a doctor. Prescription pain relievers do not include over-the-counter drugs, but may include non-opioid prescription drugs.",,,,,,,,,,,,,,,,
NOTE: Does not include illegally made fentanyl (IMF).,,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on the survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
NOTE: The column labeled “Order” can be used to sort the data to the original sort order.,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Surveys on Drug Use and Health, 2022 and 2023.",,,,,,,,,,,,,,,,
Order,State,"12+ Estimate","12+ 95% CI (Lower)","12+ 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)","18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)"
1,Total U.S.,3.15%,2.98%,3.33%,1.90%,1.67%,2.16%,2.86%,2.58%,3.16%,3.34%,3.14%,3.56%,3.28%,3.09%,3.47%
2,Northeast,2.74%,2.43%,3.10%,1.62%,1.31%,2.02%,2.53%,2.15%,2.98%,2.89%,2.51%,3.33%,2.84%,2.50%,3.23%
3,Midwest,3.10%,2.82%,3.41%,1.80%,1.53%,2.12%,2.78%,2.44%,3.18%,3.30%,2.96%,3.68%,3.23%,2.93%,3.56%
4,South,3.42%,3.16%,3.70%,2.06%,1.77%,2.40%,2.99%,2.65%,3.37%,3.65%,3.33%,4.00%,3.56%,3.28%,3.87%
5,West,3.06%,2.75%,3.40%,1.89%,1.56%,2.29%,2.94%,2.50%,3.46%,3.21%,2.85%,3.63%,3.18%,2.85%,3.55%
6,Alabama,4.26%,3.39%,5.35%,2.37%,1.74%,3.20%,3.09%,2.26%,4.20%,4.68%,3.60%,6.06%,4.46%,3.51%,5.65%
7,Alaska,3.18%,2.44%,4.13%,2.23%,1.51%,3.28%,3.42%,2.41%,4.82%,3.27%,2.38%,4.47%,3.29%,2.48%,4.34%
8,Arizona,3.75%,2.94%,4.75%,2.23%,1.57%,3.17%,4.01%,2.87%,5.58%,3.88%,2.92%,5.14%,3.90%,3.03%,5.01%
9,Arkansas,3.58%,2.81%,4.55%,2.22%,1.58%,3.11%,2.78%,2.02%,3.82%,3.87%,2.92%,5.13%,3.72%,2.88%,4.80%
10,California,2.77%,2.32%,3.30%,1.65%,1.21%,2.26%,2.75%,2.11%,3.57%,2.91%,2.36%,3.57%,2.88%,2.40%,3.46%
