"Table 15. Alcohol Use in the Past Month: Among People Aged 12 or Older; by Age Group and State, Annual Average Percentages, 2022 and 2023",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on the survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
NOTE: The column labeled “Order” can be used to sort the data to the original sort order.,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Surveys on Drug Use and Health, 2022 and 2023.",,,,,,,,,,,,,,,,
Order,State,"12+ Estimate","12+ 95% CI (Lower)","12+ 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)","18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)"
1,Total U.S.,48.13%,47.52%,48.75%,6.88%,6.43%,7.36%,49.91%,48.78%,51.03%,52.65%,51.92%,53.37%,52.28%,51.62%,52.94%
2,Northeast,51.55%,50.48%,52.62%,6.98%,6.20%,7.85%,54.40%,52.55%,56.24%,55.76%,54.49%,57.03%,55.58%,54.43%,56.73%
3,Midwest,50.73%,49.77%,51.69%,7.16%,6.45%,7.95%,53.08%,51.50%,54.65%,55.54%,54.38%,56.69%,55.20%,54.16%,56.24%
4,South,45.47%,44.68%,46.26%,6.39%,5.78%,7.06%,47.85%,46.40%,49.30%,49.78%,48.84%,50.71%,49.52%,48.66%,50.37%
5,West,47.69%,46.61%,48.77%,7.38%,6.52%,8.33%,47.21%,45.30%,49.13%,52.48%,51.19%,53.76%,51.77%,50.60%,52.94%
6,Alabama,41.79%,39.03%,44.61%,6.11%,4.60%,8.06%,45.73%,41.52%,49.99%,45.37%,42.03%,48.75%,45.42%,42.42%,48.45%
7,Alaska,46.96%,43.73%,50.21%,6.40%,4.67%,8.72%,42.11%,37.52%,46.84%,52.82%,48.89%,56.72%,51.50%,47.97%,55.02%
8,Arizona,43.42%,39.93%,46.99%,5.83%,4.17%,8.08%,46.21%,41.17%,51.33%,47.36%,43.17%,51.58%,47.20%,43.42%,51.02%
9,Arkansas,42.43%,39.07%,45.87%,6.94%,5.05%,9.48%,43.13%,38.42%,47.97%,46.76%,42.67%,50.89%,46.26%,42.60%,49.95%
10,California,48.15%,46.43%,49.88%,7.67%,6.30%,9.30%,47.21%,44.14%,50.31%,53.03%,50.97%,55.08%,52.25%,50.38%,54.11%
11,Colorado,54.24%,51.37%,57.09%,8.43%,6.44%,10.98%,51.09%,46.36%,55.81%,59.80%,56.35%,63.16%,58.64%,55.53%,61.68%
12,Connecticut,53.30%,49.95%,56.63%,7.19%,5.37%,9.56%,58.60%,53.21%,63.80%,57.49%,53.46%,61.42%,57.64%,54.01%,61.19%
13,Delaware,53.10%,50.09%,56.08%,7.36%,5.57%,9.67%,51.73%,46.97%,56.47%,58.11%,54.53%,61.61%,57.35%,54.10%,60.54%
14,District of Columbia,62.47%,59.20%,65.63%,8.58%,6.37%,11.47%,66.50%,61.30%,71.32%,65.91%,62.05%,69.57%,65.99%,62.55%,69.27%
15,Florida,48.98%,47.08%,50.88%,6.89%,5.70%,8.30%,48.89%,45.67%,52.13%,53.09%,50.83%,55.35%,52.62%,50.57%,54.65%
16,Georgia,45.68%,43.11%,48.27%,6.67%,5.14%,8.60%,47.74%,43.96%,51.55%,50.37%,47.21%,53.53%,50.00%,47.19%,52.81%
17,Hawaii,42.11%,38.69%,45.61%,6.54%,4.77%,8.93%,40.91%,35.87%,46.16%,45.83%,41.83%,49.88%,45.30%,41.63%,49.03%
18,Idaho,44.22%,40.85%,47.64%,7.20%,5.37%,9.58%,45.38%,40.75%,50.09%,49.05%,44.91%,53.22%,48.51%,44.82%,52.21%
19,Illinois,52.99%,50.69%,55.29%,8.79%,7.03%,10.95%,53.24%,49.74%,56.71%,58.14%,55.35%,60.88%,57.49%,54.98%,59.96%
20,Indiana,46.24%,43.46%,49.04%,5.93%,4.44%,7.88%,49.36%,45.22%,53.51%,50.79%,47.37%,54.21%,50.58%,47.56%,53.61%
21,Iowa,51.39%,47.93%,54.83%,6.62%,4.90%,8.90%,55.33%,50.24%,60.32%,56.28%,52.06%,60.42%,56.14%,52.38%,59.84%
22,Kansas,52.29%,49.02%,55.54%,8.87%,6.52%,11.95%,54.35%,49.26%,59.34%,57.70%,53.71%,61.59%,57.19%,53.66%,60.65%
23,Kentucky,42.41%,39.59%,45.29%,5.25%,3.74%,7.32%,43.35%,38.84%,47.98%,46.70%,43.28%,50.16%,46.26%,43.18%,49.36%
24,Louisiana,47.31%,44.41%,50.22%,8.10%,6.16%,10.58%,46.94%,41.85%,52.08%,52.26%,48.75%,55.74%,51.54%,48.38%,54.68%
25,Maine,52.82%,49.34%,56.27%,8.24%,6.22%,10.84%,57.18%,52.29%,61.93%,56.32%,52.28%,60.28%,56.42%,52.71%,60.06%
26,Maryland,48.46%,45.14%,51.79%,6.21%,4.67%,8.21%,51.22%,46.25%,56.16%,52.93%,48.94%,56.89%,52.72%,49.12%,56.30%
27,Massachusetts,55.05%,52.01%,58.05%,8.64%,6.50%,11.39%,62.28%,57.70%,66.65%,58.51%,54.86%,62.06%,59.03%,55.78%,62.20%
28,Michigan,49.57%,47.55%,51.60%,6.30%,5.03%,7.85%,51.69%,48.33%,55.03%,54.07%,51.65%,56.48%,53.75%,51.55%,55.94%
29,Minnesota,51.95%,48.24%,55.64%,6.45%,4.65%,8.90%,54.76%,49.44%,59.98%,57.03%,52.58%,61.37%,56.73%,52.69%,60.68%
30,Mississippi,38.49%,35.58%,41.47%,5.50%,4.03%,7.47%,45.53%,40.79%,50.34%,41.64%,38.12%,45.25%,42.19%,39.01%,45.44%
31,Missouri,48.48%,45.08%,51.89%,6.82%,5.06%,9.14%,50.64%,45.71%,55.55%,53.08%,49.02%,57.09%,52.75%,49.06%,56.40%
32,Montana,51.75%,48.17%,55.31%,7.86%,5.84%,10.50%,55.96%,50.53%,61.26%,55.93%,51.69%,60.09%,55.94%,52.09%,59.72%
33,Nebraska,50.79%,47.72%,53.85%,6.32%,4.68%,8.49%,50.46%,45.64%,55.26%,56.78%,53.04%,60.43%,55.84%,52.48%,59.15%
34,Nevada,47.42%,44.31%,50.55%,8.37%,6.33%,10.99%,52.78%,47.89%,57.62%,51.11%,47.44%,54.77%,51.32%,47.96%,54.66%
35,New Hampshire,58.87%,55.88%,61.79%,8.75%,6.62%,11.47%,62.91%,58.01%,67.57%,63.00%,59.48%,66.38%,62.99%,59.80%,66.07%
36,New Jersey,50.02%,47.30%,52.74%,6.18%,4.74%,8.02%,50.05%,45.75%,54.36%,54.96%,51.67%,58.20%,54.35%,51.40%,57.28%
37,New Mexico,44.81%,41.64%,48.02%,7.81%,5.75%,10.51%,46.60%,41.69%,51.58%,48.99%,45.17%,52.82%,48.66%,45.23%,52.11%
38,New York,49.59%,47.69%,51.50%,6.63%,5.28%,8.31%,52.72%,49.51%,55.92%,53.51%,51.23%,55.78%,53.41%,51.37%,55.44%
