"Table 16. Binge Alcohol Use in the Past Month: Among People Aged 12 or Older; by Age Group and State, Annual Average Percentages, 2022 and 2023",,,,,,,,,,,,,,,,
"NOTE: Binge alcohol use is defined as drinking five or more drinks (for males) or four or more drinks (for females) on the same occasion (i.e., at the same time or within a couple of hours of each other) on at least 1 day in the past 30 days.",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on the survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
NOTE: The column labeled “Order” can be used to sort the data to the original sort order.,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Surveys on Drug Use and Health, 2022 and 2023.",,,,,,,,,,,,,,,,
Order,State,"12+ Estimate","12+ 95% CI (Lower)","12+ 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)","18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)"
1,Total U.S.,21.68%,21.26%,22.10%,3.58%,3.24%,3.96%,29.10%,28.17%,30.04%,22.63%,22.14%,23.14%,23.50%,23.05%,23.95%
2,Northeast,22.66%,21.74%,23.61%,3.83%,3.27%,4.48%,31.90%,30.22%,33.62%,23.24%,22.16%,24.36%,24.37%,23.37%,25.39%
3,Midwest,23.57%,22.81%,24.35%,3.69%,3.21%,4.24%,32.10%,30.73%,33.50%,24.58%,23.66%,25.53%,25.61%,24.77%,26.47%
4,South,20.77%,20.16%,21.40%,3.28%,2.88%,3.73%,27.50%,26.32%,28.72%,21.82%,21.08%,22.57%,22.58%,21.91%,23.26%
5,West,20.79%,19.96%,21.64%,3.82%,3.22%,4.53%,27.03%,25.44%,28.67%,21.80%,20.82%,22.82%,22.50%,21.61%,23.43%
6,Alabama,20.69%,18.54%,23.02%,3.98%,2.89%,5.46%,27.51%,23.73%,31.63%,21.56%,19.01%,24.35%,22.38%,20.05%,24.91%
7,Alaska,19.26%,16.84%,21.93%,3.16%,2.16%,4.62%,23.55%,19.71%,27.88%,20.71%,17.84%,23.90%,21.06%,18.41%,23.98%
8,Arizona,21.54%,18.87%,24.47%,3.26%,2.31%,4.57%,28.66%,24.33%,33.41%,22.53%,19.37%,26.05%,23.38%,20.47%,26.56%
9,Arkansas,19.41%,17.06%,21.98%,3.62%,2.59%,5.05%,26.26%,22.34%,30.61%,20.27%,17.51%,23.35%,21.11%,18.54%,23.92%
10,California,21.17%,19.83%,22.57%,4.29%,3.35%,5.49%,27.36%,24.73%,30.16%,22.19%,20.59%,23.86%,22.88%,21.42%,24.40%
11,Colorado,22.99%,20.50%,25.69%,4.26%,3.03%,5.95%,28.44%,24.19%,33.11%,24.22%,21.34%,27.36%,24.79%,22.10%,27.69%
12,Connecticut,23.50%,20.79%,26.45%,4.37%,3.16%,6.00%,37.29%,31.77%,43.16%,23.45%,20.36%,26.85%,25.30%,22.37%,28.47%
13,Delaware,22.89%,20.53%,25.44%,3.36%,2.44%,4.61%,29.53%,25.34%,34.11%,24.05%,21.28%,27.05%,24.71%,22.15%,27.47%
14,District of Columbia,31.36%,28.15%,34.77%,5.52%,3.76%,8.03%,43.40%,37.79%,49.18%,31.27%,27.56%,35.23%,33.05%,29.64%,36.65%
15,Florida,21.02%,19.55%,22.57%,3.03%,2.36%,3.89%,26.38%,23.63%,29.33%,22.07%,20.37%,23.88%,22.57%,20.99%,24.24%
16,Georgia,20.91%,18.93%,23.04%,3.20%,2.37%,4.30%,27.69%,24.44%,31.18%,22.09%,19.71%,24.67%,22.87%,20.69%,25.20%
17,Hawaii,20.69%,18.08%,23.56%,3.70%,2.52%,5.39%,25.97%,21.77%,30.65%,21.75%,18.77%,25.06%,22.21%,19.39%,25.31%
18,Idaho,20.46%,18.04%,23.11%,3.70%,2.61%,5.21%,27.49%,23.70%,31.63%,21.52%,18.60%,24.76%,22.40%,19.73%,25.31%
19,Illinois,25.50%,23.55%,27.56%,4.56%,3.49%,5.93%,30.96%,27.71%,34.40%,27.12%,24.80%,29.57%,27.63%,25.50%,29.86%
20,Indiana,19.67%,17.59%,21.92%,2.79%,1.95%,3.97%,27.03%,23.52%,30.85%,20.55%,18.09%,23.25%,21.49%,19.21%,23.95%
21,Iowa,23.54%,20.77%,26.56%,3.35%,2.33%,4.80%,34.05%,29.35%,39.09%,24.23%,20.99%,27.78%,25.68%,22.66%,28.96%
22,Kansas,23.87%,21.10%,26.88%,4.58%,3.27%,6.38%,35.43%,30.71%,40.45%,24.39%,21.11%,27.99%,26.04%,23.01%,29.32%
23,Kentucky,18.62%,16.45%,21.01%,2.84%,1.97%,4.07%,26.00%,22.15%,30.26%,19.37%,16.80%,22.24%,20.26%,17.88%,22.85%
