"Table 17. Perceptions of Great Risk from Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week: Among People Aged 12 or Older; by Age Group and State, Annual Average Percentages, 2022 and 2023",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on the survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
NOTE: The column labeled “Order” can be used to sort the data to the original sort order.,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Surveys on Drug Use and Health, 2022 and 2023.",,,,,,,,,,,,,,,,
Order,State,"12+ Estimate","12+ 95% CI (Lower)","12+ 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)","18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)"
1,Total U.S.,44.58%,44.06%,45.10%,41.16%,40.23%,42.10%,38.92%,37.99%,39.86%,45.85%,45.22%,46.47%,44.92%,44.36%,45.48%
2,Northeast,44.15%,43.06%,45.24%,41.64%,39.86%,43.45%,37.60%,36.04%,39.18%,45.38%,44.08%,46.69%,44.37%,43.21%,45.54%
3,Midwest,39.93%,39.02%,40.85%,38.15%,36.70%,39.63%,35.08%,33.73%,36.45%,40.91%,39.80%,42.03%,40.11%,39.13%,41.10%
4,South,45.97%,45.20%,46.74%,42.59%,41.28%,43.90%,40.38%,39.08%,41.68%,47.24%,46.30%,48.18%,46.32%,45.49%,47.14%
5,West,46.68%,45.63%,47.73%,41.13%,39.27%,43.01%,40.91%,39.17%,42.67%,48.22%,46.94%,49.50%,47.24%,46.10%,48.38%
6,Alabama,43.57%,40.85%,46.33%,40.94%,36.69%,45.32%,39.09%,35.29%,43.03%,44.60%,41.41%,47.84%,43.84%,40.95%,46.77%
7,Alaska,42.22%,39.08%,45.43%,39.28%,34.26%,44.54%,37.24%,32.97%,41.71%,43.29%,39.64%,47.02%,42.55%,39.22%,45.95%
8,Arizona,43.41%,39.99%,46.89%,38.33%,33.55%,43.36%,37.64%,33.51%,41.97%,44.92%,40.92%,48.99%,43.91%,40.28%,47.62%
9,Arkansas,42.89%,39.75%,46.10%,41.12%,36.38%,46.03%,39.80%,35.77%,43.97%,43.61%,39.93%,47.37%,43.08%,39.75%,46.48%
10,California,49.80%,48.11%,51.50%,42.55%,39.44%,45.73%,43.84%,40.95%,46.77%,51.57%,49.54%,53.60%,50.54%,48.71%,52.36%
