"Table 18. Alcohol Use in the Past Month, Binge Alcohol Use in the Past Month, and Perceptions of Great Risk from Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week: Among People Aged 12 to 20; by State, Annual Average Percentages, 2022 and 2023",,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on the survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,
NOTE: The column labeled “Order” can be used to sort the data to the original sort order.,,,,,,,,,,
"1 Binge alcohol use is defined as drinking five or more drinks (for males) or four or more drinks (for females) on the same occasion (i.e., at the same time or within a couple of hours of each other) on at least 1 day in the past 30 days.",,,,,,,,,,
2 Perceptions of great risk from having five or more drinks of an alcoholic beverage once or twice a week.,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Surveys on Drug Use and Health, 2022 and 2023.",,,,,,,,,,
Order,State,"Alcohol Use in Past Month (Estimate)","Alcohol Use in Past Month 95% CI (Lower)","Alcohol Use in Past Month 95% CI (Upper)","Binge Alcohol Use in Past Month1 (Estimate)","Binge Alcohol Use in Past Month1 95% CI (Lower)","Binge Alcohol Use in Past Month1 95% CI (Upper)","Perceptions of Great Risk2  (Estimate)","Perceptions of Great Risk2  95% CI (Lower)","Perceptions of Great Risk2  95% CI (Upper)"
1,Total U.S.,14.88%,14.25%,15.55%,8.39%,7.90%,8.91%,40.63%,39.77%,41.49%
2,Northeast,16.72%,15.15%,18.43%,9.36%,8.07%,10.82%,40.62%,39.10%,42.15%
3,Midwest,16.28%,14.81%,17.87%,9.53%,8.31%,10.91%,37.68%,36.50%,38.89%
4,South,13.70%,12.31%,15.23%,7.71%,6.56%,9.04%,42.08%,40.96%,43.21%
5,West,14.36%,12.82%,16.05%,7.86%,6.62%,9.30%,40.85%,39.38%,42.34%
6,Alabama,14.81%,12.47%,17.50%,9.71%,7.73%,12.14%,40.13%,36.76%,43.60%
7,Alaska,12.52%,10.17%,15.31%,6.72%,5.02%,8.93%,38.74%,34.79%,42.85%
8,Arizona,14.24%,11.80%,17.09%,8.55%,6.48%,11.21%,38.10%,34.28%,42.09%
9,Arkansas,13.40%,10.95%,16.30%,8.08%,6.15%,10.55%,41.39%,37.66%,45.22%
10,California,13.71%,11.79%,15.88%,7.65%,6.16%,9.45%,42.33%,39.83%,44.87%
11,Colorado,17.50%,14.76%,20.62%,9.53%,7.42%,12.15%,38.24%,34.39%,42.25%
12,Connecticut,18.14%,15.36%,21.29%,10.67%,8.40%,13.48%,39.62%,35.61%,43.78%
13,Delaware,14.82%,12.39%,17.63%,8.13%,6.18%,10.62%,40.03%,36.30%,43.88%
14,District of Columbia,18.78%,15.96%,21.97%,9.65%,7.26%,12.73%,40.93%,36.43%,45.59%
15,Florida,14.47%,12.52%,16.66%,7.20%,5.72%,9.03%,42.90%,40.37%,45.47%
16,Georgia,12.42%,10.34%,14.86%,7.25%,5.62%,9.32%,44.40%,41.03%,47.82%
17,Hawaii,12.35%,9.94%,15.24%,7.15%,5.29%,9.59%,41.00%,36.79%,45.34%
18,Idaho,15.58%,13.12%,18.41%,9.78%,7.71%,12.32%,38.29%,34.55%,42.17%
19,Illinois,17.04%,14.72%,19.64%,9.91%,8.10%,12.06%,38.20%,35.26%,41.23%
