"Table 19. Tobacco Product Use in the Past Month: Among People Aged 12 or Older; by Age Group and State, Annual Average Percentages, 2022 and 2023",,,,,,,,,,,,,,,,
"NOTE: Tobacco products include cigarettes, smokeless tobacco (i.e., snuff, dip, chewing tobacco, or snus), cigars, or pipe tobacco. These estimates of tobacco product use do not include nicotine vaping.",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on the survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
NOTE: The column labeled “Order” can be used to sort the data to the original sort order.,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Surveys on Drug Use and Health, 2022 and 2023.",,,,,,,,,,,,,,,,
Order,State,"12+ Estimate","12+ 95% CI (Lower)","12+ 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)","18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)"
1,Total U.S.,17.83%,17.38%,18.30%,1.91%,1.68%,2.17%,15.56%,14.91%,16.23%,20.03%,19.47%,20.61%,19.43%,18.93%,19.94%
2,Northeast,16.24%,15.44%,17.07%,1.75%,1.42%,2.17%,15.03%,13.81%,16.34%,17.92%,16.97%,18.92%,17.55%,16.69%,18.45%
3,Midwest,20.01%,19.30%,20.75%,1.98%,1.65%,2.37%,17.11%,16.04%,18.24%,22.62%,21.73%,23.53%,21.86%,21.08%,22.67%
4,South,19.93%,19.30%,20.57%,1.99%,1.68%,2.35%,16.33%,15.37%,17.33%,22.63%,21.85%,23.43%,21.78%,21.10%,22.48%
5,West,13.70%,12.98%,14.46%,1.84%,1.47%,2.30%,13.32%,12.22%,14.51%,15.15%,14.27%,16.07%,14.90%,14.12%,15.72%
6,Alabama,26.16%,23.66%,28.81%,2.51%,1.73%,3.63%,18.78%,15.72%,22.28%,30.13%,27.05%,33.40%,28.56%,25.82%,31.46%
7,Alaska,18.81%,16.39%,21.49%,2.85%,1.85%,4.37%,19.90%,16.17%,24.25%,20.69%,17.80%,23.92%,20.60%,17.93%,23.55%
8,Arizona,16.54%,14.11%,19.28%,2.05%,1.35%,3.11%,12.64%,9.78%,16.18%,18.85%,15.94%,22.15%,17.99%,15.34%,20.98%
9,Arkansas,24.93%,22.21%,27.86%,2.18%,1.47%,3.21%,17.91%,14.73%,21.59%,28.91%,25.58%,32.49%,27.38%,24.38%,30.60%
10,California,11.07%,10.03%,12.20%,1.74%,1.24%,2.43%,11.32%,9.64%,13.25%,12.12%,10.87%,13.48%,12.01%,10.88%,13.24%
