"Table 20. Cigarette Use in the Past Month: Among People Aged 12 or Older; by Age Group and State, Annual Average Percentages, 2022 and 2023  ",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on the survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
NOTE: The column labeled “Order” can be used to sort the data to the original sort order.,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Surveys on Drug Use and Health, 2022 and 2023.",,,,,,,,,,,,,,,,
Order,State,"12+ Estimate","12+ 95% CI (Lower)","12+ 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)","18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)"
1,Total U.S.,14.10%,13.68%,14.53%,1.28%,1.09%,1.51%,10.67%,10.13%,11.24%,16.12%,15.60%,16.66%,15.39%,14.93%,15.86%
2,Northeast,12.80%,12.09%,13.56%,1.26%,0.98%,1.61%,10.18%,9.19%,11.25%,14.40%,13.51%,15.32%,13.85%,13.07%,14.67%
3,Midwest,15.97%,15.30%,16.66%,1.47%,1.19%,1.82%,11.81%,10.96%,12.71%,18.35%,17.52%,19.22%,17.46%,16.73%,18.21%
4,South,15.47%,14.91%,16.05%,1.19%,0.98%,1.46%,10.71%,9.93%,11.55%,17.92%,17.22%,18.64%,16.95%,16.34%,17.58%
5,West,11.21%,10.55%,11.90%,1.28%,1.00%,1.64%,9.95%,8.96%,11.04%,12.56%,11.76%,13.42%,12.22%,11.50%,12.97%
6,Alabama,20.67%,18.35%,23.21%,1.61%,1.09%,2.36%,11.45%,9.04%,14.39%,24.41%,21.51%,27.56%,22.61%,20.05%,25.39%
7,Alaska,13.74%,11.81%,15.92%,1.70%,1.07%,2.67%,15.10%,12.08%,18.71%,15.08%,12.75%,17.75%,15.09%,12.96%,17.50%
8,Arizona,14.48%,12.32%,16.95%,1.52%,0.99%,2.34%,9.86%,7.47%,12.91%,16.74%,14.07%,19.79%,15.79%,13.41%,18.49%
9,Arkansas,19.59%,17.14%,22.31%,1.67%,1.11%,2.51%,12.60%,9.92%,15.87%,22.97%,19.89%,26.36%,21.52%,18.81%,24.51%
10,California,9.15%,8.16%,10.24%,1.07%,0.74%,1.55%,8.14%,6.72%,9.83%,10.25%,9.04%,11.60%,9.96%,8.88%,11.16%
11,Colorado,12.23%,10.43%,14.30%,1.38%,0.89%,2.13%,12.92%,10.15%,16.30%,13.33%,11.18%,15.82%,13.27%,11.30%,15.53%
12,Connecticut,12.63%,10.64%,14.94%,0.98%,0.62%,1.55%,10.73%,8.10%,14.10%,14.19%,11.78%,17.00%,13.73%,11.56%,16.24%
13,Delaware,15.60%,13.58%,17.86%,1.56%,1.04%,2.35%,10.92%,8.41%,14.07%,17.72%,15.28%,20.45%,16.90%,14.70%,19.37%
14,District of Columbia,11.95%,10.04%,14.16%,2.34%,1.51%,3.63%,15.68%,12.33%,19.75%,12.04%,9.85%,14.63%,12.57%,10.55%,14.92%
15,Florida,12.22%,10.99%,13.57%,0.93%,0.62%,1.40%,9.00%,7.39%,10.93%,13.73%,12.25%,15.37%,13.19%,11.86%,14.66%
16,Georgia,16.23%,14.44%,18.18%,1.31%,0.90%,1.92%,10.33%,8.33%,12.74%,19.11%,16.87%,21.56%,17.88%,15.90%,20.04%
17,Hawaii,12.14%,10.10%,14.52%,1.76%,1.05%,2.91%,9.13%,6.70%,12.32%,13.54%,11.13%,16.37%,13.07%,10.85%,15.65%
18,Idaho,12.69%,10.74%,14.94%,1.11%,0.70%,1.78%,13.01%,10.31%,16.28%,14.22%,11.80%,17.03%,14.03%,11.86%,16.53%
19,Illinois,14.38%,12.79%,16.13%,1.59%,1.10%,2.28%,10.03%,8.27%,12.11%,16.55%,14.58%,18.73%,15.68%,13.93%,17.60%
20,Indiana,17.39%,15.44%,19.53%,1.32%,0.89%,1.97%,11.54%,9.40%,14.09%,20.41%,17.94%,23.11%,19.12%,16.97%,21.48%
21,Iowa,15.02%,12.82%,17.52%,1.54%,1.01%,2.34%,12.57%,9.83%,15.94%,17.13%,14.42%,20.23%,16.45%,14.02%,19.20%
22,Kansas,14.93%,12.75%,17.41%,1.73%,1.12%,2.66%,11.38%,8.82%,14.55%,17.32%,14.61%,20.41%,16.42%,14.01%,19.16%
23,Kentucky,19.82%,17.63%,22.21%,1.50%,1.01%,2.24%,13.29%,10.72%,16.38%,23.01%,20.30%,25.97%,21.72%,19.30%,24.34%
24,Louisiana,20.37%,18.11%,22.83%,1.49%,0.98%,2.27%,12.56%,9.77%,16.01%,23.95%,21.14%,26.99%,22.40%,19.90%,25.11%
25,Maine,16.43%,14.19%,18.94%,1.95%,1.29%,2.94%,16.17%,12.81%,20.21%,17.77%,15.15%,20.73%,17.60%,15.18%,20.30%
26,Maryland,11.38%,9.59%,13.45%,0.87%,0.57%,1.32%,8.79%,6.69%,11.48%,12.95%,10.78%,15.49%,12.44%,10.47%,14.71%
27,Massachusetts,10.63%,8.99%,12.53%,1.51%,0.99%,2.28%,11.09%,8.64%,14.14%,11.46%,9.50%,13.77%,11.41%,9.64%,13.46%
28,Michigan,15.90%,14.47%,17.45%,1.19%,0.84%,1.69%,10.57%,8.84%,12.58%,18.38%,16.60%,20.30%,17.33%,15.75%,19.02%
29,Minnesota,12.75%,10.73%,15.10%,1.10%,0.70%,1.74%,14.14%,10.98%,18.04%,13.95%,11.51%,16.82%,13.98%,11.75%,16.55%
30,Mississippi,20.19%,17.84%,22.77%,1.36%,0.90%,2.05%,12.05%,9.36%,15.39%,24.02%,21.07%,27.25%,22.31%,19.70%,25.17%
31,Missouri,18.89%,16.44%,21.60%,1.63%,1.09%,2.44%,11.55%,8.98%,14.74%,22.07%,19.04%,25.44%,20.65%,17.96%,23.63%
32,Montana,14.44%,12.29%,16.90%,1.49%,0.95%,2.32%,17.98%,14.11%,22.63%,15.33%,12.81%,18.25%,15.68%,13.33%,18.36%
33,Nebraska,12.39%,10.45%,14.63%,1.11%,0.69%,1.80%,9.66%,7.23%,12.81%,14.37%,11.98%,17.14%,13.67%,11.52%,16.16%
34,Nevada,15.64%,13.63%,17.89%,1.04%,0.66%,1.65%,10.24%,7.87%,13.22%,18.02%,15.57%,20.75%,17.10%,14.89%,19.56%
35,New Hampshire,12.75%,10.98%,14.77%,1.24%,0.78%,1.95%,14.37%,11.35%,18.02%,13.60%,11.53%,15.98%,13.70%,11.79%,15.87%
36,New Jersey,10.42%,8.95%,12.10%,0.93%,0.61%,1.42%,8.23%,6.38%,10.55%,11.80%,10.01%,13.85%,11.36%,9.74%,13.20%
37,New Mexico,16.03%,13.86%,18.47%,2.45%,1.55%,3.83%,15.06%,11.76%,19.08%,17.82%,15.18%,20.81%,17.45%,15.06%,20.12%
38,New York,12.60%,11.38%,13.94%,1.12%,0.77%,1.62%,9.38%,7.76%,11.30%,14.26%,12.76%,15.89%,13.62%,12.29%,15.08%
39,North Carolina,15.58%,13.56%,17.84%,1.27%,0.87%,1.85%,10.78%,8.47%,13.62%,17.97%,15.50%,20.75%,17.01%,14.79%,19.48%
40,North Dakota,16.39%,13.82%,19.34%,1.75%,1.05%,2.89%,12.90%,9.83%,16.76%,18.94%,15.67%,22.71%,17.94%,15.11%,21.17%
41,Ohio,18.72%,17.12%,20.43%,1.62%,1.16%,2.26%,13.71%,11.74%,15.96%,21.45%,19.48%,23.56%,20.43%,18.68%,22.31%
42,Oklahoma,19.11%,16.72%,21.76%,1.62%,1.03%,2.55%,17.91%,14.40%,22.07%,21.64%,18.67%,24.93%,21.08%,18.43%,24.01%
43,Oregon,14.71%,12.50%,17.24%,2.19%,1.41%,3.41%,14.76%,11.57%,18.64%,15.99%,13.37%,19.01%,15.84%,13.44%,18.58%
44,Pennsylvania,15.47%,13.93%,17.14%,1.57%,1.11%,2.22%,10.60%,8.84%,12.66%,17.66%,15.77%,19.72%,16.74%,15.07%,18.56%
45,Rhode Island,14.29%,12.06%,16.85%,1.21%,0.76%,1.91%,11.52%,8.66%,15.17%,15.99%,13.33%,19.06%,15.36%,12.96%,18.12%
46,South Carolina,16.68%,14.33%,19.33%,1.11%,0.72%,1.71%,12.26%,9.43%,15.80%,19.10%,16.25%,22.32%,18.22%,15.64%,21.12%
47,South Dakota,16.54%,14.16%,19.22%,1.73%,1.11%,2.68%,14.35%,11.10%,18.35%,18.83%,15.88%,22.17%,18.19%,15.56%,21.15%
48,Tennessee,17.82%,15.54%,20.37%,1.35%,0.89%,2.05%,11.58%,9.09%,14.65%,20.67%,17.86%,23.79%,19.48%,16.97%,22.26%
49,Texas,14.37%,13.18%,15.66%,1.00%,0.70%,1.41%,9.53%,8.07%,11.21%,17.09%,15.57%,18.73%,15.96%,14.63%,17.39%
50,Utah,7.94%,6.63%,9.47%,0.70%,0.38%,1.27%,7.88%,5.83%,10.56%,9.20%,7.54%,11.17%,8.94%,7.46%,10.67%
51,Vermont,13.94%,11.90%,16.28%,1.66%,1.08%,2.54%,15.10%,11.84%,19.05%,14.90%,12.49%,17.69%,14.93%,12.73%,17.44%
52,Virginia,12.87%,11.42%,14.47%,1.14%,0.78%,1.66%,9.78%,7.88%,12.09%,14.68%,12.91%,16.66%,14.03%,12.44%,15.79%
53,Washington,12.31%,10.50%,14.38%,1.59%,1.06%,2.37%,11.18%,8.70%,14.27%,13.62%,11.46%,16.11%,13.32%,11.35%,15.58%
54,West Virginia,24.44%,21.50%,27.64%,2.32%,1.52%,3.52%,17.96%,14.40%,22.19%,27.69%,24.12%,31.58%,26.46%,23.25%,29.93%
55,Wisconsin,14.50%,12.45%,16.81%,1.65%,1.11%,2.44%,12.37%,9.90%,15.36%,16.30%,13.82%,19.13%,15.76%,13.53%,18.29%
56,Wyoming,16.93%,14.36%,19.85%,1.61%,0.97%,2.65%,19.41%,15.20%,24.45%,18.46%,15.37%,22.01%,18.59%,15.75%,21.81%
