"Table 21. Nicotine Vaping in the Past Month: Among People Aged 12 or Older; by Age Group and State, Annual Average Percentages, 2022 and 2023  ",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on the survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
NOTE: The column labeled “Order” can be used to sort the data to the original sort order.,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Surveys on Drug Use and Health, 2022 and 2023.",,,,,,,,,,,,,,,,
Order,State,"12+ Estimate","12+ 95% CI (Lower)","12+ 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)","18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)"
1,Total U.S.,8.86%,8.60%,9.13%,6.82%,6.39%,7.28%,24.04%,23.23%,24.87%,6.75%,6.47%,7.05%,9.07%,8.78%,9.36%
2,Northeast,8.02%,7.57%,8.49%,7.06%,6.29%,7.92%,23.68%,22.16%,25.27%,5.79%,5.32%,6.29%,8.11%,7.63%,8.61%
3,Midwest,9.83%,9.41%,10.26%,7.45%,6.78%,8.17%,27.75%,26.48%,29.06%,7.27%,6.82%,7.75%,10.07%,9.63%,10.53%
4,South,9.31%,8.94%,9.69%,7.05%,6.46%,7.68%,24.34%,23.27%,25.45%,7.25%,6.83%,7.69%,9.54%,9.15%,9.95%
5,West,7.91%,7.46%,8.39%,5.75%,5.10%,6.47%,20.50%,19.16%,21.91%,6.22%,5.72%,6.76%,8.13%,7.64%,8.65%
6,Alabama,11.33%,9.91%,12.92%,8.55%,6.67%,10.89%,27.82%,24.11%,31.86%,9.00%,7.47%,10.82%,11.61%,10.10%,13.31%
7,Alaska,9.09%,7.76%,10.63%,7.16%,5.43%,9.39%,24.70%,20.74%,29.14%,7.14%,5.72%,8.89%,9.31%,7.88%,10.96%
8,Arizona,8.54%,7.15%,10.18%,6.24%,4.67%,8.28%,21.43%,17.60%,25.83%,6.75%,5.31%,8.54%,8.78%,7.29%,10.52%
9,Arkansas,11.71%,10.14%,13.50%,9.08%,7.10%,11.56%,29.42%,25.27%,33.93%,9.18%,7.50%,11.20%,12.00%,10.31%,13.92%
10,California,6.60%,5.92%,7.34%,4.69%,3.74%,5.85%,16.85%,14.77%,19.15%,5.23%,4.51%,6.07%,6.79%,6.07%,7.59%
11,Colorado,9.51%,8.09%,11.15%,6.96%,5.28%,9.12%,24.15%,20.19%,28.60%,7.53%,6.05%,9.34%,9.76%,8.25%,11.50%
12,Connecticut,8.76%,7.48%,10.22%,6.87%,5.23%,8.98%,26.91%,22.56%,31.74%,6.16%,4.93%,7.68%,8.93%,7.59%,10.49%
13,Delaware,7.91%,6.69%,9.33%,5.93%,4.49%,7.79%,22.34%,18.59%,26.61%,6.15%,4.91%,7.68%,8.09%,6.80%,9.60%
14,District of Columbia,7.49%,6.16%,9.07%,6.10%,4.39%,8.42%,17.92%,14.29%,22.23%,5.79%,4.46%,7.48%,7.58%,6.19%,9.24%
15,Florida,8.58%,7.73%,9.51%,7.31%,6.01%,8.85%,25.14%,22.50%,27.98%,6.56%,5.67%,7.57%,8.69%,7.79%,9.68%
16,Georgia,9.34%,8.14%,10.70%,7.28%,5.75%,9.19%,22.31%,19.23%,25.72%,7.50%,6.18%,9.06%,9.57%,8.29%,11.03%
17,Hawaii,9.28%,7.78%,11.03%,9.48%,6.86%,12.97%,27.48%,22.68%,32.87%,7.05%,5.55%,8.93%,9.26%,7.71%,11.09%
18,Idaho,12.47%,10.73%,14.45%,7.59%,5.71%,10.01%,30.69%,26.42%,35.31%,9.98%,8.03%,12.34%,13.04%,11.16%,15.19%
19,Illinois,8.73%,7.77%,9.80%,7.87%,6.36%,9.70%,26.40%,23.34%,29.70%,6.11%,5.13%,7.27%,8.81%,7.80%,9.95%
20,Indiana,9.43%,8.24%,10.78%,7.03%,5.46%,9.01%,25.88%,22.42%,29.68%,6.95%,5.69%,8.47%,9.69%,8.41%,11.14%
21,Iowa,8.97%,7.61%,10.55%,8.03%,6.03%,10.62%,26.24%,22.05%,30.92%,6.09%,4.73%,7.80%,9.07%,7.63%,10.76%
22,Kansas,10.27%,8.79%,11.98%,8.20%,6.20%,10.78%,26.86%,22.62%,31.58%,7.61%,6.06%,9.52%,10.51%,8.93%,12.32%
23,Kentucky,10.55%,9.19%,12.09%,7.80%,6.00%,10.08%,28.45%,24.45%,32.83%,8.13%,6.69%,9.85%,10.84%,9.38%,12.49%
24,Louisiana,11.54%,10.00%,13.28%,7.90%,6.06%,10.22%,27.17%,23.01%,31.77%,9.54%,7.88%,11.51%,11.93%,10.29%,13.80%
25,Maine,8.78%,7.39%,10.40%,6.91%,5.22%,9.09%,29.31%,24.94%,34.09%,6.39%,4.99%,8.16%,8.93%,7.47%,10.64%
26,Maryland,7.07%,5.94%,8.39%,6.28%,4.72%,8.30%,21.49%,17.76%,25.77%,5.11%,4.00%,6.52%,7.15%,5.95%,8.55%
27,Massachusetts,7.49%,6.38%,8.79%,7.21%,5.41%,9.54%,22.03%,18.39%,26.15%,5.17%,4.08%,6.54%,7.52%,6.35%,8.88%
28,Michigan,9.77%,8.83%,10.80%,6.25%,5.01%,7.77%,26.73%,23.77%,29.91%,7.53%,6.54%,8.65%,10.11%,9.10%,11.21%
29,Minnesota,9.50%,8.03%,11.20%,6.99%,5.23%,9.28%,28.59%,23.85%,33.84%,6.91%,5.47%,8.69%,9.76%,8.20%,11.58%
30,Mississippi,11.59%,10.05%,13.32%,8.34%,6.35%,10.89%,30.01%,25.42%,35.04%,8.94%,7.34%,10.84%,11.95%,10.31%,13.81%
31,Missouri,10.04%,8.61%,11.68%,6.84%,5.23%,8.90%,26.26%,22.05%,30.94%,7.89%,6.40%,9.69%,10.37%,8.84%,12.12%
32,Montana,8.78%,7.35%,10.45%,7.22%,5.30%,9.77%,27.50%,22.77%,32.79%,6.11%,4.71%,7.88%,8.93%,7.43%,10.70%
33,Nebraska,9.09%,7.78%,10.59%,6.26%,4.69%,8.30%,23.79%,19.73%,28.39%,6.92%,5.60%,8.52%,9.41%,8.02%,11.02%
34,Nevada,9.23%,7.90%,10.76%,7.75%,5.90%,10.11%,22.88%,19.19%,27.06%,7.56%,6.14%,9.27%,9.38%,7.97%,11.01%
35,New Hampshire,9.39%,8.10%,10.85%,7.65%,5.85%,9.94%,30.62%,26.09%,35.56%,6.65%,5.35%,8.23%,9.53%,8.18%,11.07%
36,New Jersey,7.41%,6.42%,8.54%,6.07%,4.63%,7.92%,24.51%,21.00%,28.39%,5.16%,4.16%,6.38%,7.54%,6.49%,8.75%
37,New Mexico,10.86%,9.32%,12.62%,10.21%,7.66%,13.47%,28.69%,24.05%,33.81%,8.13%,6.56%,10.04%,10.93%,9.32%,12.77%
38,New York,7.94%,7.13%,8.83%,7.66%,6.22%,9.40%,22.35%,19.66%,25.30%,5.82%,5.00%,6.75%,7.96%,7.11%,8.91%
39,North Carolina,8.96%,7.71%,10.40%,7.00%,5.44%,8.96%,24.34%,20.60%,28.52%,6.81%,5.52%,8.36%,9.16%,7.82%,10.70%
40,North Dakota,9.93%,8.39%,11.71%,6.28%,4.62%,8.48%,26.00%,21.81%,30.69%,7.23%,5.66%,9.19%,10.31%,8.67%,12.22%
41,Ohio,10.95%,9.97%,12.01%,8.50%,7.04%,10.23%,32.51%,29.46%,35.71%,7.97%,6.93%,9.15%,11.19%,10.15%,12.33%
42,Oklahoma,11.27%,9.72%,13.02%,7.29%,5.45%,9.69%,30.90%,26.37%,35.83%,8.41%,6.79%,10.37%,11.72%,10.06%,13.61%
43,Oregon,9.17%,7.81%,10.76%,7.01%,5.27%,9.27%,25.73%,21.52%,30.45%,7.07%,5.69%,8.76%,9.37%,7.93%,11.04%
44,Pennsylvania,8.24%,7.31%,9.28%,6.74%,5.46%,8.31%,23.17%,20.35%,26.25%,6.17%,5.21%,7.30%,8.38%,7.39%,9.49%
45,Rhode Island,9.23%,7.85%,10.82%,8.31%,6.36%,10.77%,28.16%,23.38%,33.49%,6.26%,4.96%,7.86%,9.31%,7.88%,10.97%
46,South Carolina,10.18%,8.64%,11.96%,6.75%,5.01%,9.05%,26.95%,22.64%,31.75%,8.08%,6.46%,10.07%,10.52%,8.87%,12.43%
47,South Dakota,10.84%,9.27%,12.64%,7.00%,5.25%,9.26%,29.63%,25.12%,34.56%,8.23%,6.61%,10.22%,11.27%,9.59%,13.20%
