"Table 22. Perceptions of Great Risk from Smoking One or More Packs of Cigarettes per Day: Among People Aged 12 or Older; by Age Group and State, Annual Average Percentages, 2022 and 2023",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on the survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
NOTE: The column labeled “Order” can be used to sort the data to the original sort order.,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Surveys on Drug Use and Health, 2022 and 2023.",,,,,,,,,,,,,,,,
Order,State,"12+ Estimate","12+ 95% CI (Lower)","12+ 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)","18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)"
1,Total U.S.,68.40%,67.89%,68.91%,60.97%,60.07%,61.87%,61.51%,60.63%,62.38%,70.33%,69.70%,70.95%,69.14%,68.59%,69.69%
2,Northeast,70.42%,69.46%,71.37%,63.35%,61.48%,65.19%,63.74%,61.99%,65.44%,72.15%,71.05%,73.22%,71.05%,70.05%,72.04%
3,Midwest,65.28%,64.39%,66.17%,60.85%,59.21%,62.46%,59.03%,57.56%,60.48%,66.79%,65.76%,67.81%,65.73%,64.79%,66.65%
4,South,67.77%,67.01%,68.52%,59.30%,57.79%,60.79%,61.00%,59.68%,62.30%,69.83%,68.97%,70.68%,68.64%,67.86%,69.41%
5,West,70.67%,69.69%,71.63%,62.27%,60.38%,64.13%,62.96%,61.22%,64.66%,72.84%,71.69%,73.96%,71.52%,70.48%,72.53%
6,Alabama,61.47%,58.74%,64.13%,55.38%,50.77%,59.90%,56.47%,52.15%,60.70%,62.99%,59.77%,66.10%,62.09%,59.18%,64.91%
7,Alaska,64.79%,61.77%,67.69%,57.26%,51.91%,62.45%,54.09%,48.98%,59.12%,67.25%,63.74%,70.58%,65.63%,62.40%,68.71%
8,Arizona,68.14%,65.18%,70.96%,57.16%,52.20%,61.97%,58.48%,53.22%,63.56%,70.96%,67.50%,74.19%,69.24%,66.10%,72.20%
9,Arkansas,62.84%,59.91%,65.69%,57.43%,52.60%,62.12%,56.18%,51.53%,60.73%,64.59%,61.09%,67.94%,63.42%,60.28%,66.45%
10,California,73.05%,71.49%,74.56%,63.50%,60.45%,66.45%,66.40%,63.52%,69.16%,75.19%,73.35%,76.95%,74.01%,72.34%,75.62%
11,Colorado,66.43%,63.79%,68.97%,58.50%,53.79%,63.06%,54.71%,49.58%,59.74%,69.11%,66.05%,72.01%,67.18%,64.38%,69.86%
12,Connecticut,70.81%,68.06%,73.41%,61.58%,56.92%,66.03%,62.14%,56.81%,67.20%,73.14%,69.99%,76.07%,71.67%,68.74%,74.42%
13,Delaware,69.90%,67.21%,72.46%,61.75%,57.14%,66.15%,62.93%,58.26%,67.36%,71.70%,68.61%,74.60%,70.65%,67.79%,73.35%
14,District of Columbia,73.75%,71.08%,76.25%,54.82%,49.70%,59.84%,65.89%,60.60%,70.81%,76.54%,73.56%,79.28%,74.97%,72.20%,77.56%
15,Florida,73.21%,71.50%,74.85%,62.99%,59.98%,65.90%,64.57%,61.50%,67.52%,75.32%,73.35%,77.19%,74.08%,72.28%,75.82%
16,Georgia,66.44%,64.15%,68.66%,56.59%,52.53%,60.57%,61.67%,57.81%,65.39%,68.49%,65.70%,71.14%,67.53%,65.05%,69.91%
17,Hawaii,70.30%,67.44%,73.01%,59.50%,54.43%,64.37%,58.72%,53.24%,64.00%,72.78%,69.48%,75.85%,71.26%,68.21%,74.12%
18,Idaho,65.70%,62.79%,68.50%,60.45%,55.77%,64.95%,58.66%,54.08%,63.10%,67.64%,64.19%,70.90%,66.31%,63.21%,69.28%
19,Illinois,68.23%,66.17%,70.22%,63.21%,59.57%,66.70%,64.08%,60.59%,67.44%,69.45%,66.99%,71.81%,68.73%,66.53%,70.86%
20,Indiana,65.19%,62.69%,67.61%,61.47%,56.98%,65.78%,59.97%,55.79%,64.02%,66.53%,63.55%,69.39%,65.58%,62.92%,68.15%
21,Iowa,63.89%,60.80%,66.88%,60.50%,55.76%,65.06%,56.95%,52.15%,61.63%,65.52%,61.91%,68.96%,64.25%,60.96%,67.40%
22,Kansas,66.50%,63.62%,69.27%,61.94%,57.28%,66.38%,58.27%,53.43%,62.95%,68.56%,65.21%,71.74%,67.02%,63.95%,69.95%
23,Kentucky,62.50%,59.77%,65.17%,59.76%,54.99%,64.35%,52.78%,48.12%,57.40%,64.32%,61.14%,67.39%,62.78%,59.89%,65.58%
24,Louisiana,65.31%,62.66%,67.87%,58.85%,54.19%,63.35%,63.08%,58.23%,67.67%,66.46%,63.39%,69.40%,66.00%,63.17%,68.73%
25,Maine,68.81%,65.88%,71.59%,66.25%,61.32%,70.86%,60.30%,55.28%,65.11%,70.09%,66.74%,73.24%,69.00%,65.92%,71.93%
26,Maryland,71.66%,68.98%,74.20%,64.21%,59.68%,68.50%,64.73%,60.08%,69.11%,73.50%,70.38%,76.40%,72.41%,69.56%,75.09%
27,Massachusetts,71.58%,68.93%,74.09%,64.48%,59.63%,69.04%,63.42%,58.78%,67.82%,73.60%,70.53%,76.46%,72.18%,69.39%,74.81%
28,Michigan,65.87%,63.99%,67.71%,62.48%,59.20%,65.65%,60.00%,56.62%,63.28%,67.16%,64.95%,69.30%,66.19%,64.19%,68.14%
29,Minnesota,67.95%,64.90%,70.86%,61.55%,56.42%,66.44%,57.89%,52.67%,62.95%,70.24%,66.74%,73.53%,68.62%,65.37%,71.70%
30,Mississippi,62.94%,59.95%,65.84%,57.36%,52.48%,62.11%,58.12%,52.99%,63.09%,64.48%,60.94%,67.86%,63.57%,60.36%,66.66%
31,Missouri,63.21%,60.30%,66.02%,57.41%,52.76%,61.94%,56.45%,51.48%,61.29%,64.94%,61.52%,68.22%,63.80%,60.68%,66.80%
32,Montana,68.13%,65.18%,70.94%,65.20%,60.02%,70.04%,58.68%,53.22%,63.93%,69.88%,66.50%,73.06%,68.40%,65.30%,71.35%
33,Nebraska,66.08%,63.45%,68.61%,61.11%,56.43%,65.59%,55.69%,50.78%,60.50%,68.54%,65.45%,71.47%,66.64%,63.85%,69.31%
34,Nevada,66.91%,64.20%,69.52%,59.41%,54.58%,64.07%,62.49%,57.88%,66.89%,68.35%,65.22%,71.32%,67.65%,64.77%,70.41%
35,New Hampshire,70.31%,67.73%,72.76%,64.85%,60.25%,69.19%,64.00%,58.97%,68.74%,71.67%,68.70%,74.46%,70.74%,68.01%,73.34%
36,New Jersey,72.56%,70.27%,74.74%,64.24%,60.33%,67.98%,67.16%,63.03%,71.04%,74.26%,71.61%,76.74%,73.38%,70.94%,75.69%
37,New Mexico,67.73%,65.04%,70.31%,58.61%,53.65%,63.40%,55.29%,50.22%,60.25%,70.79%,67.64%,73.75%,68.68%,65.81%,71.41%
38,New York,70.75%,69.04%,72.41%,62.72%,59.36%,65.97%,64.33%,61.18%,67.35%,72.52%,70.53%,74.42%,71.45%,69.64%,73.20%
39,North Carolina,67.36%,64.83%,69.79%,59.84%,55.32%,64.19%,60.43%,55.65%,65.01%,69.29%,66.36%,72.08%,68.10%,65.41%,70.68%
40,North Dakota,63.49%,60.27%,66.60%,61.32%,56.00%,66.38%,56.42%,51.34%,61.37%,65.15%,61.32%,68.80%,63.72%,60.28%,67.02%
41,Ohio,61.60%,59.59%,63.57%,58.79%,55.43%,62.07%,55.78%,52.57%,58.95%,62.79%,60.42%,65.11%,61.87%,59.72%,63.98%
42,Oklahoma,64.52%,61.73%,67.21%,61.20%,56.49%,65.70%,58.51%,53.56%,63.29%,65.99%,62.74%,69.09%,64.89%,61.92%,67.74%
43,Oregon,69.59%,66.70%,72.34%,61.05%,55.95%,65.92%,58.71%,53.76%,63.48%,71.99%,68.71%,75.05%,70.35%,67.30%,73.23%
44,Pennsylvania,68.00%,66.08%,69.85%,63.16%,59.61%,66.57%,62.16%,58.72%,65.47%,69.37%,67.11%,71.54%,68.43%,66.40%,70.40%
45,Rhode Island,68.96%,65.99%,71.77%,61.18%,56.15%,65.98%,58.56%,53.30%,63.64%,71.38%,67.98%,74.55%,69.59%,66.47%,72.53%
46,South Carolina,67.61%,64.61%,70.47%,58.37%,52.88%,63.66%,60.22%,55.39%,64.86%,69.75%,66.24%,73.04%,68.52%,65.34%,71.52%
47,South Dakota,62.98%,59.70%,66.15%,58.96%,53.65%,64.07%,55.17%,50.15%,60.10%,64.80%,60.90%,68.51%,63.43%,59.90%,66.82%
48,Tennessee,62.43%,59.38%,65.38%,54.94%,49.91%,59.87%,54.14%,49.23%,58.96%,64.54%,61.00%,67.93%,63.17%,59.95%,66.28%
49,Texas,68.76%,67.15%,70.33%,58.16%,54.88%,61.37%,61.86%,58.99%,64.65%,71.45%,69.53%,73.29%,70.02%,68.31%,71.68%
50,Utah,72.09%,69.87%,74.20%,69.29%,65.18%,73.11%,70.27%,66.08%,74.15%,72.99%,70.30%,75.52%,72.48%,70.10%,74.74%
51,Vermont,70.00%,67.02%,72.82%,65.60%,60.82%,70.08%,60.08%,54.59%,65.33%,71.95%,68.50%,75.15%,70.34%,67.18%,73.32%
52,Virginia,67.35%,65.22%,69.41%,62.11%,58.79%,65.32%,63.57%,59.78%,67.20%,68.52%,66.02%,70.91%,67.86%,65.57%,70.07%
53,Washington,69.24%,66.45%,71.89%,64.14%,59.65%,68.40%,60.16%,55.42%,64.72%,71.06%,67.78%,74.12%,69.71%,66.74%,72.53%
54,West Virginia,59.60%,56.29%,62.82%,57.78%,52.68%,62.72%,53.76%,48.67%,58.78%,60.63%,56.78%,64.35%,59.76%,56.24%,63.17%
55,Wisconsin,65.45%,62.75%,68.05%,59.06%,54.28%,63.67%,59.40%,55.04%,63.62%,67.13%,63.94%,70.16%,66.08%,63.20%,68.84%
56,Wyoming,66.23%,63.02%,69.30%,56.40%,50.66%,61.97%,55.35%,49.46%,61.08%,69.14%,65.46%,72.59%,67.29%,63.89%,70.52%
