"Table 23. Tobacco Product Use in the Past Month and Cigarette Use in the Past Month: Among People Aged 12 to 20; by State, Annual Average Percentages, 2022 and 2023",,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on the survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,
NOTE: The column labeled “Order” can be used to sort the data to the original sort order.,,,,,,,
"1 Tobacco products include cigarettes, smokeless tobacco (i.e., snuff, dip, chewing tobacco, or snus), cigars, or pipe tobacco. These estimates of tobacco product use do not include nicotine vaping.",,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Surveys on Drug Use and Health, 2022 and 2023.",,,,,,,
Order,State,Tobacco Product Use in Past Month1 (Estimate),Tobacco Product Use in Past Month1 95% CI (Lower),Tobacco Product Use in Past Month1 95% CI (Upper),Cigarette Use in Past Month (Estimate),Cigarette Use in Past Month 95% CI (Lower),Cigarette Use in Past Month 95% CI (Upper)
1,Total U.S.,4.91%,4.53%,5.32%,3.20%,2.91%,3.53%
2,Northeast,4.93%,4.33%,5.61%,3.45%,2.97%,3.99%
3,Midwest,5.31%,4.80%,5.87%,3.64%,3.24%,4.09%
4,South,4.92%,4.47%,5.41%,2.93%,2.60%,3.32%
5,West,4.53%,3.98%,5.14%,3.10%,2.69%,3.58%
6,Alabama,7.00%,5.46%,8.93%,4.16%,3.15%,5.48%
7,Alaska,6.25%,4.72%,8.25%,4.31%,3.17%,5.83%
8,Arizona,4.39%,3.24%,5.91%,3.22%,2.32%,4.47%
9,Arkansas,5.57%,4.27%,7.22%,3.62%,2.69%,4.85%
10,California,4.07%,3.28%,5.03%,2.51%,1.96%,3.20%
11,Colorado,5.72%,4.20%,7.75%,4.00%,2.89%,5.51%
12,Connecticut,5.10%,3.76%,6.89%,3.73%,2.70%,5.14%
13,Delaware,5.20%,3.90%,6.89%,3.57%,2.61%,4.87%
14,District of Columbia,5.30%,3.78%,7.36%,3.50%,2.49%,4.88%
15,Florida,4.37%,3.49%,5.47%,2.50%,1.92%,3.25%
16,Georgia,5.05%,3.97%,6.42%,2.79%,2.10%,3.69%
17,Hawaii,4.12%,3.01%,5.60%,3.35%,2.35%,4.76%
18,Idaho,4.66%,3.49%,6.20%,3.52%,2.55%,4.84%
19,Illinois,4.86%,3.88%,6.07%,3.47%,2.71%,4.43%
20,Indiana,4.54%,3.47%,5.90%,3.32%,2.54%,4.33%
21,Iowa,5.53%,4.14%,7.35%,4.32%,3.21%,5.78%
22,Kansas,5.01%,3.80%,6.60%,3.53%,2.64%,4.70%
23,Kentucky,5.21%,3.98%,6.78%,3.60%,2.71%,4.77%
24,Louisiana,6.32%,4.80%,8.28%,4.03%,2.99%,5.42%
25,Maine,6.29%,4.69%,8.38%,4.82%,3.60%,6.42%
26,Maryland,4.82%,3.62%,6.39%,2.63%,1.91%,3.61%
27,Massachusetts,5.56%,4.16%,7.39%,4.08%,2.98%,5.56%
28,Michigan,4.51%,3.56%,5.69%,3.07%,2.38%,3.94%
29,Minnesota,5.35%,3.98%,7.18%,3.68%,2.66%,5.06%
30,Mississippi,4.86%,3.67%,6.42%,2.74%,2.01%,3.74%
31,Missouri,5.28%,3.94%,7.04%,3.49%,2.55%,4.75%
32,Montana,6.68%,4.91%,9.04%,5.04%,3.69%,6.85%
33,Nebraska,4.51%,3.33%,6.07%,3.25%,2.34%,4.48%
34,Nevada,5.01%,3.78%,6.60%,2.73%,2.00%,3.71%
35,New Hampshire,5.38%,4.06%,7.09%,3.91%,2.90%,5.25%
36,New Jersey,4.09%,3.09%,5.40%,2.62%,1.94%,3.52%
37,New Mexico,6.08%,4.56%,8.07%,4.97%,3.72%,6.60%
38,New York,4.90%,3.92%,6.10%,3.22%,2.50%,4.13%
39,North Carolina,4.60%,3.49%,6.02%,2.97%,2.23%,3.96%
40,North Dakota,5.46%,3.98%,7.46%,4.03%,2.92%,5.55%
41,Ohio,6.74%,5.54%,8.18%,4.35%,3.48%,5.41%
42,Oklahoma,5.44%,4.06%,7.26%,3.72%,2.75%,5.00%
43,Oregon,6.59%,4.92%,8.77%,4.63%,3.43%,6.23%
44,Pennsylvania,5.05%,4.05%,6.29%,3.82%,3.01%,4.82%
45,Rhode Island,5.07%,3.73%,6.86%,3.32%,2.41%,4.57%
46,South Carolina,4.69%,3.46%,6.32%,3.54%,2.64%,4.72%
47,South Dakota,4.45%,3.29%,6.00%,3.27%,2.42%,4.41%
48,Tennessee,5.44%,4.07%,7.23%,3.28%,2.41%,4.47%
49,Texas,4.44%,3.61%,5.46%,2.38%,1.86%,3.03%
50,Utah,3.13%,2.15%,4.52%,2.47%,1.69%,3.59%
51,Vermont,4.72%,3.45%,6.44%,3.75%,2.72%,5.14%
52,Virginia,4.80%,3.82%,6.02%,2.97%,2.29%,3.85%
53,Washington,4.61%,3.44%,6.16%,3.86%,2.84%,5.22%
54,West Virginia,7.25%,5.54%,9.44%,5.34%,4.02%,7.06%
55,Wisconsin,6.00%,4.55%,7.86%,3.83%,2.85%,5.13%
56,Wyoming,5.67%,4.12%,7.74%,3.72%,2.65%,5.21%
