"Table 24. Substance Use Disorder in the Past Year: Among People Aged 12 or Older; by Age Group and State, Annual Average Percentages, 2022 and 2023 ",,,,,,,,,,,,,,,,
"NOTE: Substance use disorder (SUD) estimates are based on Diagnostic and Statistical Manual of Mental Disorders, 5th edition criteria. SUD is defined as meeting the criteria for drug or alcohol use disorder. See 2023 National Survey on Drug Use and Health (NSDUH): Methodological Summary and Definitions at https://www.samhsa.gov/data/report/2023-methodological-summary-and-definitions for details on who was eligible to receive questions on SUD.",,,,,,,,,,,,,,,,
"NOTE: Drug use includes the use of marijuana (including vaping), cocaine (including crack), heroin, hallucinogens, inhalants, or methamphetamine in the past year or any use (i.e., not necessarily misuse) of prescription pain relievers, tranquilizers, stimulants, or sedatives in the past year.",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on the survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
NOTE: The column labeled “Order” can be used to sort the data to the original sort order.,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Surveys on Drug Use and Health, 2022 and 2023.",,,,,,,,,,,,,,,,
Order,State,"12+ Estimate","12+ 95% CI (Lower)","12+ 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)","18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)"
1,Total U.S.,17.19%,16.81%,17.57%,8.56%,8.04%,9.11%,27.46%,26.57%,28.36%,16.60%,16.16%,17.05%,18.05%,17.65%,18.47%
2,Northeast,17.51%,16.75%,18.31%,8.43%,7.62%,9.32%,28.40%,26.90%,29.96%,16.84%,15.93%,17.78%,18.34%,17.51%,19.19%
3,Midwest,17.68%,17.01%,18.38%,8.54%,7.82%,9.32%,28.38%,27.11%,29.69%,17.07%,16.27%,17.91%,18.62%,17.89%,19.37%
4,South,16.17%,15.64%,16.73%,8.53%,7.88%,9.23%,25.73%,24.63%,26.86%,15.60%,14.96%,16.27%,16.96%,16.38%,17.56%
5,West,18.16%,17.41%,18.94%,8.71%,7.82%,9.68%,28.77%,27.22%,30.38%,17.63%,16.75%,18.54%,19.12%,18.30%,19.96%
6,Alabama,16.18%,14.36%,18.18%,8.86%,7.11%,11.00%,23.75%,20.32%,27.56%,15.83%,13.71%,18.20%,16.92%,14.95%,19.10%
7,Alaska,21.11%,18.63%,23.84%,8.34%,6.36%,10.88%,30.71%,26.39%,35.40%,21.39%,18.51%,24.59%,22.55%,19.83%,25.52%
8,Arizona,18.56%,16.21%,21.17%,10.15%,7.99%,12.81%,32.35%,27.94%,37.11%,17.33%,14.70%,20.33%,19.41%,16.87%,22.22%
9,Arkansas,17.62%,15.50%,19.97%,8.79%,6.93%,11.08%,26.78%,22.81%,31.17%,17.25%,14.79%,20.02%,18.57%,16.27%,21.13%
10,California,17.00%,15.81%,18.27%,8.18%,6.85%,9.73%,27.96%,25.50%,30.57%,16.34%,14.95%,17.83%,17.90%,16.60%,19.27%
