"Table 25. Alcohol Use Disorder in the Past Year: Among People Aged 12 or Older; by Age Group and State, Annual Average Percentages, 2022 and 2023  ",,,,,,,,,,,,,,,,
"NOTE: Alcohol use disorder estimates are based on Diagnostic and Statistical Manual of Mental Disorders, 5th edition criteria. See 2023 National Survey on Drug Use and Health (NSDUH): Methodological Summary and Definitions at https://www.samhsa.gov/data/report/2023-methodological-summary-and-definitions for details on who was eligible to receive questions on alcohol use disorder.",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on the survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
NOTE: The column labeled “Order” can be used to sort the data to the original sort order.,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Surveys on Drug Use and Health, 2022 and 2023.",,,,,,,,,,,,,,,,
Order,State,"12+ Estimate","12+ 95% CI (Lower)","12+ 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)","18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)"
1,Total U.S.,10.33%,10.04%,10.62%,2.92%,2.62%,3.27%,15.71%,14.98%,16.47%,10.35%,10.01%,10.71%,11.07%,10.76%,11.40%
2,Northeast,10.52%,9.91%,11.15%,2.85%,2.40%,3.39%,16.54%,15.31%,17.86%,10.42%,9.72%,11.16%,11.21%,10.56%,11.89%
3,Midwest,10.69%,10.18%,11.23%,3.03%,2.61%,3.53%,16.23%,15.23%,17.28%,10.73%,10.12%,11.36%,11.48%,10.92%,12.06%
4,South,9.76%,9.33%,10.20%,2.71%,2.35%,3.12%,14.43%,13.57%,15.34%,9.87%,9.37%,10.40%,10.49%,10.02%,10.97%
5,West,10.80%,10.18%,11.45%,3.23%,2.71%,3.84%,16.73%,15.50%,18.03%,10.77%,10.04%,11.54%,11.56%,10.90%,12.27%
6,Alabama,10.05%,8.55%,11.78%,3.22%,2.19%,4.73%,14.54%,11.99%,17.53%,10.13%,8.42%,12.14%,10.74%,9.12%,12.61%
7,Alaska,10.05%,8.33%,12.07%,2.52%,1.62%,3.91%,15.27%,12.33%,18.76%,10.27%,8.33%,12.61%,10.89%,9.02%,13.09%
8,Arizona,10.57%,8.80%,12.65%,3.88%,2.56%,5.83%,18.52%,14.95%,22.70%,10.08%,8.15%,12.40%,11.24%,9.35%,13.46%
9,Arkansas,10.65%,8.98%,12.59%,3.30%,2.21%,4.91%,14.83%,12.17%,17.96%,10.90%,8.98%,13.16%,11.44%,9.64%,13.53%
10,California,10.43%,9.47%,11.49%,3.01%,2.27%,4.00%,16.39%,14.45%,18.53%,10.38%,9.25%,11.63%,11.19%,10.14%,12.32%
11,Colorado,14.49%,12.57%,16.65%,3.76%,2.55%,5.53%,19.10%,15.79%,22.92%,14.97%,12.75%,17.50%,15.52%,13.45%,17.85%
