"Table 26. Alcohol Use Disorder in the Past Year: Among People Aged 12 to 20; by Age Group and State, Annual Average Percentages, 2022 and 2023 ",,,,
"NOTE: Alcohol use disorder estimates are based on Diagnostic and Statistical Manual of Mental Disorders, 5th edition criteria. See 2023 National Survey on Drug Use and Health (NSDUH): Methodological Summary and Definitions at https://www.samhsa.gov/data/report/2023-methodological-summary-and-definitions for details on who was eligible to receive questions on alcohol use disorder.",,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on the survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,
NOTE: The column labeled “Order” can be used to sort the data to the original sort order.,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Surveys on Drug Use and Health, 2022 and 2023.",,,,
Order,State,Estimate, 95% CI (Lower), 95% CI (Upper)
1,Total U.S.,5.64%,5.23%,6.08%
2,Northeast,5.84%,5.15%,6.61%
3,Midwest,6.01%,5.43%,6.65%
4,South,5.27%,4.75%,5.84%
5,West,5.77%,5.08%,6.55%
6,Alabama,6.48%,4.96%,8.44%
7,Alaska,5.13%,3.73%,7.01%
8,Arizona,6.79%,4.98%,9.19%
9,Arkansas,6.28%,4.71%,8.34%
10,California,5.24%,4.27%,6.42%
11,Colorado,7.45%,5.55%,9.93%
12,Connecticut,7.01%,5.19%,9.42%
13,Delaware,5.58%,4.08%,7.60%
14,District of Columbia,5.84%,4.04%,8.37%
15,Florida,5.33%,4.32%,6.56%
16,Georgia,4.65%,3.50%,6.15%
17,Hawaii,6.05%,4.37%,8.33%
18,Idaho,6.65%,5.03%,8.76%
19,Illinois,6.01%,4.72%,7.64%
20,Indiana,4.03%,2.86%,5.65%
21,Iowa,5.94%,4.37%,8.03%
22,Kansas,5.83%,4.31%,7.83%
23,Kentucky,5.05%,3.70%,6.86%
24,Louisiana,6.53%,4.83%,8.78%
25,Maine,6.88%,5.19%,9.07%
26,Maryland,4.62%,3.35%,6.35%
27,Massachusetts,7.68%,5.70%,10.27%
28,Michigan,5.17%,4.08%,6.51%
29,Minnesota,6.50%,4.73%,8.88%
30,Mississippi,5.08%,3.69%,6.97%
31,Missouri,5.97%,4.45%,7.96%
32,Montana,7.22%,5.30%,9.75%
33,Nebraska,5.64%,4.18%,7.58%
34,Nevada,6.65%,4.96%,8.85%
35,New Hampshire,6.25%,4.64%,8.36%
36,New Jersey,4.66%,3.56%,6.09%
37,New Mexico,6.77%,5.05%,9.03%
38,New York,5.65%,4.55%,6.99%
39,North Carolina,4.82%,3.52%,6.58%
40,North Dakota,5.17%,3.62%,7.34%
41,Ohio,7.03%,5.78%,8.54%
42,Oklahoma,4.75%,3.49%,6.44%
43,Oregon,6.86%,5.11%,9.16%
44,Pennsylvania,5.48%,4.33%,6.91%
45,Rhode Island,7.07%,5.18%,9.58%
46,South Carolina,6.43%,4.68%,8.77%
47,South Dakota,5.80%,4.28%,7.81%
48,Tennessee,4.94%,3.59%,6.76%
49,Texas,5.00%,4.03%,6.19%
50,Utah,3.75%,2.52%,5.53%
51,Vermont,5.80%,4.27%,7.83%
52,Virginia,6.12%,4.89%,7.63%
53,Washington,5.55%,4.08%,7.51%
54,West Virginia,4.88%,3.43%,6.89%
55,Wisconsin,7.54%,5.72%,9.87%
56,Wyoming,6.69%,4.85%,9.16%
