"Table 27. Drug Use Disorder in the Past Year: Among People Aged 12 or Older; by Age Group and State, Annual Average Percentages, 2022 and 2023 ",,,,,,,,,,,,,,,,
"NOTE: Drug use disorder estimates are based on Diagnostic and Statistical Manual of Mental Disorders, 5th edition criteria. See 2023 National Survey on Drug Use and Health (NSDUH): Methodological Summary and Definitions at https://www.samhsa.gov/data/report/2023-methodological-summary-and-definitions for details on who was eligible to receive questions on drug use disorder.",,,,,,,,,,,,,,,,
"NOTE: Drug use includes the use of marijuana (including vaping), cocaine (including crack), heroin, hallucinogens, inhalants, or methamphetamine in the past year or any use (i.e., not necessarily misuse) of prescription pain relievers, tranquilizers, stimulants, or sedatives in the past year.",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on the survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
NOTE: The column labeled “Order” can be used to sort the data to the original sort order.,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Surveys on Drug Use and Health, 2022 and 2023.",,,,,,,,,,,,,,,,
Order,State,"12+ Estimate","12+ 95% CI (Lower)","12+ 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)","18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)"
1,Total U.S.,9.62%,9.31%,9.94%,6.96%,6.49%,7.45%,18.30%,17.58%,19.05%,8.58%,8.22%,8.96%,9.88%,9.55%,10.23%
2,Northeast,9.61%,9.05%,10.19%,6.72%,6.03%,7.48%,18.94%,17.53%,20.43%,8.51%,7.90%,9.17%,9.87%,9.28%,10.49%
3,Midwest,9.68%,9.21%,10.16%,7.05%,6.43%,7.72%,18.47%,17.31%,19.70%,8.60%,8.07%,9.15%,9.95%,9.44%,10.47%
4,South,8.92%,8.53%,9.33%,6.86%,6.27%,7.50%,16.31%,15.25%,17.43%,8.02%,7.57%,8.50%,9.14%,8.71%,9.58%
5,West,10.70%,10.10%,11.33%,7.20%,6.41%,8.08%,20.93%,19.34%,22.61%,9.53%,8.85%,10.25%,11.05%,10.41%,11.73%
6,Alabama,8.47%,7.15%,10.01%,6.86%,5.35%,8.74%,13.26%,10.63%,16.42%,7.89%,6.47%,9.60%,8.64%,7.23%,10.28%
7,Alaska,13.32%,11.32%,15.61%,6.41%,4.71%,8.67%,27.04%,22.66%,31.92%,12.26%,10.03%,14.91%,14.09%,11.92%,16.59%
8,Arizona,11.44%,9.59%,13.61%,7.82%,6.06%,10.04%,22.82%,18.65%,27.61%,10.04%,8.10%,12.40%,11.81%,9.82%,14.13%
9,Arkansas,9.50%,7.97%,11.27%,6.85%,5.34%,8.75%,16.28%,13.13%,19.99%,8.73%,7.08%,10.72%,9.78%,8.15%,11.70%
10,California,10.16%,9.23%,11.18%,6.99%,5.79%,8.41%,20.22%,17.84%,22.84%,8.97%,7.92%,10.15%,10.48%,9.48%,11.57%
11,Colorado,11.88%,10.24%,13.75%,7.66%,5.97%,9.77%,23.50%,19.51%,28.01%,10.55%,8.83%,12.57%,12.29%,10.54%,14.28%
12,Connecticut,10.21%,8.56%,12.14%,7.18%,5.62%,9.13%,23.17%,18.99%,27.95%,8.54%,6.86%,10.59%,10.49%,8.74%,12.55%
13,Delaware,9.67%,8.22%,11.36%,8.94%,6.95%,11.43%,17.92%,14.49%,21.95%,8.62%,7.11%,10.43%,9.74%,8.21%,11.53%
14,District of Columbia,13.61%,11.61%,15.90%,7.03%,5.37%,9.15%,24.22%,19.57%,29.58%,12.29%,10.18%,14.76%,14.04%,11.94%,16.45%
15,Florida,8.67%,7.73%,9.70%,7.06%,5.94%,8.38%,19.03%,16.62%,21.69%,7.47%,6.46%,8.62%,8.80%,7.81%,9.91%
16,Georgia,10.11%,8.74%,11.66%,8.05%,6.47%,9.98%,17.34%,14.62%,20.44%,9.20%,7.69%,10.97%,10.34%,8.86%,12.02%
17,Hawaii,8.62%,6.97%,10.60%,5.20%,3.72%,7.21%,15.69%,12.11%,20.09%,8.09%,6.32%,10.30%,8.92%,7.18%,11.04%
18,Idaho,9.97%,8.31%,11.91%,7.09%,5.50%,9.10%,18.20%,14.77%,22.22%,8.94%,7.11%,11.18%,10.30%,8.51%,12.42%
19,Illinois,9.40%,8.20%,10.75%,7.44%,6.07%,9.10%,17.63%,14.95%,20.67%,8.36%,7.06%,9.87%,9.60%,8.31%,11.06%
20,Indiana,8.42%,7.17%,9.86%,7.17%,5.57%,9.18%,17.30%,14.46%,20.57%,7.08%,5.74%,8.70%,8.56%,7.23%,10.10%
21,Iowa,8.38%,6.95%,10.07%,5.77%,4.35%,7.61%,15.26%,12.00%,19.21%,7.51%,6.00%,9.37%,8.66%,7.12%,10.48%
22,Kansas,8.10%,6.68%,9.79%,6.83%,5.29%,8.78%,14.96%,11.80%,18.78%,7.06%,5.56%,8.92%,8.24%,6.72%,10.07%
23,Kentucky,9.61%,8.08%,11.38%,6.42%,4.90%,8.36%,14.84%,11.95%,18.28%,9.18%,7.50%,11.20%,9.94%,8.30%,11.86%
24,Louisiana,12.17%,10.40%,14.19%,7.48%,5.84%,9.55%,18.86%,15.27%,23.07%,11.71%,9.73%,14.02%,12.68%,10.77%,14.87%
25,Maine,12.38%,10.56%,14.46%,7.51%,5.72%,9.80%,26.09%,21.62%,31.11%,11.11%,9.18%,13.40%,12.78%,10.85%,14.99%
26,Maryland,9.21%,7.69%,10.99%,7.69%,6.01%,9.79%,18.62%,14.97%,22.92%,8.05%,6.45%,9.99%,9.36%,7.74%,11.27%
27,Massachusetts,11.29%,9.66%,13.16%,7.12%,5.57%,9.07%,22.85%,19.06%,27.13%,9.84%,8.12%,11.88%,11.65%,9.92%,13.64%
28,Michigan,10.64%,9.54%,11.85%,6.77%,5.59%,8.17%,21.29%,18.63%,24.21%,9.42%,8.22%,10.77%,11.01%,9.84%,12.31%
29,Minnesota,9.70%,8.09%,11.60%,6.81%,5.20%,8.86%,20.35%,16.33%,25.05%,8.44%,6.79%,10.44%,10.01%,8.29%,12.03%
30,Mississippi,10.18%,8.59%,12.02%,7.09%,5.48%,9.13%,14.73%,11.69%,18.40%,9.82%,8.07%,11.91%,10.52%,8.82%,12.51%
31,Missouri,10.75%,9.04%,12.73%,7.36%,5.71%,9.44%,17.36%,14.01%,21.31%,10.12%,8.24%,12.36%,11.09%,9.26%,13.23%
32,Montana,11.50%,9.74%,13.53%,7.18%,5.48%,9.37%,23.85%,19.49%,28.85%,10.10%,8.26%,12.29%,11.91%,10.03%,14.09%
33,Nebraska,8.13%,6.79%,9.72%,6.50%,5.01%,8.39%,14.75%,11.70%,18.44%,7.21%,5.81%,8.90%,8.32%,6.88%,10.02%
34,Nevada,12.17%,10.40%,14.20%,8.26%,6.43%,10.56%,23.06%,18.98%,27.71%,11.14%,9.23%,13.38%,12.56%,10.67%,14.72%
35,New Hampshire,9.81%,8.35%,11.49%,6.32%,4.88%,8.15%,19.45%,15.78%,23.73%,8.81%,7.29%,10.62%,10.10%,8.55%,11.88%
36,New Jersey,8.11%,6.88%,9.53%,6.00%,4.71%,7.62%,17.12%,14.07%,20.67%,7.07%,5.76%,8.65%,8.31%,7.00%,9.84%
