"Table 28. Pain Reliever Use Disorder in the Past Year: Among People Aged 12 or Older; by Age Group and State, Annual Average Percentages, 2022 and 2023",,,,,,,,,,,,,,,,
"NOTE: Pain reliever use disorder estimates are based on Diagnostic and Statistical Manual of Mental Disorders, 5th edition criteria. See 2023 National Survey on Drug Use and Health (NSDUH): Methodological Summary and Definitions at https://www.samhsa.gov/data/report/2023-methodological-summary-and-definitions for details on who was eligible to receive questions on pain reliever use disorder.",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on the survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
NOTE: The column labeled “Order” can be used to sort the data to the original sort order.,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Surveys on Drug Use and Health, 2022 and 2023.",,,,,,,,,,,,,,,,
Order,State,"12+ Estimate","12+ 95% CI (Lower)","12+ 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)","18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)"
1,Total U.S.,1.93%,1.78%,2.09%,1.13%,0.95%,1.33%,1.17%,1.00%,1.36%,2.14%,1.96%,2.35%,2.01%,1.85%,2.19%
2,Northeast,1.76%,1.51%,2.04%,1.10%,0.86%,1.40%,0.99%,0.76%,1.29%,1.94%,1.65%,2.28%,1.82%,1.55%,2.12%
3,Midwest,1.98%,1.73%,2.26%,1.12%,0.89%,1.41%,1.16%,0.93%,1.45%,2.21%,1.91%,2.55%,2.07%,1.80%,2.37%
4,South,2.11%,1.88%,2.37%,1.19%,0.99%,1.44%,1.33%,1.09%,1.63%,2.34%,2.06%,2.65%,2.20%,1.95%,2.48%
5,West,1.73%,1.46%,2.06%,1.04%,0.81%,1.33%,1.03%,0.75%,1.39%,1.92%,1.59%,2.32%,1.80%,1.50%,2.16%
6,Alabama,2.46%,1.83%,3.31%,1.04%,0.68%,1.59%,1.40%,0.88%,2.21%,2.80%,2.02%,3.88%,2.61%,1.91%,3.55%
7,Alaska,1.59%,1.11%,2.27%,0.79%,0.47%,1.33%,1.11%,0.66%,1.89%,1.76%,1.18%,2.61%,1.68%,1.15%,2.44%
8,Arizona,1.94%,1.38%,2.71%,1.25%,0.80%,1.95%,1.23%,0.76%,1.98%,2.13%,1.45%,3.12%,2.00%,1.40%,2.87%
9,Arkansas,2.15%,1.56%,2.95%,1.44%,0.90%,2.27%,1.25%,0.80%,1.96%,2.38%,1.66%,3.41%,2.22%,1.58%,3.12%
10,California,1.68%,1.30%,2.17%,1.07%,0.76%,1.51%,0.97%,0.61%,1.54%,1.86%,1.40%,2.48%,1.74%,1.33%,2.28%
11,Colorado,1.64%,1.19%,2.26%,1.02%,0.66%,1.56%,1.21%,0.76%,1.92%,1.78%,1.24%,2.55%,1.70%,1.21%,2.39%
12,Connecticut,1.75%,1.24%,2.45%,1.03%,0.66%,1.60%,1.09%,0.64%,1.84%,1.93%,1.32%,2.80%,1.82%,1.27%,2.59%
13,Delaware,1.88%,1.38%,2.57%,1.49%,0.94%,2.35%,1.16%,0.69%,1.95%,2.02%,1.42%,2.87%,1.92%,1.37%,2.68%
14,District of Columbia,1.53%,1.07%,2.18%,1.17%,0.68%,2.00%,1.33%,0.79%,2.23%,1.59%,1.06%,2.38%,1.55%,1.07%,2.25%
15,Florida,1.83%,1.43%,2.34%,1.16%,0.81%,1.67%,1.27%,0.88%,1.85%,1.96%,1.49%,2.58%,1.88%,1.45%,2.44%
16,Georgia,2.22%,1.66%,2.96%,1.61%,1.09%,2.39%,1.47%,0.98%,2.20%,2.42%,1.73%,3.37%,2.29%,1.67%,3.12%
17,Hawaii,1.71%,1.12%,2.58%,0.74%,0.39%,1.40%,0.73%,0.38%,1.39%,1.92%,1.22%,3.00%,1.79%,1.16%,2.76%
18,Idaho,1.70%,1.21%,2.39%,1.03%,0.64%,1.67%,1.04%,0.64%,1.69%,1.91%,1.29%,2.81%,1.78%,1.23%,2.56%
19,Illinois,1.78%,1.34%,2.38%,0.73%,0.46%,1.16%,1.18%,0.80%,1.74%,2.00%,1.46%,2.74%,1.89%,1.40%,2.55%
20,Indiana,2.04%,1.51%,2.76%,1.22%,0.83%,1.78%,1.05%,0.66%,1.64%,2.31%,1.65%,3.24%,2.13%,1.54%,2.93%
21,Iowa,2.16%,1.52%,3.05%,0.97%,0.60%,1.58%,1.24%,0.77%,1.99%,2.47%,1.67%,3.62%,2.28%,1.59%,3.28%
22,Kansas,1.95%,1.42%,2.67%,1.44%,0.93%,2.23%,1.19%,0.77%,1.84%,2.15%,1.50%,3.08%,2.01%,1.43%,2.81%
23,Kentucky,3.14%,2.30%,4.27%,1.39%,0.88%,2.19%,1.51%,0.93%,2.41%,3.60%,2.57%,5.02%,3.32%,2.40%,4.57%
24,Louisiana,3.55%,2.63%,4.76%,1.19%,0.76%,1.86%,1.82%,1.12%,2.95%,4.11%,2.98%,5.66%,3.80%,2.80%,5.15%
25,Maine,2.09%,1.47%,2.95%,1.07%,0.67%,1.69%,1.06%,0.63%,1.76%,2.31%,1.58%,3.36%,2.17%,1.51%,3.11%
26,Maryland,1.56%,1.11%,2.19%,1.39%,0.91%,2.10%,1.13%,0.70%,1.81%,1.64%,1.11%,2.43%,1.58%,1.09%,2.28%
27,Massachusetts,1.71%,1.23%,2.36%,0.92%,0.60%,1.42%,0.95%,0.57%,1.60%,1.91%,1.33%,2.73%,1.77%,1.26%,2.49%
28,Michigan,1.97%,1.53%,2.53%,1.00%,0.70%,1.42%,1.16%,0.80%,1.70%,2.20%,1.67%,2.90%,2.06%,1.59%,2.68%
29,Minnesota,1.75%,1.22%,2.49%,1.42%,0.86%,2.34%,1.16%,0.72%,1.86%,1.87%,1.24%,2.82%,1.78%,1.21%,2.61%
30,Mississippi,3.29%,2.44%,4.44%,1.02%,0.66%,1.59%,2.08%,1.26%,3.43%,3.79%,2.72%,5.26%,3.55%,2.60%,4.83%
31,Missouri,2.22%,1.61%,3.06%,1.40%,0.90%,2.18%,1.25%,0.79%,1.97%,2.47%,1.73%,3.53%,2.31%,1.64%,3.24%
