"Table 29. Opioid Use Disorder in the Past Year: Among People Aged 12 or Older; by Age Group and State, Annual Average Percentages, 2022 and 2023",,,,,,,,,,,,,,,,
"NOTE: Opioid use disorder (OUD) estimates are based on Diagnostic and Statistical Manual of Mental Disorders, 5th edition criteria. OUD is defined as meeting the criteria for heroin or pain reliever use disorder. See 2023 National Survey on Drug Use and Health (NSDUH): Methodological Summary and Definitions at https://www.samhsa.gov/data/report/2023-methodological-summary-and-definitions for details on who was eligible to receive questions on opioid use disorder.",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on the survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
NOTE: The column labeled “Order” can be used to sort the data to the original sort order.,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Surveys on Drug Use and Health, 2022 and 2023.",,,,,,,,,,,,,,,,
Order,State,"12+ Estimate","12+ 95% CI (Lower)","12+ 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)","18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)"
1,Total U.S.,2.09%,1.93%,2.25%,1.13%,0.95%,1.33%,1.19%,1.02%,1.39%,2.34%,2.14%,2.54%,2.18%,2.01%,2.37%
2,Northeast,1.95%,1.68%,2.25%,1.10%,0.86%,1.41%,1.07%,0.84%,1.37%,2.16%,1.84%,2.54%,2.02%,1.74%,2.36%
3,Midwest,2.03%,1.79%,2.30%,1.12%,0.89%,1.39%,1.26%,1.04%,1.53%,2.26%,1.96%,2.59%,2.12%,1.86%,2.42%
4,South,2.25%,2.03%,2.51%,1.19%,0.99%,1.44%,1.23%,1.01%,1.49%,2.54%,2.26%,2.86%,2.36%,2.12%,2.64%
5,West,1.96%,1.69%,2.28%,1.04%,0.81%,1.33%,1.16%,0.91%,1.47%,2.20%,1.87%,2.59%,2.06%,1.76%,2.40%
6,Alabama,2.54%,1.85%,3.46%,1.04%,0.69%,1.56%,1.08%,0.68%,1.71%,2.95%,2.09%,4.14%,2.69%,1.94%,3.72%
7,Alaska,2.07%,1.45%,2.96%,0.78%,0.47%,1.29%,1.33%,0.84%,2.11%,2.34%,1.58%,3.46%,2.22%,1.53%,3.21%
8,Arizona,2.25%,1.65%,3.07%,1.28%,0.84%,1.95%,1.25%,0.80%,1.95%,2.53%,1.78%,3.57%,2.35%,1.69%,3.27%
9,Arkansas,2.19%,1.60%,3.00%,1.44%,0.93%,2.22%,1.16%,0.74%,1.81%,2.46%,1.72%,3.49%,2.28%,1.62%,3.18%
10,California,1.86%,1.47%,2.34%,1.06%,0.76%,1.50%,1.06%,0.70%,1.60%,2.07%,1.60%,2.68%,1.94%,1.51%,2.47%
11,Colorado,2.00%,1.45%,2.76%,1.01%,0.66%,1.54%,1.29%,0.84%,1.97%,2.22%,1.56%,3.16%,2.10%,1.50%,2.93%
12,Connecticut,2.01%,1.40%,2.89%,1.03%,0.66%,1.60%,1.08%,0.66%,1.78%,2.26%,1.52%,3.36%,2.10%,1.44%,3.07%
13,Delaware,2.10%,1.51%,2.92%,1.47%,0.93%,2.31%,1.07%,0.64%,1.81%,2.31%,1.60%,3.32%,2.16%,1.52%,3.06%
14,District of Columbia,2.11%,1.50%,2.96%,1.18%,0.68%,2.02%,1.30%,0.80%,2.09%,2.32%,1.60%,3.37%,2.17%,1.53%,3.08%
15,Florida,2.02%,1.57%,2.59%,1.18%,0.81%,1.71%,1.16%,0.80%,1.67%,2.21%,1.68%,2.90%,2.09%,1.60%,2.71%
16,Georgia,2.32%,1.74%,3.07%,1.59%,1.09%,2.32%,1.26%,0.84%,1.89%,2.58%,1.87%,3.55%,2.40%,1.76%,3.25%
17,Hawaii,1.99%,1.34%,2.94%,0.73%,0.38%,1.39%,1.23%,0.75%,2.01%,2.20%,1.43%,3.37%,2.10%,1.39%,3.14%
18,Idaho,1.88%,1.36%,2.59%,1.05%,0.66%,1.68%,1.22%,0.78%,1.90%,2.11%,1.46%,3.04%,1.98%,1.40%,2.79%
19,Illinois,1.89%,1.41%,2.54%,0.73%,0.47%,1.14%,1.21%,0.82%,1.79%,2.13%,1.55%,2.94%,2.01%,1.48%,2.72%
20,Indiana,2.09%,1.54%,2.82%,1.21%,0.81%,1.81%,1.13%,0.74%,1.71%,2.36%,1.67%,3.31%,2.18%,1.58%,3.00%
21,Iowa,2.12%,1.49%,3.02%,0.97%,0.60%,1.57%,1.41%,0.91%,2.18%,2.39%,1.60%,3.55%,2.24%,1.55%,3.25%
22,Kansas,2.12%,1.53%,2.92%,1.45%,0.93%,2.24%,1.28%,0.83%,1.98%,2.36%,1.62%,3.41%,2.19%,1.55%,3.11%
23,Kentucky,3.14%,2.31%,4.26%,1.35%,0.86%,2.09%,1.55%,0.96%,2.47%,3.60%,2.58%,5.00%,3.33%,2.42%,4.56%
24,Louisiana,3.75%,2.80%,5.02%,1.17%,0.75%,1.81%,1.55%,0.95%,2.54%,4.42%,3.23%,6.03%,4.03%,2.97%,5.44%
25,Maine,1.99%,1.44%,2.73%,1.05%,0.66%,1.65%,1.29%,0.79%,2.10%,2.16%,1.52%,3.06%,2.06%,1.48%,2.87%
26,Maryland,1.89%,1.34%,2.68%,1.38%,0.91%,2.08%,1.13%,0.73%,1.75%,2.06%,1.38%,3.06%,1.95%,1.34%,2.83%
27,Massachusetts,1.95%,1.39%,2.72%,0.93%,0.60%,1.44%,1.05%,0.64%,1.71%,2.19%,1.51%,3.17%,2.03%,1.43%,2.88%
28,Michigan,2.03%,1.58%,2.61%,0.99%,0.71%,1.39%,1.28%,0.89%,1.85%,2.26%,1.71%,2.98%,2.13%,1.64%,2.77%
29,Minnesota,1.76%,1.24%,2.50%,1.44%,0.89%,2.33%,1.29%,0.84%,1.98%,1.87%,1.25%,2.81%,1.80%,1.23%,2.62%
30,Mississippi,3.36%,2.48%,4.54%,1.01%,0.66%,1.54%,1.52%,0.91%,2.53%,3.98%,2.87%,5.50%,3.63%,2.65%,4.95%
31,Missouri,2.25%,1.63%,3.10%,1.42%,0.91%,2.19%,1.34%,0.86%,2.09%,2.49%,1.73%,3.56%,2.33%,1.66%,3.28%
32,Montana,1.73%,1.22%,2.44%,0.98%,0.59%,1.63%,1.22%,0.75%,1.98%,1.88%,1.27%,2.79%,1.80%,1.24%,2.60%
33,Nebraska,2.04%,1.48%,2.80%,1.79%,1.12%,2.87%,1.23%,0.78%,1.94%,2.21%,1.52%,3.22%,2.07%,1.45%,2.93%
34,Nevada,2.52%,1.83%,3.44%,1.23%,0.81%,1.87%,1.36%,0.90%,2.07%,2.82%,1.99%,3.97%,2.64%,1.90%,3.68%
35,New Hampshire,2.21%,1.59%,3.08%,1.32%,0.82%,2.12%,1.27%,0.79%,2.02%,2.42%,1.68%,3.49%,2.29%,1.61%,3.23%
36,New Jersey,1.91%,1.38%,2.64%,1.18%,0.79%,1.77%,1.21%,0.81%,1.81%,2.10%,1.46%,3.00%,1.99%,1.41%,2.79%
37,New Mexico,2.84%,2.10%,3.84%,1.01%,0.64%,1.61%,1.23%,0.78%,1.94%,3.32%,2.38%,4.60%,3.03%,2.21%,4.15%
38,New York,1.92%,1.51%,2.45%,1.06%,0.71%,1.59%,1.06%,0.72%,1.56%,2.14%,1.64%,2.80%,2.00%,1.55%,2.58%
39,North Carolina,2.23%,1.65%,3.01%,0.89%,0.59%,1.33%,1.20%,0.79%,1.81%,2.55%,1.83%,3.53%,2.37%,1.73%,3.23%
40,North Dakota,1.76%,1.24%,2.50%,1.29%,0.83%,2.00%,1.22%,0.77%,1.93%,1.93%,1.28%,2.90%,1.81%,1.24%,2.64%
41,Ohio,2.16%,1.69%,2.76%,0.96%,0.68%,1.36%,1.33%,0.93%,1.90%,2.43%,1.85%,3.18%,2.28%,1.77%,2.94%
42,Oklahoma,2.62%,1.93%,3.55%,1.41%,0.89%,2.23%,1.31%,0.85%,2.01%,3.01%,2.14%,4.21%,2.76%,1.99%,3.80%
