"Table 30. Received Substance Use Treatment in the Past Year: Among People Aged 12 or Older; by Age Group and State, Annual Average Percentages, 2022 and 2023",,,,,,,,,,,,,,,,
"NOTE: Substance use treatment includes treatment for drug or alcohol use through inpatient treatment/counseling; outpatient treatment/counseling; medication-assisted treatment; telehealth treatment; or treatment received in a prison, jail, or juvenile detention center. Substance use treatment questions are asked of respondents who used alcohol or drugs in their lifetime. Substance use treatment measures include data from respondents who indicated that they received treatment but did not specify the substance(s) for which it was received.",,,,,,,,,,,,,,,,
"NOTE: Because of the high proportion of respondents in the “substance unspecified” category for treatment, the estimates in this table have added uncertainty. For details, see Section B of 2022-2023 National Surveys on Drug Use and Health: Guide to State Tables and Summary of Small Area Estimation Methodology at https://www.samhsa.gov/data/report/2022-2023-nsduh-guide-state-tables-and-summary-sae-methodology.",,,,,,,,,,,,,,,,
"NOTE: Drug Use includes the use of marijuana (including vaping), cocaine (including crack), heroin, hallucinogens, inhalants, or methamphetamine in the past year or any use (i.e., not necessarily misuse) of prescription pain relievers, tranquilizers, stimulants, or sedatives in the past year.",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on the survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
NOTE: The column labeled “Order” can be used to sort the data to the original sort order.,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Surveys on Drug Use and Health, 2022 and 2023.",,,,,,,,,,,,,,,,
Order,State,"12+ Estimate","12+ 95% CI (Lower)","12+ 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)","18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)"
1,Total U.S.,4.58%,4.37%,4.80%,4.48%,4.13%,4.85%,4.78%,4.42%,5.17%,4.56%,4.31%,4.83%,4.59%,4.36%,4.83%
2,Northeast,5.04%,4.57%,5.55%,3.64%,3.08%,4.29%,4.80%,4.21%,5.47%,5.22%,4.66%,5.84%,5.16%,4.66%,5.72%
3,Midwest,4.72%,4.38%,5.09%,4.89%,4.37%,5.48%,5.05%,4.56%,5.60%,4.65%,4.24%,5.10%,4.70%,4.34%,5.10%
4,South,4.43%,4.11%,4.77%,4.83%,4.35%,5.37%,4.66%,4.21%,5.15%,4.35%,3.96%,4.76%,4.39%,4.05%,4.75%
5,West,4.36%,3.98%,4.79%,4.08%,3.54%,4.69%,4.71%,4.16%,5.34%,4.34%,3.88%,4.86%,4.39%,3.98%,4.85%
6,Alabama,4.91%,4.01%,5.99%,4.98%,3.72%,6.64%,4.83%,3.70%,6.29%,4.91%,3.83%,6.27%,4.90%,3.94%,6.08%
7,Alaska,4.56%,3.61%,5.73%,4.50%,3.31%,6.09%,4.24%,3.13%,5.72%,4.61%,3.49%,6.07%,4.56%,3.55%,5.86%
8,Arizona,5.13%,4.12%,6.36%,5.44%,4.10%,7.19%,5.72%,4.27%,7.62%,4.99%,3.83%,6.49%,5.09%,4.03%,6.42%
9,Arkansas,4.99%,4.01%,6.20%,5.20%,3.90%,6.90%,4.90%,3.68%,6.50%,4.98%,3.82%,6.48%,4.97%,3.92%,6.28%
10,California,3.48%,2.96%,4.09%,3.22%,2.47%,4.19%,4.27%,3.44%,5.30%,3.39%,2.76%,4.15%,3.51%,2.94%,4.17%
11,Colorado,5.37%,4.35%,6.61%,4.61%,3.43%,6.18%,5.91%,4.41%,7.88%,5.37%,4.18%,6.88%,5.44%,4.35%,6.79%
12,Connecticut,5.25%,4.14%,6.63%,2.97%,2.11%,4.18%,5.31%,3.96%,7.09%,5.48%,4.16%,7.20%,5.46%,4.26%,6.97%
13,Delaware,4.41%,3.55%,5.47%,4.17%,3.10%,5.60%,4.46%,3.31%,5.97%,4.43%,3.41%,5.73%,4.43%,3.50%,5.59%
