"Table 31. Classified as Needing Substance Use Treatment in the Past Year: Among People Aged 12 or Older; by Age Group and State, Annual Average Percentages, 2022 and 2023",,,,,,,,,,,,,,,,
"NOTE: Respondents were classified as needing substance use treatment if they met Diagnostic and Statistical Manual of Mental Disorders, 5th edition (DSM-5) criteria for a drug or alcohol use disorder or received treatment for drug or alcohol use through inpatient treatment/counseling; outpatient treatment/counseling; medication-assisted treatment; telehealth treatment; or treatment received in a prison, jail, or juvenile detention center. Substance use treatment questions are asked of respondents who used drugs or alcohol in their lifetime.",,,,,,,,,,,,,,,,
"NOTE: Because of the high proportion of respondents in the “substance unspecified” category for treatment, the estimates in this table have added uncertainty. For details, see Section B of 2022-2023 National Surveys on Drug Use and Health: Guide to State Tables and Summary of Small Area Estimation Methodology at https://www.samhsa.gov/data/report/2022-2023-nsduh-guide-state-tables-and-summary-sae-methodology.",,,,,,,,,,,,,,,,
NOTE: Substance use disorder (SUD) estimates are based on DSM-5 criteria. SUD is defined as meeting the criteria for drug or alcohol use disorder. See 2023 National Survey on Drug Use and Health (NSDUH): Methodological Summary and Definitions at https://www.samhsa.gov/data/report/2023-methodological-summary-and-definitions for details on who was eligible to receive questions on SUD.,,,,,,,,,,,,,,,,
"NOTE: Drug use includes the use of marijuana (including vaping), cocaine (including crack), heroin, hallucinogens, inhalants, or methamphetamine in the past year or any use (i.e., not necessarily misuse) of prescription pain relievers, tranquilizers, stimulants, or sedatives in the past year.",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on the survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
NOTE: The column labeled “Order” can be used to sort the data to the original sort order.,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Surveys on Drug Use and Health, 2022 and 2023.",,,,,,,,,,,,,,,,
Order,State,"12+ Estimate","12+ 95% CI (Lower)","12+ 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)","18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)"
1,Total U.S.,19.23%,18.83%,19.65%,11.34%,10.76%,11.95%,28.97%,28.07%,29.88%,18.65%,18.17%,19.13%,20.03%,19.59%,20.47%
2,Northeast,20.07%,19.27%,20.90%,10.66%,9.72%,11.67%,30.12%,28.34%,31.96%,19.55%,18.60%,20.54%,20.92%,20.06%,21.82%
3,Midwest,19.90%,19.22%,20.59%,11.45%,10.59%,12.37%,30.17%,28.67%,31.72%,19.27%,18.48%,20.09%,20.76%,20.03%,21.51%
4,South,18.13%,17.57%,18.71%,11.39%,10.60%,12.23%,27.07%,25.69%,28.49%,17.55%,16.88%,18.24%,18.83%,18.22%,19.45%
5,West,19.84%,19.08%,20.62%,11.62%,10.61%,12.70%,30.15%,28.35%,32.02%,19.20%,18.30%,20.14%,20.67%,19.84%,21.52%
6,Alabama,19.16%,17.14%,21.36%,12.02%,9.77%,14.71%,25.46%,21.84%,29.46%,18.99%,16.61%,21.63%,19.89%,17.70%,22.27%
7,Alaska,22.34%,19.89%,25.00%,12.30%,9.67%,15.52%,31.72%,27.40%,36.39%,22.30%,19.47%,25.40%,23.47%,20.82%,26.34%
8,Arizona,19.80%,17.58%,22.23%,12.58%,10.10%,15.57%,34.38%,29.62%,39.47%,18.31%,15.80%,21.10%,20.52%,18.13%,23.14%
9,Arkansas,19.79%,17.57%,22.20%,10.84%,8.62%,13.55%,28.16%,24.20%,32.49%,19.56%,17.00%,22.39%,20.75%,18.36%,23.37%
10,California,18.52%,17.31%,19.78%,10.73%,9.17%,12.53%,29.09%,26.33%,32.01%,17.79%,16.38%,19.29%,19.31%,18.01%,20.68%
11,Colorado,24.14%,21.93%,26.51%,13.72%,11.12%,16.80%,33.96%,29.40%,38.84%,23.78%,21.20%,26.56%,25.14%,22.76%,27.69%
12,Connecticut,21.59%,19.22%,24.15%,10.57%,8.39%,13.24%,36.11%,31.09%,41.45%,20.54%,17.86%,23.51%,22.62%,20.08%,25.38%
13,Delaware,19.75%,17.65%,22.04%,11.94%,9.48%,14.92%,29.95%,25.68%,34.60%,19.18%,16.81%,21.80%,20.48%,18.22%,22.93%
14,District of Columbia,27.07%,24.22%,30.13%,12.30%,9.66%,15.54%,37.76%,32.53%,43.30%,26.37%,23.18%,29.83%,28.04%,25.03%,31.26%
