"Table 32. Did Not Receive Substance Use Treatment in the Past Year: Among People Aged 12 or Older Classified as Needing Substance Use Treatment; by Age Group and State, Annual Average Percentages, 2022 and 2023",,,,,,,,,,,,,,,,
"NOTE: Not receiving substance use treatment among those needing treatment (%) = 100 * [X1 / (X1 + X2)], where X1 is the number of people not receiving treatment who needed treatment, X2 is the number people receiving treatment who needed treatment, and (X1+ X2) denotes the number of people who needed treatment. State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on simultaneous modeling of X1 and X2 components using the survey-weighted hierarchical Bayes small area estimation approach. The associated Markov Chain Monte Carlo chains were used to calculate the posterior variance. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: Respondents were classified as needing substance use treatment if they met Diagnostic and Statistical Manual of Mental Disorders, 5th edition (DSM-5) criteria for a drug or alcohol use disorder or received treatment for drug or alcohol use through inpatient treatment/counseling, outpatient treatment/counseling, medication-assisted treatment, telehealth treatment, or treatment received in a prison, jail, or juvenile detention center. Substance use treatment questions are asked of respondents who used drugs or alcohol in their lifetime.",,,,,,,,,,,,,,,,
NOTE: Substance use disorder (SUD) estimates are based on DSM-5 criteria. SUD is defined as meeting the criteria for drug or alcohol use disorder. See 2023 National Survey on Drug Use and Health (NSDUH): Methodological Summary and Definitions at https://www.samhsa.gov/data/report/2023-methodological-summary-and-definitions for details on who was eligible to receive questions on SUD.,,,,,,,,,,,,,,,,
"NOTE: Drug use includes the use of marijuana (including vaping), cocaine (including crack), heroin, hallucinogens, inhalants, or methamphetamine in the past year or any use (i.e., not necessarily misuse) of prescription pain relievers, tranquilizers, stimulants, or sedatives in the past year.",,,,,,,,,,,,,,,,
"NOTE: Because of the high proportion of respondents in the “substance unspecified” category for treatment, the estimates in this table have added uncertainty. ",,,,,,,,,,,,,,,,
"Note: For details about estimates in this table, see Section B of 2022-2023 National Surveys on Drug Use and Health: Guide to State Tables and Summary of Small Area Estimation Methodology at https://www.samhsa.gov/data/report/2022-2023-nsduh-guide-state-tables-and-summary-sae-methodology.",,,,,,,,,,,,,,,,
NOTE: The column labeled “Order” can be used to sort the data to the original sort order.,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Surveys on Drug Use and Health, 2022 and 2023.",,,,,,,,,,,,,,,,
Order,State,"12+ Estimate","12+ 95% CI (Lower)","12+ 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)","18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)"
1,Total U.S.,76.19%,75.22%,77.14%,60.52%,57.88%,63.11%,83.51%,82.29%,84.66%,75.54%,74.32%,76.72%,77.09%,76.06%,78.08%
2,Northeast,74.70%,72.57%,76.72%,64.72%,59.98%,69.19%,83.96%,81.97%,85.77%,73.14%,70.53%,75.59%,75.15%,72.95%,77.23%
3,Midwest,76.17%,74.48%,77.79%,57.95%,54.29%,61.52%,83.12%,81.36%,84.75%,75.75%,73.68%,77.71%,77.23%,75.49%,78.88%
4,South,75.75%,74.17%,77.27%,58.36%,54.81%,61.82%,82.99%,81.35%,84.51%,75.41%,73.48%,77.25%,76.86%,75.21%,78.43%
5,West,77.97%,76.09%,79.73%,64.02%,59.52%,68.29%,84.26%,82.17%,86.15%,77.37%,75.06%,79.52%,78.73%,76.80%,80.54%
6,Alabama,74.39%,69.63%,78.64%,58.38%,48.93%,67.25%,81.07%,75.74%,85.46%,74.18%,68.33%,79.27%,75.38%,70.43%,79.74%
7,Alaska,78.91%,74.11%,83.03%,60.58%,50.34%,69.97%,86.09%,81.56%,89.65%,78.60%,72.56%,83.62%,79.94%,74.94%,84.16%
8,Arizona,74.37%,69.12%,79.00%,59.09%,49.18%,68.31%,82.13%,76.86%,86.42%,73.41%,66.56%,79.29%,75.34%,69.86%,80.11%
9,Arkansas,74.93%,69.85%,79.40%,57.74%,47.92%,66.98%,81.84%,76.55%,86.16%,74.64%,68.19%,80.16%,76.01%,70.71%,80.61%
10,California,81.40%,78.47%,84.00%,69.18%,61.76%,75.73%,85.45%,81.97%,88.36%,81.17%,77.47%,84.39%,82.05%,79.01%,84.73%
11,Colorado,76.79%,72.27%,80.77%,62.21%,52.21%,71.26%,80.86%,75.46%,85.30%,76.70%,71.12%,81.49%,77.48%,72.81%,81.55%
12,Connecticut,75.55%,70.10%,80.29%,70.98%,60.78%,79.42%,83.85%,78.82%,87.87%,73.64%,66.69%,79.59%,75.74%,70.10%,80.61%
13,Delaware,77.60%,72.99%,81.62%,65.16%,56.01%,73.31%,85.33%,80.73%,88.98%,76.78%,71.04%,81.68%,78.28%,73.45%,82.43%
14,District of Columbia,79.58%,74.70%,83.72%,75.12%,62.42%,84.59%,86.20%,80.83%,90.25%,78.05%,72.02%,83.09%,79.67%,74.71%,83.87%
15,Florida,74.72%,70.93%,78.18%,54.59%,47.70%,61.30%,81.60%,77.69%,84.96%,74.58%,69.80%,78.83%,75.89%,71.88%,79.49%
16,Georgia,80.41%,76.41%,83.87%,63.78%,55.45%,71.36%,83.67%,78.96%,87.50%,80.99%,75.95%,85.17%,81.50%,77.34%,85.05%
