"Table 33. Any Mental Illness in the Past Year: Among People Aged 18 or Older; by Age Group and State, Annual Average Percentages, 2022 and 2023  ",,,,,,,,,,,,,,,,
"NOTE: Any mental illness (AMI) aligns with Diagnostic and Statistical Manual of Mental Disorders, 4th edition criteria and is defined as having a diagnosable mental, behavioral, or emotional disorder, other than a developmental or substance use disorder. These estimates are based on indicators of AMI rather than direct measures of diagnostic criteria. For details, see Section B of 2022-2023 National Surveys on Drug Use and Health: Guide to State Tables and Summary of Small Area Estimation Methodology at https://www.samhsa.gov/data/report/2022-2023-nsduh-guide-state-tables-and-summary-sae-methodology.",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on the survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
NOTE: The column labeled “Order” can be used to sort the data to the original sort order.,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Surveys on Drug Use and Health, 2022 and 2023.",,,,,,,,,,,,,,,,
Order,State,"18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)",,,,,,
1,Total U.S.,22.95%,22.49%,23.43%,35.02%,34.10%,35.94%,21.09%,20.59%,21.60%,,,,,,
2,Northeast,22.63%,21.77%,23.52%,34.77%,33.12%,36.47%,20.83%,19.87%,21.81%,,,,,,
3,Midwest,23.80%,23.04%,24.57%,36.33%,35.04%,37.65%,21.81%,20.96%,22.68%,,,,,,
4,South,22.04%,21.40%,22.68%,32.81%,31.61%,34.03%,20.36%,19.67%,21.07%,,,,,,
5,West,23.95%,23.07%,24.84%,37.60%,35.92%,39.32%,21.83%,20.86%,22.84%,,,,,,
6,Alabama,22.09%,19.90%,24.45%,32.36%,28.75%,36.20%,20.44%,18.05%,23.06%,,,,,,
7,Alaska,23.47%,20.90%,26.25%,34.41%,30.05%,39.05%,21.93%,19.14%,25.00%,,,,,,
8,Arizona,25.70%,22.80%,28.83%,41.25%,36.34%,46.35%,23.21%,20.06%,26.69%,,,,,,
9,Arkansas,24.47%,21.71%,27.46%,32.92%,28.97%,37.13%,23.11%,20.07%,26.45%,,,,,,
10,California,20.99%,19.62%,22.44%,34.12%,31.48%,36.87%,18.96%,17.43%,20.59%,,,,,,
11,Colorado,27.73%,25.11%,30.51%,43.30%,38.61%,48.12%,25.32%,22.48%,28.40%,,,,,,
12,Connecticut,24.13%,21.47%,27.00%,36.43%,31.72%,41.41%,22.23%,19.35%,25.42%,,,,,,
13,Delaware,21.90%,19.56%,24.43%,33.79%,29.60%,38.24%,20.28%,17.75%,23.07%,,,,,,
14,District of Columbia,28.55%,25.46%,31.86%,38.99%,33.94%,44.29%,26.75%,23.38%,30.41%,,,,,,
15,Florida,19.97%,18.49%,21.54%,34.02%,31.08%,37.08%,18.15%,16.53%,19.88%,,,,,,
16,Georgia,23.08%,20.92%,25.39%,32.26%,28.74%,36.00%,21.59%,19.20%,24.18%,,,,,,
17,Hawaii,21.16%,18.66%,23.89%,34.26%,29.65%,39.19%,19.57%,16.89%,22.55%,,,,,,
18,Idaho,26.72%,23.96%,29.67%,39.09%,34.71%,43.65%,24.58%,21.53%,27.90%,,,,,,
19,Illinois,22.61%,20.74%,24.61%,32.88%,29.64%,36.29%,21.04%,18.97%,23.26%,,,,,,
20,Indiana,23.73%,21.57%,26.03%,37.93%,34.16%,41.86%,21.33%,18.95%,23.93%,,,,,,
21,Iowa,25.72%,22.92%,28.73%,34.70%,30.37%,39.28%,24.16%,21.02%,27.60%,,,,,,
22,Kansas,23.72%,21.20%,26.44%,34.64%,30.27%,39.28%,21.79%,19.03%,24.83%,,,,,,
23,Kentucky,25.22%,22.82%,27.79%,32.20%,28.35%,36.31%,24.15%,21.51%,27.01%,,,,,,
24,Louisiana,22.59%,20.19%,25.19%,29.04%,24.95%,33.50%,21.58%,18.98%,24.42%,,,,,,
