"Table 34. Serious Mental Illness in the Past Year: Among People Aged 18 or Older; by Age Group and State, Annual Average Percentages, 2022 and 2023  ",,,,,,,,,,
"NOTE: Serious mental illness (SMI) aligns with Diagnostic and Statistical Manual of Mental Disorders, 4th edition criteria and is defined as having a diagnosable mental, behavioral, or emotional disorder, other than a developmental or substance use disorder. Estimates of SMI are a subset of estimates of any mental illness (AMI) because SMI is limited to people with AMI that resulted in serious functional impairment. These estimates are based on indicators of SMI rather than direct measures of diagnostic criteria. For details, see Section B of 2022-2023 National Surveys on Drug Use and Health: Guide to State Tables and Summary of Small Area Estimation Methodology at https://www.samhsa.gov/data/report/2022-2023-nsduh-guide-state-tables-and-summary-sae-methodology.",,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on the survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,
NOTE: The column labeled “Order” can be used to sort the data to the original sort order.,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Surveys on Drug Use and Health, 2022 and 2023.",,,,,,,,,,
Order,State,18+ Estimate,18+ 95% CI (Lower),18+ 95% CI (Upper),18-25 Estimate,18-25 95% CI (Lower),18-25 95% CI (Upper),26+ Estimate,26+ 95% CI (Lower),26+ 95% CI (Upper)
1,Total U.S.,5.83%,5.60%,6.07%,10.97%,10.41%,11.56%,5.04%,4.79%,5.30%
2,Northeast,5.45%,5.06%,5.87%,10.76%,9.87%,11.71%,4.66%,4.25%,5.11%
3,Midwest,6.05%,5.67%,6.45%,11.20%,10.42%,12.03%,5.23%,4.83%,5.67%
4,South,5.71%,5.41%,6.04%,10.42%,9.71%,11.17%,4.98%,4.66%,5.33%
5,West,6.11%,5.68%,6.57%,11.82%,10.81%,12.90%,5.23%,4.78%,5.71%
6,Alabama,5.77%,4.71%,7.04%,9.61%,7.73%,11.88%,5.15%,4.04%,6.54%
7,Alaska,7.29%,5.94%,8.93%,13.23%,10.72%,16.23%,6.45%,5.04%,8.23%
8,Arizona,7.21%,5.85%,8.85%,13.66%,10.93%,16.94%,6.17%,4.77%,7.95%
9,Arkansas,6.96%,5.67%,8.52%,10.85%,8.69%,13.47%,6.34%,4.97%,8.05%
10,California,4.87%,4.25%,5.58%,10.10%,8.61%,11.81%,4.06%,3.43%,4.81%
11,Colorado,7.12%,5.88%,8.60%,12.37%,9.99%,15.23%,6.31%,5.03%,7.89%
12,Connecticut,5.32%,4.31%,6.54%,10.62%,8.38%,13.37%,4.50%,3.50%,5.77%
13,Delaware,5.52%,4.49%,6.77%,9.87%,7.83%,12.37%,4.93%,3.88%,6.24%
14,District of Columbia,6.42%,5.13%,8.01%,8.91%,6.89%,11.44%,5.99%,4.63%,7.73%
15,Florida,5.38%,4.69%,6.18%,11.48%,9.80%,13.40%,4.59%,3.88%,5.43%
16,Georgia,6.19%,5.17%,7.41%,10.19%,8.30%,12.46%,5.54%,4.47%,6.86%
17,Hawaii,5.06%,3.96%,6.46%,11.59%,8.97%,14.86%,4.27%,3.18%,5.72%
18,Idaho,6.87%,5.69%,8.27%,13.18%,10.74%,16.09%,5.78%,4.56%,7.30%
19,Illinois,5.10%,4.30%,6.03%,9.32%,7.71%,11.21%,4.45%,3.63%,5.45%
20,Indiana,6.26%,5.25%,7.45%,11.67%,9.56%,14.17%,5.34%,4.31%,6.61%
21,Iowa,6.61%,5.39%,8.08%,11.82%,9.37%,14.80%,5.71%,4.47%,7.26%
22,Kansas,6.15%,4.98%,7.56%,11.26%,8.99%,14.01%,5.25%,4.07%,6.75%
23,Kentucky,7.82%,6.48%,9.41%,12.07%,9.85%,14.71%,7.17%,5.74%,8.92%
24,Louisiana,6.30%,5.15%,7.70%,8.96%,7.03%,11.35%,5.89%,4.67%,7.40%
25,Maine,6.10%,4.91%,7.54%,11.94%,9.52%,14.88%,5.37%,4.16%,6.89%
26,Maryland,5.50%,4.42%,6.82%,9.83%,7.67%,12.53%,4.89%,3.80%,6.27%
27,Massachusetts,5.64%,4.63%,6.86%,11.84%,9.58%,14.55%,4.64%,3.62%,5.93%
28,Michigan,5.74%,4.96%,6.63%,10.12%,8.53%,11.97%,5.05%,4.25%,6.00%
29,Minnesota,5.84%,4.60%,7.38%,11.57%,9.14%,14.54%,4.97%,3.72%,6.61%
30,Mississippi,4.99%,3.99%,6.22%,8.46%,6.59%,10.79%,4.41%,3.37%,5.75%
31,Missouri,6.81%,5.53%,8.36%,11.97%,9.63%,14.80%,6.00%,4.69%,7.66%
32,Montana,6.03%,4.78%,7.59%,12.04%,9.22%,15.56%,5.12%,3.88%,6.73%
33,Nebraska,6.88%,5.69%,8.30%,12.82%,10.20%,15.99%,5.85%,4.65%,7.33%
34,Nevada,6.49%,5.29%,7.95%,12.00%,9.58%,14.92%,5.75%,4.52%,7.29%
35,New Hampshire,7.22%,5.97%,8.71%,14.51%,11.76%,17.77%,6.23%,4.95%,7.80%
36,New Jersey,4.64%,3.82%,5.64%,11.00%,8.99%,13.40%,3.75%,2.93%,4.78%
37,New Mexico,6.42%,5.21%,7.89%,11.85%,9.47%,14.73%,5.57%,4.31%,7.17%
38,New York,5.17%,4.46%,5.97%,9.14%,7.64%,10.89%,4.57%,3.84%,5.44%
39,North Carolina,5.38%,4.41%,6.56%,9.95%,8.03%,12.27%,4.67%,3.68%,5.93%
40,North Dakota,6.91%,5.59%,8.51%,12.09%,9.62%,15.08%,5.89%,4.54%,7.61%
41,Ohio,6.25%,5.40%,7.23%,11.57%,9.89%,13.50%,5.45%,4.55%,6.51%
42,Oklahoma,6.56%,5.39%,7.97%,10.85%,8.61%,13.58%,5.82%,4.60%,7.34%
43,Oregon,8.41%,6.87%,10.25%,16.47%,13.30%,20.21%,7.27%,5.70%,9.23%
44,Pennsylvania,5.99%,5.17%,6.92%,11.63%,9.94%,13.57%,5.14%,4.29%,6.16%
45,Rhode Island,5.98%,4.88%,7.31%,11.54%,9.17%,14.41%,5.08%,3.97%,6.49%
46,South Carolina,5.14%,4.04%,6.51%,8.74%,6.74%,11.27%,4.60%,3.47%,6.08%
47,South Dakota,7.13%,5.81%,8.74%,14.87%,12.10%,18.15%,5.85%,4.50%,7.58%
48,Tennessee,7.62%,6.28%,9.22%,12.90%,10.41%,15.88%,6.82%,5.42%,8.54%
49,Texas,4.91%,4.29%,5.61%,10.17%,8.70%,11.87%,3.99%,3.36%,4.73%
50,Utah,9.34%,8.01%,10.88%,15.36%,12.59%,18.61%,7.97%,6.58%,9.62%
51,Vermont,7.27%,5.99%,8.80%,15.62%,12.56%,19.26%,5.97%,4.69%,7.58%
52,Virginia,5.48%,4.67%,6.43%,9.52%,7.83%,11.53%,4.86%,4.00%,5.90%
53,Washington,7.41%,6.12%,8.93%,13.02%,10.50%,16.04%,6.62%,5.30%,8.24%
54,West Virginia,8.35%,6.73%,10.32%,13.10%,10.49%,16.24%,7.66%,5.94%,9.83%
55,Wisconsin,6.51%,5.38%,7.87%,12.91%,10.56%,15.70%,5.50%,4.34%,6.96%
