"Table 35. Co-Occurring Substance Use Disorder and Any Mental Illness in the Past Year: Among People Aged 18 or Older; by Age Group and State, Annual Average Percentages, 2022 and 2023  ",,,,,,,,,,,,,,,,
"NOTE: Substance use disorder (SUD) estimates are based on Diagnostic and Statistical Manual of Mental Disorders, 5th edition criteria. SUD is defined as meeting the criteria for drug or alcohol use disorder. See 2023 National Survey on Drug Use and Health (NSDUH): Methodological Summary and Definitions at https://www.samhsa.gov/data/report/2023-methodological-summary-and-definitions for details on who was eligible to receive questions on SUD.",,,,,,,,,,,,,,,,
"NOTE: Drug use includes the use of marijuana (including vaping), cocaine (including crack), heroin, hallucinogens, inhalants, or methamphetamine in the past year or any use (i.e., not necessarily misuse) of prescription pain relievers, tranquilizers, stimulants, or sedatives in the past year.",,,,,,,,,,,,,,,,
"NOTE: Any mental illness (AMI) aligns with Diagnostic and Statistical Manual of Mental Disorders, 4th edition criteria and is defined as having a diagnosable mental, behavioral, or emotional disorder, other than a developmental or substance use disorder. These estimates are based on indicators of AMI rather than direct measures of diagnostic criteria. For details, see Section B of 2022-2023 National Surveys on Drug Use and Health: Guide to State Tables and Summary of Small Area Estimation Methodology at https://www.samhsa.gov/data/report/2022-2023-nsduh-guide-state-tables-and-summary-sae-methodology.",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on the survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
NOTE: The column labeled “Order” can be used to sort the data to the original sort order.,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Surveys on Drug Use and Health, 2022 and 2023.",,,,,,,,,,,,,,,,
Order,State,"18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)",,,,,,
1,Total U.S.,8.17%,7.90%,8.45%,14.62%,13.92%,15.34%,7.17%,6.88%,7.48%,,,,,,
2,Northeast,8.00%,7.50%,8.53%,14.72%,13.54%,15.99%,7.00%,6.47%,7.57%,,,,,,
3,Midwest,8.64%,8.20%,9.11%,15.52%,14.55%,16.55%,7.55%,7.07%,8.07%,,,,,,
4,South,7.78%,7.41%,8.16%,13.24%,12.39%,14.14%,6.93%,6.54%,7.34%,,,,,,
5,West,8.52%,8.00%,9.08%,15.98%,14.72%,17.33%,7.37%,6.82%,7.97%,,,,,,
6,Alabama,7.60%,6.41%,8.98%,11.97%,9.65%,14.76%,6.89%,5.67%,8.37%,,,,,,
7,Alaska,9.19%,7.78%,10.83%,17.01%,13.86%,20.70%,8.09%,6.62%,9.85%,,,,,,
8,Arizona,9.78%,8.22%,11.61%,20.35%,16.51%,24.81%,8.09%,6.51%,10.02%,,,,,,
9,Arkansas,9.28%,7.88%,10.90%,13.92%,11.31%,17.02%,8.53%,7.05%,10.29%,,,,,,
10,California,7.20%,6.44%,8.04%,13.83%,11.93%,15.97%,6.18%,5.38%,7.08%,,,,,,
11,Colorado,12.03%,10.31%,14.01%,21.05%,17.36%,25.30%,10.64%,8.83%,12.76%,,,,,,
12,Connecticut,9.11%,7.64%,10.83%,17.22%,13.71%,21.41%,7.86%,6.38%,9.65%,,,,,,
13,Delaware,7.94%,6.73%,9.34%,14.56%,11.69%,17.99%,7.03%,5.80%,8.51%,,,,,,
14,District of Columbia,11.52%,9.77%,13.53%,21.30%,17.56%,25.59%,9.83%,8.01%,12.01%,,,,,,
15,Florida,7.57%,6.72%,8.51%,15.10%,12.91%,17.58%,6.59%,5.70%,7.60%,,,,,,
16,Georgia,7.94%,6.88%,9.15%,12.69%,10.47%,15.31%,7.17%,6.05%,8.49%,,,,,,
17,Hawaii,6.87%,5.59%,8.41%,12.19%,9.43%,15.62%,6.22%,4.91%,7.86%,,,,,,
