"Table 36. Co-Occurring Substance Use Disorder and Serious Mental Illness in the Past Year: Among People Aged 18 or Older; by Age Group and State, Annual Average Percentages, 2022 and 2023  ",,,,,,,,,,
"NOTE: Substance use disorder (SUD) estimates are based on Diagnostic and Statistical Manual of Mental Disorders, 5th edition criteria. SUD is defined as meeting the criteria for drug or alcohol use disorder. See 2023 National Survey on Drug Use and Health (NSDUH): Methodological Summary and Definitions at https://www.samhsa.gov/data/report/2023-methodological-summary-and-definitions for details on who was eligible to receive questions on SUD.",,,,,,,,,,
"NOTE: Drug use includes the use of marijuana (including vaping), cocaine (including crack), heroin, hallucinogens, inhalants, or methamphetamine in the past year or any use (i.e., not necessarily misuse) of prescription pain relievers, tranquilizers, stimulants, or sedatives in the past year.",,,,,,,,,,
"NOTE: Serious mental illness (SMI) aligns with Diagnostic and Statistical Manual of Mental Disorders, 4th edition criteria and is defined as having a diagnosable mental, behavioral, or emotional disorder, other than a developmental or substance use disorder. Estimates of SMI are a subset of estimates of any mental illness (AMI) because SMI is limited to people with AMI that resulted in serious functional impairment. These estimates are based on indicators of SMI rather than direct measures of diagnostic criteria. For details, see Section B of 2022-2023 National Surveys on Drug Use and Health: Guide to State Tables and Summary of Small Area Estimation Methodology at https://www.samhsa.gov/data/report/2022-2023-nsduh-guide-state-tables-and-summary-sae-methodology.",,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on the survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,
NOTE: The column labeled “Order” can be used to sort the data to the original sort order.,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Surveys on Drug Use and Health, 2022 and 2023.",,,,,,,,,,
Order,State,18+ Estimate,18+ 95% CI (Lower),18+ 95% CI (Upper),18-25 Estimate,18-25 95% CI (Lower),18-25 95% CI (Upper),26+ Estimate,26+ 95% CI (Lower),26+ 95% CI (Upper)
1,Total U.S.,2.77%,2.62%,2.93%,5.68%,5.28%,6.10%,2.32%,2.16%,2.49%
2,Northeast,2.76%,2.47%,3.08%,5.55%,4.85%,6.34%,2.34%,2.05%,2.68%
3,Midwest,3.04%,2.80%,3.30%,5.87%,5.29%,6.52%,2.59%,2.33%,2.88%
4,South,2.70%,2.50%,2.93%,5.61%,5.10%,6.17%,2.25%,2.04%,2.49%
5,West,2.64%,2.39%,2.92%,5.70%,4.92%,6.59%,2.17%,1.91%,2.46%
6,Alabama,2.74%,2.14%,3.51%,5.36%,3.92%,7.27%,2.32%,1.73%,3.12%
7,Alaska,2.89%,2.23%,3.74%,6.03%,4.33%,8.35%,2.45%,1.81%,3.30%
8,Arizona,3.10%,2.42%,3.97%,7.77%,5.63%,10.63%,2.36%,1.75%,3.17%
9,Arkansas,3.05%,2.40%,3.85%,6.11%,4.56%,8.15%,2.55%,1.92%,3.38%
10,California,2.13%,1.78%,2.55%,4.62%,3.55%,5.99%,1.74%,1.39%,2.17%
11,Colorado,3.27%,2.57%,4.15%,6.78%,4.95%,9.22%,2.72%,2.06%,3.59%
12,Connecticut,3.06%,2.40%,3.89%,6.74%,4.84%,9.32%,2.49%,1.87%,3.30%
13,Delaware,2.81%,2.22%,3.54%,5.73%,4.20%,7.77%,2.41%,1.83%,3.16%
14,District of Columbia,3.10%,2.40%,4.00%,5.58%,3.90%,7.92%,2.67%,1.98%,3.60%
15,Florida,2.49%,2.06%,3.01%,6.40%,5.18%,7.88%,1.98%,1.56%,2.51%
16,Georgia,2.73%,2.20%,3.38%,5.06%,3.86%,6.61%,2.35%,1.82%,3.03%
17,Hawaii,1.90%,1.40%,2.58%,4.52%,2.99%,6.79%,1.58%,1.09%,2.28%
18,Idaho,3.15%,2.49%,3.99%,6.73%,5.02%,8.95%,2.54%,1.91%,3.36%
19,Illinois,2.69%,2.19%,3.29%,4.95%,3.84%,6.35%,2.34%,1.84%,2.98%
20,Indiana,3.01%,2.41%,3.74%,5.68%,4.32%,7.44%,2.55%,1.96%,3.31%
21,Iowa,3.12%,2.43%,3.99%,6.17%,4.49%,8.42%,2.59%,1.92%,3.49%
22,Kansas,2.96%,2.30%,3.80%,6.13%,4.47%,8.35%,2.40%,1.79%,3.21%
23,Kentucky,3.85%,3.04%,4.87%,5.89%,4.43%,7.80%,3.54%,2.69%,4.64%
24,Louisiana,3.34%,2.62%,4.25%,6.15%,4.52%,8.32%,2.90%,2.18%,3.83%
25,Maine,3.26%,2.53%,4.19%,6.70%,4.93%,9.04%,2.83%,2.10%,3.81%
26,Maryland,2.30%,1.75%,3.01%,4.78%,3.41%,6.68%,1.95%,1.42%,2.65%
27,Massachusetts,2.96%,2.34%,3.73%,5.91%,4.39%,7.91%,2.48%,1.87%,3.28%
28,Michigan,2.91%,2.43%,3.48%,5.58%,4.45%,6.97%,2.50%,2.01%,3.10%
29,Minnesota,2.87%,2.22%,3.71%,5.58%,3.99%,7.76%,2.46%,1.82%,3.32%
30,Mississippi,2.73%,2.11%,3.52%,5.19%,3.76%,7.12%,2.32%,1.70%,3.15%
31,Missouri,3.40%,2.67%,4.31%,6.58%,4.87%,8.84%,2.90%,2.18%,3.85%
32,Montana,3.02%,2.31%,3.94%,5.36%,3.70%,7.72%,2.67%,1.97%,3.60%
33,Nebraska,3.01%,2.39%,3.79%,5.93%,4.34%,8.07%,2.51%,1.90%,3.30%
34,Nevada,2.70%,2.09%,3.47%,6.40%,4.67%,8.71%,2.20%,1.62%,2.97%
35,New Hampshire,3.17%,2.50%,4.01%,7.16%,5.34%,9.55%,2.63%,1.97%,3.50%
36,New Jersey,2.41%,1.90%,3.05%,5.84%,4.32%,7.85%,1.93%,1.45%,2.56%
37,New Mexico,3.02%,2.38%,3.84%,6.83%,5.09%,9.10%,2.43%,1.81%,3.24%
38,New York,2.53%,2.06%,3.12%,4.46%,3.37%,5.89%,2.25%,1.77%,2.85%
39,North Carolina,2.66%,2.12%,3.33%,5.51%,4.11%,7.34%,2.22%,1.70%,2.88%
40,North Dakota,3.16%,2.46%,4.07%,6.03%,4.37%,8.27%,2.60%,1.92%,3.51%
41,Ohio,3.36%,2.81%,4.02%,6.18%,4.95%,7.71%,2.93%,2.37%,3.63%
42,Oklahoma,3.00%,2.39%,3.76%,6.33%,4.71%,8.47%,2.42%,1.85%,3.18%
43,Oregon,3.79%,2.90%,4.93%,8.54%,6.18%,11.69%,3.12%,2.29%,4.24%
44,Pennsylvania,2.97%,2.46%,3.59%,6.02%,4.80%,7.52%,2.52%,2.00%,3.17%
45,Rhode Island,2.90%,2.26%,3.72%,5.71%,4.12%,7.85%,2.45%,1.82%,3.28%
46,South Carolina,2.72%,2.08%,3.54%,5.48%,3.95%,7.55%,2.31%,1.69%,3.14%
47,South Dakota,3.27%,2.55%,4.19%,6.86%,5.08%,9.21%,2.68%,1.96%,3.65%
48,Tennessee,3.47%,2.73%,4.41%,6.66%,5.01%,8.81%,2.99%,2.25%,3.96%
49,Texas,2.41%,2.02%,2.88%,5.12%,4.12%,6.34%,1.94%,1.56%,2.42%
50,Utah,3.20%,2.57%,3.99%,5.70%,4.19%,7.72%,2.63%,2.03%,3.41%
51,Vermont,3.80%,2.98%,4.82%,7.83%,5.75%,10.58%,3.16%,2.35%,4.24%
52,Virginia,2.40%,1.95%,2.94%,5.21%,4.03%,6.71%,1.96%,1.53%,2.51%
53,Washington,3.19%,2.51%,4.05%,6.04%,4.45%,8.15%,2.79%,2.11%,3.69%
54,West Virginia,4.10%,3.19%,5.26%,7.42%,5.42%,10.09%,3.62%,2.70%,4.83%
55,Wisconsin,3.13%,2.50%,3.91%,6.99%,5.32%,9.13%,2.52%,1.91%,3.33%
56,Wyoming,3.31%,2.56%,4.26%,7.74%,5.56%,10.69%,2.62%,1.94%,3.55%
