"Table 37. Received Mental Health Treatment in the Past Year: Among People Aged 12 or Older; by Age Group and State, Annual Average Percentages, 2022 and 2023",,,,,,,,,,,,,,,,
"NOTE: Mental health treatment includes treatment for mental health, emotions, or behavior through inpatient treatment/counseling; outpatient treatment/counseling; use of prescription medication; telehealth treatment; or treatment received in a prison, jail, or juvenile detention center. ",,,,,,,,,,,,,,,,
"NOTE: In general, adolescent and adult estimates are reported separately for mental health measures; thus, 12 or older estimates were not produced.",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on the survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
NOTE: The column labeled “Order” can be used to sort the data to the original sort order.,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Surveys on Drug Use and Health, 2022 and 2023.",,,,,,,,,,,,,,,,
Order,State,"18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)",,,
1,Total U.S.,22.38%,21.90%,22.87%,30.84%,29.94%,31.75%,27.04%,26.19%,27.92%,21.66%,21.14%,22.19%,,,
2,Northeast,23.44%,22.52%,24.38%,32.57%,31.05%,34.13%,29.43%,28.00%,30.90%,22.54%,21.52%,23.59%,,,
3,Midwest,25.16%,24.37%,25.96%,33.19%,31.87%,34.53%,31.15%,29.92%,32.41%,24.21%,23.34%,25.10%,,,
4,South,20.92%,20.31%,21.54%,29.33%,28.19%,30.49%,24.43%,23.38%,25.50%,20.37%,19.70%,21.07%,,,
5,West,21.57%,20.73%,22.43%,30.13%,28.63%,31.68%,25.95%,24.53%,27.41%,20.89%,19.96%,21.85%,,,
6,Alabama,21.20%,18.96%,23.63%,28.88%,25.50%,32.51%,24.42%,21.25%,27.90%,20.68%,18.22%,23.38%,,,
7,Alaska,21.40%,18.87%,24.17%,25.68%,21.92%,29.83%,25.80%,22.23%,29.74%,20.77%,18.05%,23.79%,,,
8,Arizona,23.85%,21.04%,26.91%,29.84%,25.96%,34.03%,26.92%,23.16%,31.03%,23.36%,20.26%,26.76%,,,
9,Arkansas,23.81%,21.34%,26.46%,31.28%,27.47%,35.37%,26.14%,22.89%,29.68%,23.43%,20.69%,26.41%,,,
10,California,18.02%,16.72%,19.39%,28.45%,26.11%,30.90%,22.62%,20.37%,25.03%,17.31%,15.87%,18.84%,,,
11,Colorado,27.21%,24.74%,29.82%,35.34%,31.47%,39.43%,31.01%,27.36%,34.91%,26.62%,23.90%,29.53%,,,
12,Connecticut,24.32%,21.63%,27.23%,33.72%,29.88%,37.77%,30.98%,26.98%,35.30%,23.29%,20.37%,26.49%,,,
