"Table 38. Major Depressive Episode in the Past Year: Among People Aged 12 or Older; by Age Group and State, Annual Average Percentages, 2022 and 2023",,,,,,,,,,,,,,,,
"NOTE: Major depressive episode (MDE) is based on the Diagnostic and Statistical Manual of Mental Disorders, 5th edition definition, which specifies a period of at least 2 weeks when an individual experienced a depressed mood or loss of interest or pleasure in daily activities and had a majority of specified depression symptoms. For details, see Section B of 2022-2023 National Surveys on Drug Use and Health: Guide to State Tables and Summary of Small Area Estimation Methodology at https://www.samhsa.gov/data/report/2022-2023-nsduh-guide-state-tables-and-summary-sae-methodology.",,,,,,,,,,,,,,,,
"NOTE: There are minor wording differences in the questions in the adult and adolescent MDE modules. Therefore, data from youths aged 12 to 17 were not combined with data from adults aged 18 or older to produce an estimate for those aged 12 or older. ",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on the survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
NOTE: The column labeled “Order” can be used to sort the data to the original sort order.,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Surveys on Drug Use and Health, 2022 and 2023.",,,,,,,,,,,,,,,,
Order,State,"18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)",,,
1,Total U.S.,8.64%,8.36%,8.92%,18.82%,18.11%,19.55%,18.81%,18.10%,19.53%,7.06%,6.77%,7.37%,,,
2,Northeast,8.33%,7.84%,8.86%,18.34%,17.02%,19.75%,19.36%,18.06%,20.72%,6.69%,6.17%,7.25%,,,
3,Midwest,8.89%,8.45%,9.36%,19.24%,18.15%,20.39%,18.45%,17.46%,19.48%,7.38%,6.90%,7.88%,,,
4,South,8.46%,8.06%,8.88%,18.68%,17.64%,19.77%,17.70%,16.76%,18.69%,7.03%,6.60%,7.48%,,,
5,West,8.92%,8.41%,9.47%,19.00%,17.61%,20.48%,20.53%,19.13%,22.00%,7.13%,6.58%,7.71%,,,
6,Alabama,8.32%,7.05%,9.80%,18.91%,15.94%,22.29%,17.12%,14.36%,20.29%,6.91%,5.59%,8.51%,,,
7,Alaska,8.42%,7.08%,9.98%,17.27%,14.06%,21.03%,17.71%,14.70%,21.18%,7.11%,5.72%,8.82%,,,
8,Arizona,10.49%,8.79%,12.49%,21.06%,17.38%,25.28%,23.04%,19.32%,27.22%,8.48%,6.72%,10.65%,,,
9,Arkansas,9.86%,8.34%,11.64%,19.65%,16.34%,23.43%,16.62%,13.81%,19.88%,8.77%,7.14%,10.73%,,,
10,California,7.49%,6.75%,8.32%,17.53%,15.40%,19.89%,18.79%,16.73%,21.03%,5.75%,4.98%,6.63%,,,
11,Colorado,9.99%,8.63%,11.55%,21.91%,18.46%,25.80%,23.21%,19.66%,27.18%,7.95%,6.57%,9.59%,,,
