"Table 39. Had Serious Thoughts of Suicide in the Past Year: Among People Aged 12 or Older; by Age Group and State, Annual Average Percentages, 2022 and 2023",,,,,,,,,,,,,,,,
"NOTE: The adult and youth suicide questions are in different sections of the questionnaire and have different response options. Because of this, data from youths aged 12 to 17 were not combined with data from adults aged 18 or older to produce an estimate for those aged 12 or older. For details, see Section B of 2022-2023 National Surveys on Drug Use and Health: Guide to State Tables and Summary of Small Area Estimation Methodology at https://www.samhsa.gov/data/report/2022-2023-nsduh-guide-state-tables-and-summary-sae-methodology.",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on the survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
NOTE: The column labeled “Order” can be used to sort the data to the original sort order.,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Surveys on Drug Use and Health, 2022 and 2023.",,,,,,,,,,,,,,,,
Order,State,"18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)",,,
1,Total U.S.,5.06%,4.86%,5.28%,12.87%,12.25%,13.51%,12.95%,12.36%,13.56%,3.84%,3.63%,4.07%,,,
2,Northeast,5.14%,4.70%,5.61%,12.43%,11.37%,13.56%,12.51%,11.48%,13.62%,4.04%,3.59%,4.55%,,,
3,Midwest,5.30%,4.94%,5.69%,13.24%,12.33%,14.21%,13.61%,12.71%,14.56%,3.99%,3.61%,4.40%,,,
4,South,4.77%,4.47%,5.08%,12.83%,12.01%,13.69%,12.12%,11.32%,12.97%,3.63%,3.32%,3.96%,,,
5,West,5.28%,4.88%,5.72%,12.89%,11.85%,14.01%,14.02%,12.95%,15.17%,3.93%,3.52%,4.39%,,,
6,Alabama,4.73%,3.93%,5.69%,13.48%,11.15%,16.20%,12.18%,9.98%,14.78%,3.54%,2.72%,4.58%,,,
7,Alaska,5.28%,4.33%,6.41%,13.39%,10.88%,16.38%,14.13%,11.53%,17.20%,4.03%,3.09%,5.24%,,,
8,Arizona,5.68%,4.62%,6.96%,13.37%,10.84%,16.36%,15.33%,12.48%,18.68%,4.13%,3.10%,5.49%,,,
9,Arkansas,5.29%,4.31%,6.47%,13.65%,11.12%,16.66%,13.21%,10.84%,16.01%,4.01%,3.03%,5.29%,,,
10,California,4.59%,4.01%,5.26%,12.39%,10.72%,14.28%,12.29%,10.69%,14.09%,3.40%,2.81%,4.11%,,,
11,Colorado,6.19%,5.12%,7.47%,13.45%,10.99%,16.36%,14.80%,12.06%,18.05%,4.86%,3.78%,6.24%,,,
12,Connecticut,4.86%,3.93%,6.01%,11.87%,9.65%,14.53%,13.08%,10.44%,16.26%,3.60%,2.68%,4.81%,,,
13,Delaware,4.67%,3.82%,5.70%,13.23%,10.94%,15.91%,12.47%,10.00%,15.45%,3.61%,2.77%,4.69%,,,
14,District of Columbia,6.04%,4.88%,7.47%,11.60%,9.21%,14.53%,11.51%,9.12%,14.42%,5.10%,3.87%,6.69%,,,
15,Florida,4.42%,3.82%,5.12%,12.98%,11.32%,14.84%,12.70%,10.84%,14.83%,3.35%,2.74%,4.08%,,,
16,Georgia,5.26%,4.41%,6.26%,12.17%,10.17%,14.50%,12.07%,9.98%,14.53%,4.15%,3.29%,5.23%,,,
17,Hawaii,4.84%,3.85%,6.07%,12.92%,10.45%,15.88%,15.18%,12.16%,18.80%,3.58%,2.60%,4.91%,,,
18,Idaho,5.90%,4.88%,7.13%,14.12%,11.62%,17.06%,16.73%,13.79%,20.16%,4.03%,3.04%,5.32%,,,
19,Illinois,5.02%,4.22%,5.96%,13.79%,11.77%,16.08%,12.54%,10.64%,14.73%,3.86%,3.06%,4.87%,,,
20,Indiana,5.48%,4.64%,6.46%,13.10%,10.77%,15.85%,14.26%,11.88%,17.02%,4.00%,3.15%,5.06%,,,
