"Table 40. Made Any Suicide Plans in the Past Year: Among People Aged 12 or Older; by Age Group and State, Annual Average Percentages, 2022 and 2023    ",,,,,,,,,,,,,,,,
"NOTE: The adult and youth suicide questions are in different sections of the questionnaire and have different response options. Because of this, data from youths aged 12 to 17 were not combined with data from adults aged 18 or older to produce an estimate for those aged 12 or older. For details, see Section B of 2022-2023 National Surveys on Drug Use and Health: Guide to State Tables and Summary of Small Area Estimation Methodology at https://www.samhsa.gov/data/report/2022-2023-nsduh-guide-state-tables-and-summary-sae-methodology.",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on the survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
NOTE: The column labeled “Order” can be used to sort the data to the original sort order.,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Surveys on Drug Use and Health, 2022 and 2023.",,,,,,,,,,,,,,,,
Order,State,"18+
Estimate","18+
95% CI (Lower)","18+
95% CI (Upper)","12-17
Estimate","12-17
95% CI (Lower)","12-17
95% CI (Upper)","18-25
Estimate","18-25
95% CI (Lower)","18-25
95% CI (Upper)","26+
Estimate","26+
95% CI (Lower)","26+
95% CI (Upper)",,,
1,Total U.S.,1.45%,1.36%,1.55%,6.07%,5.63%,6.55%,4.58%,4.24%,4.93%,0.97%,0.87%,1.07%,,,
2,Northeast,1.34%,1.14%,1.58%,5.65%,4.96%,6.43%,4.23%,3.68%,4.87%,0.91%,0.72%,1.15%,,,
3,Midwest,1.60%,1.42%,1.80%,6.19%,5.59%,6.86%,4.71%,4.22%,5.25%,1.11%,0.93%,1.32%,,,
4,South,1.46%,1.30%,1.63%,6.05%,5.50%,6.65%,4.54%,4.06%,5.07%,0.98%,0.83%,1.15%,,,
5,West,1.39%,1.21%,1.60%,6.29%,5.52%,7.16%,4.77%,4.18%,5.44%,0.87%,0.70%,1.07%,,,
6,Alabama,1.53%,1.13%,2.06%,7.44%,5.66%,9.72%,4.46%,3.21%,6.16%,1.05%,0.70%,1.60%,,,
7,Alaska,1.76%,1.29%,2.39%,7.31%,5.30%,9.99%,5.95%,4.41%,8.00%,1.17%,0.75%,1.81%,,,
8,Arizona,1.64%,1.21%,2.22%,7.18%,5.25%,9.74%,5.52%,4.08%,7.43%,1.02%,0.66%,1.58%,,,
9,Arkansas,1.97%,1.46%,2.66%,6.90%,5.08%,9.32%,5.63%,4.23%,7.45%,1.38%,0.91%,2.09%,,,
10,California,1.15%,0.91%,1.45%,5.93%,4.75%,7.36%,4.15%,3.32%,5.17%,0.69%,0.48%,0.99%,,,
