"Table 41. Attempted Suicide in the Past Year: Among People Aged 12 or Older; by Age Group and State, Annual Average Percentages, 2022 and 2023  ",,,,,,,,,,,,,,,,
"NOTE: The adult and youth suicide questions are in different sections of the questionnaire and have different response options. Because of this, data from youths aged 12 to 17 were not combined with data from adults aged 18 or older to produce an estimate for those aged 12 or older. For details, see Section B of 2022-2023 National Surveys on Drug Use and Health: Guide to State Tables and Summary of Small Area Estimation Methodology at https://www.samhsa.gov/data/report/2022-2023-nsduh-guide-state-tables-and-summary-sae-methodology.",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on the survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
NOTE: The column labeled “Order” can be used to sort the data to the original sort order.,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Surveys on Drug Use and Health, 2022 and 2023.",,,,,,,,,,,,,,,,
Order,State,"18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)",,,
1,Total U.S.,0.60%,0.54%,0.67%,3.52%,3.17%,3.90%,2.04%,1.82%,2.28%,0.38%,0.32%,0.45%,,,
2,Northeast,0.57%,0.45%,0.71%,3.18%,2.68%,3.78%,2.00%,1.63%,2.44%,0.35%,0.25%,0.50%,,,
3,Midwest,0.64%,0.52%,0.79%,3.53%,3.08%,4.04%,2.04%,1.72%,2.41%,0.42%,0.31%,0.57%,,,
4,South,0.64%,0.52%,0.78%,3.59%,3.19%,4.04%,2.12%,1.80%,2.50%,0.41%,0.30%,0.56%,,,
5,West,0.52%,0.41%,0.66%,3.61%,3.07%,4.24%,1.94%,1.58%,2.37%,0.30%,0.20%,0.45%,,,
6,Alabama,0.63%,0.43%,0.92%,4.28%,3.16%,5.77%,2.31%,1.54%,3.46%,0.36%,0.19%,0.68%,,,
7,Alaska,0.65%,0.44%,0.97%,4.93%,3.30%,7.30%,2.59%,1.65%,4.05%,0.38%,0.20%,0.71%,,,
8,Arizona,0.63%,0.43%,0.92%,3.85%,2.68%,5.49%,2.36%,1.53%,3.65%,0.35%,0.19%,0.66%,,,
9,Arkansas,0.82%,0.53%,1.24%,3.83%,2.69%,5.41%,2.18%,1.41%,3.35%,0.60%,0.32%,1.09%,,,
10,California,0.43%,0.30%,0.62%,3.28%,2.48%,4.31%,1.73%,1.21%,2.47%,0.23%,0.12%,0.43%,,,
11,Colorado,0.60%,0.39%,0.91%,3.39%,2.37%,4.82%,1.65%,1.02%,2.65%,0.44%,0.24%,0.79%,,,
12,Connecticut,0.54%,0.35%,0.81%,2.99%,2.05%,4.34%,1.87%,1.17%,2.97%,0.33%,0.17%,0.64%,,,
13,Delaware,0.60%,0.41%,0.89%,3.69%,2.60%,5.21%,1.90%,1.22%,2.97%,0.43%,0.24%,0.74%,,,
14,District of Columbia,0.81%,0.53%,1.23%,4.27%,2.97%,6.12%,2.54%,1.59%,4.03%,0.51%,0.27%,0.98%,,,
15,Florida,0.60%,0.44%,0.83%,3.43%,2.66%,4.42%,2.26%,1.63%,3.13%,0.39%,0.24%,0.64%,,,
16,Georgia,0.65%,0.46%,0.94%,3.84%,2.83%,5.17%,1.97%,1.31%,2.96%,0.44%,0.26%,0.74%,,,
17,Hawaii,0.51%,0.34%,0.78%,4.12%,2.72%,6.20%,2.19%,1.35%,3.55%,0.31%,0.16%,0.58%,,,
18,Idaho,0.66%,0.45%,0.95%,4.00%,2.84%,5.60%,2.15%,1.41%,3.26%,0.40%,0.22%,0.71%,,,
19,Illinois,0.53%,0.37%,0.75%,3.60%,2.72%,4.75%,1.97%,1.36%,2.84%,0.31%,0.18%,0.54%,,,
20,Indiana,0.70%,0.49%,0.99%,3.42%,2.46%,4.74%,2.04%,1.36%,3.05%,0.47%,0.28%,0.79%,,,
21,Iowa,0.70%,0.47%,1.04%,3.25%,2.25%,4.67%,1.93%,1.22%,3.03%,0.48%,0.27%,0.88%,,,
22,Kansas,0.65%,0.45%,0.95%,3.50%,2.46%,4.96%,1.97%,1.25%,3.07%,0.42%,0.24%,0.74%,,,
23,Kentucky,0.77%,0.54%,1.10%,3.54%,2.52%,4.95%,2.51%,1.65%,3.78%,0.51%,0.30%,0.86%,,,
24,Louisiana,0.80%,0.54%,1.16%,4.04%,2.89%,5.62%,2.23%,1.40%,3.54%,0.57%,0.34%,0.96%,,,
25,Maine,0.62%,0.42%,0.90%,3.54%,2.44%,5.11%,2.46%,1.58%,3.82%,0.39%,0.21%,0.69%,,,
26,Maryland,0.71%,0.46%,1.07%,4.39%,3.12%,6.14%,2.34%,1.49%,3.64%,0.48%,0.26%,0.88%,,,
27,Massachusetts,0.56%,0.38%,0.80%,3.00%,2.06%,4.36%,1.99%,1.29%,3.08%,0.32%,0.18%,0.58%,,,
28,Michigan,0.61%,0.45%,0.82%,3.35%,2.54%,4.41%,2.20%,1.58%,3.06%,0.36%,0.22%,0.59%,,,
29,Minnesota,0.63%,0.42%,0.95%,3.44%,2.44%,4.83%,2.01%,1.26%,3.19%,0.43%,0.23%,0.78%,,,
30,Mississippi,0.73%,0.50%,1.07%,4.43%,3.16%,6.18%,2.69%,1.73%,4.17%,0.40%,0.21%,0.76%,,,
31,Missouri,0.71%,0.49%,1.01%,3.70%,2.66%,5.13%,2.30%,1.50%,3.51%,0.46%,0.27%,0.79%,,,
32,Montana,0.60%,0.41%,0.87%,3.77%,2.58%,5.49%,2.05%,1.28%,3.27%,0.38%,0.21%,0.66%,,,
33,Nebraska,0.58%,0.39%,0.85%,3.68%,2.66%,5.07%,1.82%,1.16%,2.85%,0.36%,0.20%,0.65%,,,
34,Nevada,0.56%,0.36%,0.85%,3.87%,2.68%,5.54%,2.35%,1.49%,3.70%,0.32%,0.16%,0.62%,,,
35,New Hampshire,0.70%,0.47%,1.03%,3.86%,2.68%,5.54%,2.77%,1.72%,4.44%,0.41%,0.22%,0.76%,,,
36,New Jersey,0.54%,0.36%,0.79%,3.61%,2.66%,4.87%,1.84%,1.21%,2.78%,0.35%,0.20%,0.64%,,,
37,New Mexico,0.71%,0.47%,1.05%,4.82%,3.32%,6.94%,2.68%,1.70%,4.21%,0.39%,0.21%,0.75%,,,
38,New York,0.56%,0.41%,0.77%,2.92%,2.17%,3.91%,2.08%,1.46%,2.95%,0.33%,0.20%,0.55%,,,
39,North Carolina,0.64%,0.44%,0.93%,3.50%,2.50%,4.88%,1.81%,1.17%,2.79%,0.46%,0.27%,0.80%,,,
40,North Dakota,0.68%,0.46%,1.00%,4.00%,2.68%,5.94%,2.04%,1.29%,3.21%,0.41%,0.23%,0.74%,,,
41,Ohio,0.74%,0.53%,1.04%,3.61%,2.75%,4.73%,1.95%,1.35%,2.81%,0.56%,0.35%,0.89%,,,
42,Oklahoma,0.68%,0.46%,0.99%,3.26%,2.27%,4.66%,2.09%,1.33%,3.25%,0.43%,0.24%,0.77%,,,
43,Oregon,0.64%,0.43%,0.94%,4.03%,2.81%,5.75%,2.47%,1.56%,3.88%,0.38%,0.21%,0.70%,,,
44,Pennsylvania,0.59%,0.43%,0.81%,3.28%,2.44%,4.41%,1.85%,1.29%,2.64%,0.40%,0.25%,0.64%,,,
45,Rhode Island,0.57%,0.39%,0.85%,2.83%,1.93%,4.13%,2.01%,1.24%,3.24%,0.34%,0.19%,0.62%,,,
46,South Carolina,0.64%,0.44%,0.93%,3.80%,2.66%,5.40%,2.10%,1.33%,3.30%,0.42%,0.24%,0.73%,,,
47,South Dakota,0.67%,0.46%,0.97%,3.94%,2.76%,5.59%,2.50%,1.60%,3.88%,0.36%,0.20%,0.67%,,,
48,Tennessee,0.73%,0.50%,1.06%,4.16%,2.94%,5.86%,2.14%,1.37%,3.33%,0.51%,0.30%,0.89%,,,
49,Texas,0.58%,0.43%,0.80%,3.15%,2.41%,4.11%,2.07%,1.48%,2.88%,0.32%,0.19%,0.55%,,,
50,Utah,0.63%,0.43%,0.93%,4.16%,2.90%,5.94%,1.85%,1.20%,2.84%,0.35%,0.19%,0.66%,,,
51,Vermont,0.71%,0.48%,1.02%,3.73%,2.54%,5.43%,2.72%,1.69%,4.34%,0.39%,0.21%,0.71%,,,
52,Virginia,0.56%,0.38%,0.81%,3.45%,2.59%,4.58%,1.83%,1.21%,2.78%,0.36%,0.20%,0.64%,,,
53,Washington,0.58%,0.39%,0.85%,3.90%,2.74%,5.53%,2.00%,1.28%,3.10%,0.38%,0.22%,0.66%,,,
54,West Virginia,0.61%,0.41%,0.92%,3.35%,2.29%,4.89%,2.29%,1.47%,3.55%,0.37%,0.19%,0.71%,,,
55,Wisconsin,0.57%,0.39%,0.84%,3.52%,2.45%,5.02%,1.93%,1.25%,2.95%,0.36%,0.20%,0.65%,,,
56,Wyoming,0.69%,0.46%,1.02%,4.34%,2.95%,6.34%,2.58%,1.56%,4.22%,0.39%,0.21%,0.73%,,,
