ABBREV,DATA,YEAR,PUFID,URL
FYC,Full-Year Consolidated File,2023,HC-251,https://meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-251
PRPL,Person Round Plan,2023,HC-250,https://meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-250
COND,Medical Conditions,2023,HC-249,https://meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-249
CLNK,Linkage: Condition-Event Link,2023,HC-248I,https://meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-248I
RX,Event File - Prescribed Medicines,2023,HC-248A,https://meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-248A
OB,Event File - Office-Based Medical Provider Visits,2023,HC-248G,https://meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-248G
OP,Event File - Outpatient Visits,2023,HC-248F,https://meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-248F
ER,Event File - Emergency Room Visits,2023,HC-248E,https://meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-248E
IP,Event File - Hospital Inpatient Stays,2023,HC-248D,https://meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-248D
OM,Event File - Other Medical Expenses,2023,HC-248C,https://meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-248C
DV,Event File - Dental Visits,2023,HC-248B,https://meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-248B
JOBS,Jobs File,2023,HC-246,https://meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-246
FYC,Full-Year Consolidated File,2022,HC-243,https://meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-243
PRPL,Person Round Plan,2022,HC-242,https://meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-242
COND,Medical Conditions,2022,HC-241,https://meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-241
FS,"Food Security (2016, 2017, 2020, 2021, 2022)",2022,HC-240,https://meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-240
CLNK,Linkage: Condition-Event Link,2022,HC-239I,https://meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-239I
HH,Event File - Home Health,2022,HC-239H,https://meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-239H
OB,Event File - Office-Based Medical Provider Visits,2022,HC-239G,https://meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-239G
OP,Event File - Outpatient Visits,2022,HC-239F,https://meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-239F
ER,Event File - Emergency Room Visits,2022,HC-239E,https://meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-239E
IP,Event File - Hospital Inpatient Stays,2022,HC-239D,https://meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-239D
OM,Event File - Other Medical Expenses,2022,HC-239C,https://meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-239C
DV,Event File - Dental Visits,2022,HC-239B,https://meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-239B
RX,Event File - Prescribed Medicines,2022,HC-239A,https://meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-239A
JOBS,Jobs File,2022,HC-237,https://meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-237
FYC,Full-Year Consolidated File,2021,HC-233,https://meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-233
PRPL,Person Round Plan,2021,HC-232,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-232
COND,Medical Conditions,2021,HC-231,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-231
FS,"Food Security (2016, 2017, 2020, 2021, 2022)",2021,HC-230,https://meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-230
CLNK,Linkage: Condition-Event Link,2021,HC-229I,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-229I
HH,Event File - Home Health,2021,HC-229H,https://meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-229H
OB,Event File - Office-Based Medical Provider Visits,2021,HC-229G,https://meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-229G
OP,Event File - Outpatient Visits,2021,HC-229F,https://meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-229F
ER,Event File - Emergency Room Visits,2021,HC-229E,https://meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-229E
IP,Event File - Hospital Inpatient Stays,2021,HC-229D,https://meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-229D
OM,Event File - Other Medical Expenses,2021,HC-229C,https://meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-229C
DV,Event File - Dental Visits,2021,HC-229B,https://meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-229B
RX,Event File - Prescribed Medicines,2021,HC-229A,https://meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-229A
JOBS,Jobs File,2021,HC-227,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-227
FYC,Full-Year Consolidated File,2020,HC-224,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-224
PRPL,Person Round Plan,2020,HC-223,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-223
COND,Medical Conditions,2020,HC-222,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-222
FS,"Food Security (2016, 2017, 2020, 2021, 2022)",2020,HC-221,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-221
CLNK,Linkage: Condition-Event Link,2020,HC-220I,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-220I
RXLK,Linkage: RX-Event Link,2020,HC-220I,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-220I
HH,Event File - Home Health,2020,HC-220H,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-220H
OB,Event File - Office-Based Medical Provider Visits,2020,HC-220G,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-220G
OP,Event File - Outpatient Visits,2020,HC-220F,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-220F
ER,Event File - Emergency Room Visits,2020,HC-220E,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-220E
IP,Event File - Hospital Inpatient Stays,2020,HC-220D,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-220D
OM,Event File - Other Medical Expenses,2020,HC-220C,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-220C
DV,Event File - Dental Visits,2020,HC-220B,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-220B
RX,Event File - Prescribed Medicines,2020,HC-220A,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-220A
JOBS,Jobs File,2020,HC-218,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-218
FYC,Full-Year Consolidated File,2019,HC-216,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-216
PRPL,Person Round Plan,2019,HC-215,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-215
COND,Medical Conditions,2019,HC-214,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-214
CLNK,Linkage: Condition-Event Link,2019,HC-213I,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-213I
RXLK,Linkage: RX-Event Link,2019,HC-213I,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-213I
HH,Event File - Home Health,2019,HC-213H,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-213H
OB,Event File - Office-Based Medical Provider Visits,2019,HC-213G,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-213G
OP,Event File - Outpatient Visits,2019,HC-213F,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-213F
ER,Event File - Emergency Room Visits,2019,HC-213E,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-213E
IP,Event File - Hospital Inpatient Stays,2019,HC-213D,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-213D
OM,Event File - Other Medical Expenses,2019,HC-213C,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-213C
DV,Event File - Dental Visits,2019,HC-213B,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-213B
RX,Event File - Prescribed Medicines,2019,HC-213A,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-213A
JOBS,Jobs File,2019,HC-211,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-211
FYC,Full-Year Consolidated File,2018,HC-209,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-209
PRPL,Person Round Plan,2018,HC-208,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-208
COND,Medical Conditions,2018,HC-207,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-207
CLNK,Linkage: Condition-Event Link,2018,HC-206I,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-206I
RXLK,Linkage: RX-Event Link,2018,HC-206I,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-206I
HH,Event File - Home Health,2018,HC-206H,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-206H
OB,Event File - Office-Based Medical Provider Visits,2018,HC-206G,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-206G
OP,Event File - Outpatient Visits,2018,HC-206F,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-206F
ER,Event File - Emergency Room Visits,2018,HC-206E,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-206E
IP,Event File - Hospital Inpatient Stays,2018,HC-206D,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-206D
OM,Event File - Other Medical Expenses,2018,HC-206C,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-206C
DV,Event File - Dental Visits,2018,HC-206B,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-206B
RX,Event File - Prescribed Medicines,2018,HC-206A,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-206A
PIT,Point-In-Time (1996-2019),2019,HC-205,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-205
JOBS,Jobs File,2018,HC-203,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-203
FYC,Full-Year Consolidated File,2017,HC-201,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-201
PRPL,Person Round Plan,2017,HC-200,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-200
COND,Medical Conditions,2017,HC-199,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-199
FS,"Food Security (2016, 2017, 2020, 2021, 2022)",2017,HC-198,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-198
CLNK,Linkage: Condition-Event Link,2017,HC-197I,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-197I
