age,workclass,education,education_years,marital_status,occupation,relationship,race,sex,hours_per_week,native_region,income
20.0,Private,HS-grad,16,Never-married,Craft-Labor,Ref-person,White,Female,12.0,United-States,<=50K
27.0,Government,Some-College,19,Married,Professional,Ref-person,White,Female,40.0,United-States,<=50K
56.0,Private,Some-College,19,Never-married,Sales-Office,Not-in-family,White,Male,50.0,United-States,>50K
27.0,Private,Bachelors,21,Never-married,Sales-Office,Ref-person,White,Female,38.0,United-States,<=50K
76.0,Government,Bachelors,21,Married,Craft-Labor,Spouse,White,Male,13.0,United-States,<=50K
61.0,Self-Employed,Bachelors,21,Married,Management,Spouse,White,Male,75.0,United-States,>50K
18.0,Private,No-HS,14,Never-married,Transport-Production,Own-child,White,Female,25.0,United-States,<=50K
58.0,Private,Assoc-degree,20,Married,Professional,Ref-person,White,Female,40.0,Latin-America,<=50K
36.0,Private,HS-grad,16,Married,Transport-Production,Spouse,White,Male,40.0,Latin-America,<=50K
54.0,Self-Employed,Bachelors,21,Married,Management,Spouse,White,Male,40.0,United-States,>50K
35.0,Private,Bachelors,21,Married,Professional,Ref-person,Asian,Male,40.0,Asia,<=50K
56.0,Private,Some-College,18,Never-married,Professional,Ref-person,Other,Male,40.0,United-States,<=50K
55.0,Private,Bachelors,21,Married,Management,Ref-person,White,Male,60.0,United-States,>50K
60.0,Self-Employed,Bachelors,21,Divorced,Craft-Labor,Ref-person,White,Male,50.0,United-States,>50K
68.0,Private,Graduate,22,Married,Professional,Ref-person,White,Male,50.0,United-States,>50K
62.0,Private,No-HS,14,Never-married,Transport-Production,Ref-person,Other,Male,40.0,Latin-America,>50K
24.0,Private,HS-grad,16,Never-married,Sales-Office,Ref-person,White,Female,40.0,United-States,<=50K
36.0,Government,Bachelors,21,Married,Professional,Ref-person,Black,Male,40.0,United-States,<=50K
51.0,Private,HS-grad,16,Married,Management,Spouse,White,Male,50.0,United-States,>50K
27.0,Private,Graduate,23,Married,Healthcare-Service,Spouse,White,Male,40.0,United-States,>50K
32.0,Private,Bachelors,21,Divorced,Sales-Office,Ref-person,White,Female,40.0,Latin-America,<=50K
21.0,Private,Some-College,19,Never-married,Sales-Office,Other-relative,White,Female,35.0,United-States,<=50K
62.0,Self-Employed,HS-grad,16,Married,Sales-Office,Ref-person,Asian,Male,60.0,Asia,<=50K
46.0,Private,HS-grad,16,Married,Sales-Office,Ref-person,White,Male,40.0,United-States,<=50K
47.0,Private,HS-grad,16,Married,Sales-Office,Spouse,Other,Female,50.0,United-States,>50K
58.0,Private,Some-College,19,Married,Healthcare-Service,Ref-person,White,Female,20.0,United-States,<=50K
35.0,Self-Employed,Graduate,23,Married,Professional,Ref-person,White,Male,60.0,United-States,>50K
42.0,Private,Graduate,23,Married,Healthcare-Service,Ref-person,White,Female,40.0,United-States,>50K
18.0,Private,No-HS,14,Never-married,Sales-Office,Not-in-family,White,Female,40.0,United-States,<=50K
36.0,Private,Bachelors,21,Married,Professional,Spouse,White,Male,40.0,United-States,>50K
22.0,Private,Some-College,19,Never-married,Sales-Office,Not-in-family,White,Male,50.0,United-States,<=50K
27.0,Private,HS-grad,16,Married,Sales-Office,Ref-person,Other,Male,40.0,United-States,<=50K
45.0,Private,Graduate,22,Married,Management,Ref-person,White,Male,40.0,United-States,>50K
44.0,Private,Some-College,18,Married,Management,Ref-person,White,Male,55.0,United-States,>50K
63.0,Private,Some-College,18,Married,Management,Ref-person,White,Male,80.0,United-States,>50K
51.0,Self-Employed,HS-grad,16,Married,Transport-Production,Ref-person,White,Male,50.0,United-States,<=50K
44.0,Government,HS-grad,16,Married,Sales-Office,Ref-person,White,Female,35.0,Latin-America,<=50K
