Timestamp,How old are you (in years)?,How long does it take you to get to STAT207 lecture?,How many countries have you been to?,How many coding languages do you know?,Approximately how much time in minutes did you spend on your laptop in the last day?,How many hours of sleep did you get the night before?,How many pens did you carry most of the day?
10/2/2024 11:20:08,19,18,5,2,60,6,3
10/2/2024 11:20:30,19,15,6,2,360,3,8
10/2/2024 11:20:37,19,12,23,2,120,9,1
10/2/2024 11:20:47,20,5,1,8,300,6,4
10/2/2024 11:20:57,20,10,4,5,360,7,2
10/2/2024 11:21:05,20,10,15,3,300,7.5,2
10/2/2024 11:21:19,18,10,4,2,240,7,2
10/2/2024 11:21:27,20,20,4,1,200,8,1
10/2/2024 11:21:54,20,15,2,3,60,10,3
10/2/2024 11:21:59,19,10,4,4,720,7,2
10/2/2024 11:22:13,20,10,14,3,420,8,1
10/2/2024 11:22:32,20,11,7,1,260,8,9
10/2/2024 11:22:37,20,5,2,1,210,8.5,1
10/2/2024 11:22:40,19,4,16,1,180,10,4
10/2/2024 11:22:56,19,10,7,2,349,8,6
10/2/2024 11:23:24,19,10,1,1,360,9,2
10/2/2024 11:24:29,19,10,6,7,5,9,9
10/2/2024 11:25:05,19,12,2,1,420,5,5
