"Object","Close-Approach (CA) Date","CA DistanceNominal (au)","CA DistanceMinimum (au)","V relative(km/s)","V infinity(km/s)","H(mag)","Diameter","Rarity"
"415029 (2011 UL21)","2024-Jun-27 20:16 ± < 00:01","0.04439","0.04439","25.88","25.88","15.9","1.7 km -  3.9 km","3"
"(2024 MK)","2024-Jun-29 13:49 ± < 00:01","0.00197","0.00197","9.37","9.22","22.0","100 m -  230 m","3"
"(2024 ON)","2024-Sep-17 10:19 ± < 00:01","0.00668","0.00668","8.88","8.83","20.4","220 m -  500 m","3"
"(2011 GA)","2023-Oct-15 07:09 ± < 00:01","0.01743","0.01743","16.59","16.59","20.7","190 m -  420 m","2"
"(1998 HH49)","2023-Oct-17 00:33 ± < 00:01","0.00784","0.00784","14.79","14.76","21.4","140 m -  310 m","2"
"(2023 VA)","2023-Nov-02 05:37 ± < 00:01","0.00018","0.00018","11.30","9.90","28.6","5.1 m -   11 m","2"
"363505 (2003 UC20)","2023-Nov-02 15:49 ± < 00:01","0.03511","0.03511","7.97","7.96","18.5","1.876±0.037 km","2"
"164121 (2003 YT1)","2023-Nov-03 12:33 ± < 00:01","0.05936","0.05936","23.25","23.25","16.2","1.717±0.550 km","2"
"(2023 VB2)","2023-Nov-07 07:00 ± < 00:01","0.00022","0.00022","18.02","17.34","28.2","6.0 m -   13 m","2"
"(2023 WA)","2023-Nov-17 03:41 ± < 00:01","0.00018","0.00018","17.95","17.12","28.5","5.3 m -   12 m","2"
"(2023 XJ2)","2023-Dec-05 02:40 ± < 00:01","0.00522","0.00522","6.12","6.04","24.3","37 m -   82 m","2"
"139622 (2001 QQ142)","2023-Dec-06 21:00 ± < 00:01","0.03694","0.03694","6.66","6.65","18.5","540 m -  1.2 km","2"
"(2020 YO3)","2023-Dec-23 02:44 ± < 00:01","0.00144","0.00144","16.45","16.34","24.7","30 m -   67 m","2"
"(2008 OS7)","2024-Feb-02 14:41 ± < 00:01","0.01908","0.01908","18.17","18.16","20.4","220 m -  500 m","2"
"(2024 CG2)","2024-Feb-08 03:42 ± < 00:01","0.00666","0.00666","9.18","9.13","23.1","64 m -  140 m","2"
"(2024 GD)","2024-Mar-26 02:00 ±    00:05","0.00212","0.00212","11.46","11.35","24.9","27 m -   61 m","2"
"439437 (2013 NK4)","2024-Apr-15 14:51 ± < 00:01","0.02177","0.02177","16.49","16.48","18.9","430 m -  970 m","2"
"(2024 HL1)","2024-Apr-26 01:40 ± < 00:01","0.00109","0.00109","12.10","11.90","26.0","17 m -   38 m","2"
