FIPS,State,County,Attribute,Value,,
0,US,United States,NumCivEmployed,157510982,,
1000,AL,Alabama,NumCivEmployed,2173597,,
1001,AL,Autauga,NumCivEmployed,25871,,
1003,AL,Baldwin,NumCivEmployed,104367,,
1005,AL,Barbour,NumCivEmployed,8561,,
1007,AL,Bibb,NumCivEmployed,8223,,
1009,AL,Blount,NumCivEmployed,24244,,
1011,AL,Bullock,NumCivEmployed,3818,,
1013,AL,Butler,NumCivEmployed,7567,,
1015,AL,Calhoun,NumCivEmployed,49073,,
1017,AL,Chambers,NumCivEmployed,15478,,
1019,AL,Cherokee,NumCivEmployed,9794,,
1021,AL,Chilton,NumCivEmployed,17690,,
1023,AL,Choctaw,NumCivEmployed,4563,,
1025,AL,Clarke,NumCivEmployed,7941,,
1027,AL,Clay,NumCivEmployed,5433,,
1029,AL,Cleburne,NumCivEmployed,5768,,
1031,AL,Coffee,NumCivEmployed,21592,,
1033,AL,Colbert,NumCivEmployed,25007,,
1035,AL,Conecuh,NumCivEmployed,4061,,
1037,AL,Coosa,NumCivEmployed,4128,,
1039,AL,Covington,NumCivEmployed,15111,,
1041,AL,Crenshaw,NumCivEmployed,5225,,
1043,AL,Cullman,NumCivEmployed,38563,,
1045,AL,Dale,NumCivEmployed,17507,,
1047,AL,Dallas,NumCivEmployed,14823,,
1049,AL,DeKalb,NumCivEmployed,29926,,
1051,AL,Elmore,NumCivEmployed,37732,,
1053,AL,Escambia,NumCivEmployed,12962,,
1055,AL,Etowah,NumCivEmployed,43658,,
1057,AL,Fayette,NumCivEmployed,6293,,
1059,AL,Franklin,NumCivEmployed,13041,,
1061,AL,Geneva,NumCivEmployed,10485,,
1063,AL,Greene,NumCivEmployed,2206,,
1065,AL,Hale,NumCivEmployed,5421,,
1067,AL,Henry,NumCivEmployed,7105,,
1069,AL,Houston,NumCivEmployed,45119,,
1071,AL,Jackson,NumCivEmployed,19836,,
1073,AL,Jefferson,NumCivEmployed,308057,,
1075,AL,Lamar,NumCivEmployed,5331,,
1077,AL,Lauderdale,NumCivEmployed,41981,,
1079,AL,Lawrence,NumCivEmployed,13599,,
1081,AL,Lee,NumCivEmployed,79359,,
1083,AL,Limestone,NumCivEmployed,45889,,
1085,AL,Lowndes,NumCivEmployed,3657,,
1087,AL,Macon,NumCivEmployed,7406,,
1089,AL,Madison,NumCivEmployed,187760,,
1091,AL,Marengo,NumCivEmployed,7347,,
1093,AL,Marion,NumCivEmployed,11725,,
1095,AL,Marshall,NumCivEmployed,40394,,
1097,AL,Mobile,NumCivEmployed,176166,,
1099,AL,Monroe,NumCivEmployed,6504,,
1101,AL,Montgomery,NumCivEmployed,99262,,
1103,AL,Morgan,NumCivEmployed,53733,,
1105,AL,Perry,NumCivEmployed,2445,,
1107,AL,Pickens,NumCivEmployed,6896,,
1109,AL,Pike,NumCivEmployed,13592,,
1111,AL,Randolph,NumCivEmployed,8352,,
1113,AL,Russell,NumCivEmployed,22833,,
1115,AL,St. Clair,NumCivEmployed,39969,,
1117,AL,Shelby,NumCivEmployed,111438,,
1119,AL,Sumter,NumCivEmployed,4376,,
1121,AL,Talladega,NumCivEmployed,32329,,
1123,AL,Tallapoosa,NumCivEmployed,15839,,
1125,AL,Tuscaloosa,NumCivEmployed,105665,,
