FIPS,State,County,Attribute,Value
0,US,United States,Age65AndOlderNum2020,54136629
0,US,United States,Age65AndOlderPct2020,16.33330712
0,US,United States,AsianNonHispanicNum2020,19618719
0,US,United States,AsianNonHispanicPct2020,5.91907122
0,US,United States,AvgHHSize,2.6
0,US,United States,BlackNonHispanicNum2020,39940338
0,US,United States,BlackNonHispanicPct2020,12.05021108
0,US,United States,Ed1LessThanHSNum,25050356
0,US,United States,Ed1LessThanHSPct,11.12595968
0,US,United States,Ed2HSDiplomaOnlyNum,59636386
0,US,United States,Ed2HSDiplomaOnlyPct,26.4871296
0,US,United States,Ed3SomeCollegeNum,45042031
0,US,United States,Ed3SomeCollegePct,20.00513768
0,US,United States,Ed4AssocDegreeNum,19614710
0,US,United States,Ed4AssocDegreePct,8.711751343
0,US,United States,Ed5CollegePlusNum,75808834
0,US,United States,Ed5CollegePlusPct,33.6700217
0,US,United States,ESTIMATESBASE2020,331449281
0,US,United States,FemaleHHNum,15273279
0,US,United States,FemaleHHPct,12.31606872
0,US,United States,ForeignBornAfricaNum,2477515
0,US,United States,ForeignBornAfricaPct,0.751387182
0,US,United States,ForeignBornAsiaNum,13969568
0,US,United States,ForeignBornAsiaPct,4.236726855
0,US,United States,ForeignBornCaribNum,4502553
0,US,United States,ForeignBornCaribPct,1.365545965
0,US,United States,ForeignBornCentralSouthAmNum,17932984
0,US,United States,ForeignBornCentralSouthAmPct,5.43876195
0,US,United States,ForeignBornEuropeNum,4844388
0,US,United States,ForeignBornEuropePct,1.469218571
0,US,United States,ForeignBornMexNum,10850260
0,US,United States,ForeignBornMexPct,3.290695025
0,US,United States,ForeignBornNum,44844267
0,US,United States,ForeignBornPct,13.60048573
0,US,United States,HH65PlusAloneNum,13888306
0,US,United States,HH65PlusAlonePct,11.19925401
0,US,United States,HispanicNum2020,62080044
0,US,United States,HispanicPct2020,18.72987741
0,US,United States,HispanicPopChangeRate1020,22.98534673
0,US,United States,LandAreaSQMiles2020,3533038.28
0,US,United States,MultipleRaceNum2020,33848943
0,US,United States,MultipleRacePct2020,10.21240502
0,US,United States,MultipleRacePopChangeRate1020,275.7205986
0,US,United States,NativeAmericanNonHispanicNum2020,2251699
0,US,United States,NativeAmericanNonHispanicPct2020,0.67934949
0,US,United States,Natural_Change_Rate_2020_2021,0.044658376
0,US,United States,NaturalChange1019,11232413
0,US,United States,NaturalChangeRate1019,3.631
0,US,United States,NaturalChg2020_2021,148043
0,US,United States,Net_InterMigration_2020_2021,244622
0,US,United States,Net_InterMigrationRate_2020_2021,0.073792218
0,US,United States,Net_International_Migration_2010_2019,7685444
0,US,United States,Net_International_Migration_Rate_2010_2019,2.485
0,US,United States,Net_Migration_2020_2021,244622
0,US,United States,Net_Migration_Rate_2020_2021,0.073792218
0,US,United States,NetMigration1019,7685444
0,US,United States,NetMigrationRate1019,2.485
0,US,United States,NonEnglishHHNum,5241326
0,US,United States,NonEnglishHHPct,4.226501148
0,US,United States,NonHispAsianPopChangeRate1020,35.62772777
0,US,United States,NonHispBlackPopChangeRate1020,5.982325248
0,US,United States,NonHispNatAmerPopChangeRate1020,0.204752975
0,US,United States,NonHispWhitePopChangeRate1020,-2.601345738
0,US,United States,OwnHomeNum,80152161
0,US,United States,OwnHomePct,64.6331101
0,US,United States,Pop_change_Rate_2020_2021,0.118450594
0,US,United States,PopChangeRate1019,6.116
0,US,United States,PopChangeRate1020,7.3535453
0,US,United States,PopDensity2020,93.8142343
0,US,United States,POPESTIMATE2020,331501080
0,US,United States,POPESTIMATE2021,331893745
0,US,United States,TotalHH,124010992
0,US,United States,TotalOccHU,124010992
0,US,United States,TotalPop2020,331449281
0,US,United States,TotalPop25Plus,225152317
0,US,United States,TotalPopACS,329725481
0,US,United States,TotalPopEst2010,309321666
0,US,United States,TotalPopEst2011,311556874
0,US,United States,TotalPopEst2012,313830990
0,US,United States,TotalPopEst2013,315993715
0,US,United States,TotalPopEst2014,318301008
0,US,United States,TotalPopEst2015,320635163
0,US,United States,TotalPopEst2016,322941311
0,US,United States,TotalPopEst2017,324985539
0,US,United States,TotalPopEst2018,326687501
0,US,United States,TotalPopEst2019,328239523
0,US,United States,TotalPopEstBase2010,308758105
0,US,United States,Under18Num2020,73106000
0,US,United States,Under18Pct2020,22.05646661
