FIPS,State,County,Attribute,Value
0,US,United States,Vets18OPct,6.854719591
0,US,United States,GulfWar2VetsPct,22.05090386
0,US,United States,GulfWar1VetsPct,22.42295321
0,US,United States,VietnamEraVetsPct,34.90513324
0,US,United States,KoreanWarVetsPct,6.59306913
0,US,United States,WW2VetsPct,2.201437759
0,US,United States,MaleVetsPct,90.60732166
0,US,United States,FemaleVetsPct,9.392678339
0,US,United States,WhiteNonHispVetsPct,75.26371829
0,US,United States,BlackVetsPct,12.2175123
0,US,United States,HispanicVetsPct,7.665560036
0,US,United States,OtherRaceVetsPct,8.470910644
0,US,United States,MedianVetsInc,46169
0,US,United States,MedianNonVetsInc,34216
0,US,United States,LessThanHSVetsPct,5.246737795
0,US,United States,HighSchOnlyVetsPct,27.49200626
0,US,United States,SomeCollegeVetsPct,37.29118551
0,US,United States,CollegeDegreeVetsPct,29.97007044
0,US,United States,LFPVetsRate,76.95733397
0,US,United States,UEVetsRate,4.350882376
0,US,United States,PctVetsPoor,7.804893975
0,US,United States,PctNonVetsPoor,12.03489836
0,US,United States,PctVetsDisabilty,18.68309448
0,US,United States,PctNonVetsDisabilty,9.997473138
0,US,United States,CivPopVets18to64Num,8848937
0,US,United States,CivPop18ONum,254296179
0,US,United States,Vets18ONum,17431290
0,US,United States,NonVetsDisabilty,18754893
0,US,United States,NonVetsPoor,22577028
0,US,United States,VetsDisabilty,1630866
0,US,United States,VetsPoor,681297
0,US,United States,CLFVets18to64Num,6809906
1000,AL,Alabama,Vets18OPct,8.416338597
1000,AL,Alabama,GulfWar2VetsPct,24.01114378
1000,AL,Alabama,GulfWar1VetsPct,26.72782404
1000,AL,Alabama,VietnamEraVetsPct,34.55217104
1000,AL,Alabama,KoreanWarVetsPct,5.449675999
1000,AL,Alabama,WW2VetsPct,1.304314365
1000,AL,Alabama,MaleVetsPct,89.42880451
1000,AL,Alabama,FemaleVetsPct,10.57119549
1000,AL,Alabama,WhiteNonHispVetsPct,70.46806939
1000,AL,Alabama,BlackVetsPct,24.04038849
1000,AL,Alabama,HispanicVetsPct,2.300789607
1000,AL,Alabama,OtherRaceVetsPct,4.085333005
1000,AL,Alabama,MedianVetsInc,44071
1000,AL,Alabama,MedianNonVetsInc,27851
1000,AL,Alabama,LessThanHSVetsPct,5.60219809
1000,AL,Alabama,HighSchOnlyVetsPct,27.82542524
1000,AL,Alabama,SomeCollegeVetsPct,37.26586037
1000,AL,Alabama,CollegeDegreeVetsPct,29.3065163
1000,AL,Alabama,LFPVetsRate,71.76397317
1000,AL,Alabama,UEVetsRate,4.004872728
1000,AL,Alabama,PctVetsPoor,8.874119275
1000,AL,Alabama,PctNonVetsPoor,15.27165645
1000,AL,Alabama,PctVetsDisabilty,22.04866639
1000,AL,Alabama,PctNonVetsDisabilty,13.78543333
1000,AL,Alabama,CivPopVets18to64Num,175014
1000,AL,Alabama,CivPop18ONum,3859695
1000,AL,Alabama,Vets18ONum,324845
1000,AL,Alabama,NonVetsDisabilty,380406
1000,AL,Alabama,NonVetsPoor,421418
1000,AL,Alabama,VetsDisabilty,38084
1000,AL,Alabama,VetsPoor,15328
1000,AL,Alabama,CLFVets18to64Num,125597
1001,AL,Autauga,Vets18OPct,11.39941624
1001,AL,Autauga,GulfWar2VetsPct,37.78225806
1001,AL,Autauga,GulfWar1VetsPct,40.98790323
1001,AL,Autauga,VietnamEraVetsPct,31.37096774
1001,AL,Autauga,KoreanWarVetsPct,5.544354839
1001,AL,Autauga,WW2VetsPct,3.125
1001,AL,Autauga,MaleVetsPct,87.25806452
1001,AL,Autauga,FemaleVetsPct,12.74193548
1001,AL,Autauga,WhiteNonHispVetsPct,82.9233871
1001,AL,Autauga,BlackVetsPct,11.75403226
1001,AL,Autauga,HispanicVetsPct,3.427419355
1001,AL,Autauga,OtherRaceVetsPct,2.318548387
1001,AL,Autauga,MedianVetsInc,53955
1001,AL,Autauga,MedianNonVetsInc,27579
1001,AL,Autauga,LessThanHSVetsPct,2.923013586
1001,AL,Autauga,HighSchOnlyVetsPct,22.25195554
1001,AL,Autauga,SomeCollegeVetsPct,31.10333471
1001,AL,Autauga,CollegeDegreeVetsPct,43.72169617
1001,AL,Autauga,LFPVetsRate,76.35087719
1001,AL,Autauga,UEVetsRate,1.102941177
1001,AL,Autauga,PctVetsPoor,8.071906944
1001,AL,Autauga,PctNonVetsPoor,14.08112295
1001,AL,Autauga,PctVetsDisabilty,21.39584068
1001,AL,Autauga,PctNonVetsDisabilty,14.25816446
1001,AL,Autauga,CivPopVets18to64Num,2850
1001,AL,Autauga,CivPop18ONum,43511
1001,AL,Autauga,Vets18ONum,4960
1001,AL,Autauga,NonVetsDisabilty,4510
1001,AL,Autauga,NonVetsPoor,4454
1001,AL,Autauga,VetsDisabilty,607
1001,AL,Autauga,VetsPoor,229
1001,AL,Autauga,CLFVets18to64Num,2176
1003,AL,Baldwin,Vets18OPct,11.19863959
1003,AL,Baldwin,GulfWar2VetsPct,20.10257442
1003,AL,Baldwin,GulfWar1VetsPct,22.47083669
1003,AL,Baldwin,VietnamEraVetsPct,45.34392599
1003,AL,Baldwin,KoreanWarVetsPct,5.410297667
1003,AL,Baldwin,WW2VetsPct,1.568785197
1003,AL,Baldwin,MaleVetsPct,91.34151247
1003,AL,Baldwin,FemaleVetsPct,8.65848753
1003,AL,Baldwin,WhiteNonHispVetsPct,89.2347144
1003,AL,Baldwin,BlackVetsPct,6.008648431
1003,AL,Baldwin,HispanicVetsPct,2.051488335
1003,AL,Baldwin,OtherRaceVetsPct,3.786202735
1003,AL,Baldwin,MedianVetsInc,44472
1003,AL,Baldwin,MedianNonVetsInc,31097
1003,AL,Baldwin,LessThanHSVetsPct,4.714906674
1003,AL,Baldwin,HighSchOnlyVetsPct,26.77576068
1003,AL,Baldwin,SomeCollegeVetsPct,33.71004858
1003,AL,Baldwin,CollegeDegreeVetsPct,34.79928407
1003,AL,Baldwin,LFPVetsRate,77.59657645
1003,AL,Baldwin,UEVetsRate,4.724996274
1003,AL,Baldwin,PctVetsPoor,4.825486062
1003,AL,Baldwin,PctNonVetsPoor,9.552707168
1003,AL,Baldwin,PctVetsDisabilty,15.90536425
1003,AL,Baldwin,PctNonVetsDisabilty,10.51071743
1003,AL,Baldwin,CivPopVets18to64Num,8646
1003,AL,Baldwin,CivPop18ONum,177593
1003,AL,Baldwin,Vets18ONum,19888
1003,AL,Baldwin,NonVetsDisabilty,12661
1003,AL,Baldwin,NonVetsPoor,11507
1003,AL,Baldwin,VetsDisabilty,1358
1003,AL,Baldwin,VetsPoor,412
1003,AL,Baldwin,CLFVets18to64Num,6709
1005,AL,Barbour,Vets18OPct,7.226806702
1005,AL,Barbour,GulfWar2VetsPct,15.43252595
1005,AL,Barbour,GulfWar1VetsPct,27.26643599
1005,AL,Barbour,VietnamEraVetsPct,39.72318339
1005,AL,Barbour,KoreanWarVetsPct,6.712802768
1005,AL,Barbour,WW2VetsPct,1.937716263
1005,AL,Barbour,MaleVetsPct,92.94117647
1005,AL,Barbour,FemaleVetsPct,7.058823529
1005,AL,Barbour,WhiteNonHispVetsPct,56.88581315
1005,AL,Barbour,BlackVetsPct,39.51557093
1005,AL,Barbour,HispanicVetsPct,0.415224914
1005,AL,Barbour,OtherRaceVetsPct,3.598615917
1005,AL,Barbour,MedianVetsInc,29712
1005,AL,Barbour,MedianNonVetsInc,19738
1005,AL,Barbour,LessThanHSVetsPct,10.31141869
1005,AL,Barbour,HighSchOnlyVetsPct,38.33910035
1005,AL,Barbour,SomeCollegeVetsPct,32.66435986
